last value,rolling mean last value,expanding mean last value,biexponential decay,median beta,regression (day),"median beta;
shifted forecast","regression (day);
shifted forecast","regression (day);
incremental learning","regression (day, previous I)",lstm
1.1590727698350785e-05,9.381728435741312e-06,9.208909254386915e-06,5.806103256130908e-06,3.897758275111057e-06,4.388781846810823e-06,3.6995522267027983e-06,4.768756754870058e-06,6.110071708490055e-06,4.020537615822696e-06,4.405744132808031e-06
9.752854772004377e-06,1.280919683037238e-05,7.885269925303263e-06,4.792404397823206e-06,3.675863344541222e-06,4.07487528773675e-06,3.5637247688196953e-06,4.625868364374623e-06,6.360183722910443e-06,3.7731276400292034e-06,3.528230026124422e-06
6.179772973973922e-06,7.89280094470369e-06,1.0155148624731281e-05,6.027066616413932e-06,3.3802627938198564e-06,4.002522016310146e-06,3.040405278385838e-06,4.23013837632355e-06,5.4524392714630335e-06,3.508907686306468e-06,3.616729319393757e-06
1.0419919337199581e-05,9.636673628128547e-06,9.019375260818147e-06,6.418665355655267e-06,3.5030618331799525e-06,3.93485708294e-06,3.3905751588108385e-06,4.4898951847479024e-06,5.330622492726142e-06,3.6081087088769765e-06,4.034557590635537e-06
1.1896261592612107e-05,1.1555417971656443e-05,6.256178066495479e-06,4.829890131922303e-06,4.358558141165738e-06,4.369682194249595e-06,4.932212838376106e-06,4.098385484448255e-06,6.902505203079992e-06,4.09376796193211e-06,4.137531927270685e-06
1.0316479507406941e-05,1.1270758379917645e-05,1.1718668639969412e-05,5.110281779199256e-06,3.800830745753906e-06,4.425445457884863e-06,4.961114592296786e-06,7.136128693220302e-06,6.1731705813724424e-06,3.936923742228754e-06,3.711903884431114e-06
6.424977061959665e-06,1.1065925297950558e-05,8.057021632180879e-06,5.00920139799775e-06,3.222765685598087e-06,3.627341074078045e-06,3.1076731745147074e-06,3.820787461491464e-06,5.851926133602631e-06,3.2325870891168442e-06,3.7783472245506994e-06
1.820767052105362e-05,1.0209461807057762e-05,8.879470770626215e-06,7.963778740335752e-06,4.0998044332593424e-06,4.528944127024566e-06,5.209815523280784e-06,7.253838828688606e-06,6.911983884888079e-06,4.432094834507723e-06,4.334266075870838e-06
1.3198639092165053e-05,9.449343627276416e-06,7.2398069933654185e-06,5.219003641509701e-06,3.1907094122362375e-06,3.637246871098385e-06,3.155983236276874e-06,4.012208622925759e-06,5.516721897584342e-06,3.4096404455150536e-06,3.925840685160638e-06
5.9154795387136046e-06,6.5827154062441546e-06,6.916412873980641e-06,6.044301840931166e-06,3.3569407101948477e-06,3.7934282668508008e-06,4.29987911115298e-06,3.289668073566279e-06,5.6113713498855335e-06,3.5551939704589917e-06,3.776244223879814e-06
