last value,rolling mean last value,expanding mean last value,biexponential decay,median beta,regression (day),"median beta;
shifted forecast","regression (day);
shifted forecast","regression (day);
incremental learning","regression (day, SEIR, previous I)","lstm (day, E, previous I)"
2.0974079640692417e-05,1.3201819033879027e-05,8.675847951222178e-06,6.163456849795105e-06,3.98102993892695e-06,4.389793848415883e-06,3.9686507544083636e-06,7.449602140385859e-06,5.983701590753023e-06,3.7913135020131045e-06,4.346249313063168e-06
6.329440521822938e-06,1.149970859564814e-05,7.0916635783962065e-06,6.826781567115799e-06,3.875943964451082e-06,4.19260788334526e-06,8.012580480754702e-06,4.198310056584099e-06,6.2762694430393055e-06,4.0657203280845076e-06,3.7976435127777712e-06
1.4070033692305572e-05,1.4532800977503922e-05,9.905656097357512e-06,5.564967496270589e-06,3.5167159383076417e-06,4.02395592849234e-06,3.4938177226722524e-06,4.68910914708599e-06,5.350366084686505e-06,3.235410311510339e-06,3.617901864224046e-06
1.0970169246343836e-05,1.3117468573483747e-05,8.674417624376359e-06,6.458561975941184e-06,3.6339565814274672e-06,3.921553419203056e-06,4.311023102449842e-06,4.192243194245932e-06,5.176659469511035e-06,3.6059216687149813e-06,3.826052315555633e-06
7.884608025186578e-06,1.0474836662077025e-05,5.862593367668636e-06,7.808543279265549e-06,4.63273662910851e-06,4.5347187814776514e-06,9.290285608424351e-06,5.203070825453298e-06,6.790037402855968e-06,5.086088800402824e-06,7.37546297271737e-06
2.348073099936459e-05,1.907273571477228e-05,1.126328211833298e-05,1.1785296653035148e-05,3.828849415356324e-06,4.419341822118157e-06,7.4598564296310274e-06,1.2250598063638936e-05,6.04855657960634e-06,3.4205074991834537e-06,3.670989121099355e-06
9.73077036644193e-06,1.2546744332882176e-05,7.076821383257409e-06,5.145381587408535e-06,3.2826665168609023e-06,3.6798986054070197e-06,4.4010343567988524e-06,3.7699344263747497e-06,5.785303341816745e-06,3.880962172792187e-06,3.7727201678200235e-06
1.6787973193156633e-05,1.7385586176966447e-05,8.132090063955306e-06,0.000475519120427028,4.142157901870941e-06,4.56934610084976e-06,5.61916973966554e-06,9.919301674580076e-06,6.799070029946829e-06,4.951449864167665e-06,5.858763949275493e-06
1.00860201604211e-05,1.3688157250114389e-05,6.533165553200112e-06,2.8596566455646477e-05,3.28764810352376e-06,3.627209095292015e-06,3.5208240714547063e-06,4.893225557397498e-06,5.375683125291263e-06,4.221221244788079e-06,4.074415819357489e-06
1.2181401574849197e-05,1.007726577320676e-05,6.491691373025433e-06,5.149839065775434e-06,3.5655041007324565e-06,3.839594461571101e-06,5.007778069946179e-06,3.6277520979012003e-06,5.477443560446614e-06,3.853323582039298e-06,3.877257281286999e-06
1.030372474541377e-05,6.694542477525784e-06,1.175096568388098e-05,8.863001755423723e-06,4.245366908784414e-06,4.4747320275777865e-06,8.457124975830485e-06,4.325718970473758e-06,4.87669146263655e-06,3.5791820776686013e-06,4.5546665057344815e-06
1.0215733583952091e-05,1.6836547530459437e-05,8.632363406254289e-06,6.648944760251921e-06,3.9610725298847054e-06,4.5395688224138555e-06,3.943044469760538e-06,5.139038316488229e-06,7.018701767793821e-06,3.833164867627513e-06,3.4923207118595274e-06
1.953633220380697e-05,6.379420598334916e-06,6.089133891472794e-06,8.450007439192043e-06,3.2085420895841893e-06,3.403341777261884e-06,6.689596321589322e-06,3.222016801763431e-06,5.119625533101112e-06,4.418776404681304e-06,6.1192532801047305e-06
1.0027418457494981e-05,1.3947108237051234e-05,8.097656876032387e-06,6.662397058152965e-06,3.4821099569850076e-06,3.7820474381672415e-06,5.006213329971424e-06,3.424572100826258e-06,4.981075250292104e-06,3.6773552514521874e-06,3.732530592679892e-06
1.6459850539236903e-05,1.0692762734576533e-05,7.591582257236807e-06,5.506771896315112e-06,3.823124026502949e-06,4.289538396829287e-06,5.9549179105974304e-06,3.87216658879118e-06,5.8274186336461985e-06,4.349684423633755e-06,4.325016317470384e-06
6.836986920583711e-06,1.362809472236327e-05,1.269038787920514e-05,6.4711687536583865e-06,4.176867803598004e-06,4.599491075340493e-06,3.682882141355368e-06,4.974423784727863e-06,5.399046083829259e-06,3.5637262739680437e-06,4.326695629356738e-06
5.093457900533141e-06,6.811430055396378e-06,1.0345962308711371e-05,6.7923231939803194e-06,4.1236757753992235e-06,4.517579250044345e-06,5.802086499885182e-06,3.7407298137178414e-06,5.965071196511799e-06,3.7396796490294015e-06,3.7445263438444625e-06
2.1070304226687736e-05,2.1287450367556638e-05,9.967360704420088e-06,8.990989820760671e-06,3.6788636772318476e-06,4.204616016704806e-06,4.780671895481247e-06,9.121994514029691e-06,5.774174829170603e-06,3.9618908106351905e-06,4.022609950652887e-06
1.5118834709915853e-05,1.6260444136202107e-05,1.1579701999863334e-05,5.895124066409515e-06,4.827283899408458e-06,5.418062113688474e-06,4.4708305445302726e-06,7.323090127498461e-06,6.604473091665492e-06,4.586768265277001e-06,4.9720075085659685e-06
8.175789206007983e-06,1.6477053970000088e-05,1.1408627169505557e-05,7.39104081224242e-06,3.7987694527388487e-06,4.279499955634402e-06,3.6670388560060687e-06,5.626736926293523e-06,4.978021511015188e-06,3.8102640270783605e-06,4.355090771690745e-06
1.8204065475596987e-05,1.2873798153487486e-05,1.2526144098041723e-05,7.259603801319848e-06,3.940362012116221e-06,4.334841975565502e-06,3.849605459382431e-06,4.564391105690843e-06,4.986174668355984e-06,3.584085492838218e-06,4.474225051232136e-06
1.177161140124339e-05,1.2285056312567917e-05,1.0953436957249641e-05,7.3711748658039e-06,4.393166312876484e-06,4.768772305637447e-06,5.143082181470671e-06,4.087193485908864e-06,5.5962285537171875e-06,4.102135502483184e-06,4.738295359250537e-06
1.896475255834063e-05,1.717360954753308e-05,7.24440322539214e-06,0.0004512002303372606,3.883678621549074e-06,4.3617667803594635e-06,4.35231320593314e-06,8.22391309072669e-06,5.852990240383215e-06,5.108561624839833e-06,4.996740012267686e-06
9.255757071617735e-06,7.978035333800397e-06,9.822721321479082e-06,7.847534251543214e-06,3.878136633249274e-06,4.32013619320998e-06,5.512611957037184e-06,3.70799217099954e-06,5.259535845238721e-06,3.669296267349809e-06,4.4475276270528165e-06
6.9994840537808e-06,1.1588147915479695e-05,1.0641870153890998e-05,8.013564556501375e-06,4.194155078706207e-06,4.2567606438924256e-06,4.543936626958009e-06,4.65114855015779e-06,4.735479407281953e-06,3.727193965294395e-06,5.035425135713721e-06
