seed_number,tau,rho
0,0.01,0.005
1,0.01,0.005
2,0.01,0.005
3,0.01,0.005
4,0.01,0.005
5,0.01,0.005
6,0.01,0.005
7,0.01,0.005
8,0.01,0.005
9,0.01,0.005
10,0.01,0.005
11,0.01,0.005
12,0.01,0.005
13,0.01,0.005
14,0.01,0.005
15,0.01,0.005
16,0.01,0.005
17,0.01,0.005
18,0.01,0.005
19,0.01,0.005
20,0.01,0.005
21,0.01,0.005
22,0.01,0.005
23,0.01,0.005
24,0.01,0.005
25,0.01,0.005
26,0.01,0.005
27,0.01,0.005
28,0.01,0.005
29,0.01,0.005
30,0.01,0.005
31,0.01,0.005
32,0.01,0.005
33,0.01,0.005
34,0.01,0.005
35,0.01,0.005
36,0.01,0.005
37,0.01,0.005
38,0.01,0.005
39,0.01,0.005
40,0.01,0.005
41,0.01,0.005
42,0.01,0.005
43,0.01,0.005
44,0.01,0.005
45,0.01,0.005
46,0.01,0.005
47,0.01,0.005
48,0.01,0.005
49,0.01,0.005
50,0.01,0.006
51,0.01,0.006
52,0.01,0.006
53,0.01,0.006
54,0.01,0.006
55,0.01,0.006
56,0.01,0.006
57,0.01,0.006
58,0.01,0.006
59,0.01,0.006
60,0.01,0.006
61,0.01,0.006
62,0.01,0.006
63,0.01,0.006
64,0.01,0.006
65,0.01,0.006
66,0.01,0.006
67,0.01,0.006
68,0.01,0.006
69,0.01,0.006
70,0.01,0.006
71,0.01,0.006
72,0.01,0.006
73,0.01,0.006
74,0.01,0.006
75,0.01,0.006
76,0.01,0.006
77,0.01,0.006
78,0.01,0.006
79,0.01,0.006
80,0.01,0.006
81,0.01,0.006
82,0.01,0.006
83,0.01,0.006
84,0.01,0.006
85,0.01,0.006
86,0.01,0.006
87,0.01,0.006
88,0.01,0.006
89,0.01,0.006
90,0.01,0.006
91,0.01,0.006
92,0.01,0.006
93,0.01,0.006
94,0.01,0.006
95,0.01,0.006
96,0.01,0.006
97,0.01,0.006
98,0.01,0.006
99,0.01,0.006
100,0.01,0.007
101,0.01,0.007
102,0.01,0.007
103,0.01,0.007
104,0.01,0.007
105,0.01,0.007
106,0.01,0.007
107,0.01,0.007
108,0.01,0.007
109,0.01,0.007
110,0.01,0.007
111,0.01,0.007
112,0.01,0.007
113,0.01,0.007
114,0.01,0.007
115,0.01,0.007
116,0.01,0.007
117,0.01,0.007
118,0.01,0.007
119,0.01,0.007
120,0.01,0.007
121,0.01,0.007
122,0.01,0.007
123,0.01,0.007
124,0.01,0.007
125,0.01,0.007
126,0.01,0.007
127,0.01,0.007
128,0.01,0.007
129,0.01,0.007
130,0.01,0.007
131,0.01,0.007
132,0.01,0.007
133,0.01,0.007
134,0.01,0.007
135,0.01,0.007
136,0.01,0.007
137,0.01,0.007
138,0.01,0.007
139,0.01,0.007
140,0.01,0.007
141,0.01,0.007
142,0.01,0.007
143,0.01,0.007
144,0.01,0.007
145,0.01,0.007
146,0.01,0.007
147,0.01,0.007
148,0.01,0.007
149,0.01,0.007
150,0.01,0.008
151,0.01,0.008
152,0.01,0.008
153,0.01,0.008
154,0.01,0.008
155,0.01,0.008
156,0.01,0.008
157,0.01,0.008
158,0.01,0.008
159,0.01,0.008
160,0.01,0.008
161,0.01,0.008
162,0.01,0.008
163,0.01,0.008
164,0.01,0.008
165,0.01,0.008
166,0.01,0.008
167,0.01,0.008
168,0.01,0.008
169,0.01,0.008
170,0.01,0.008
171,0.01,0.008
172,0.01,0.008
173,0.01,0.008
174,0.01,0.008
175,0.01,0.008
176,0.01,0.008
177,0.01,0.008
178,0.01,0.008
179,0.01,0.008
180,0.01,0.008
181,0.01,0.008
182,0.01,0.008
183,0.01,0.008
184,0.01,0.008
185,0.01,0.008
186,0.01,0.008
187,0.01,0.008
188,0.01,0.008
189,0.01,0.008
190,0.01,0.008
191,0.01,0.008
192,0.01,0.008
193,0.01,0.008
194,0.01,0.008
195,0.01,0.008
196,0.01,0.008
197,0.01,0.008
198,0.01,0.008
199,0.01,0.008
200,0.01,0.009000000000000001
201,0.01,0.009000000000000001
202,0.01,0.009000000000000001
203,0.01,0.009000000000000001
204,0.01,0.009000000000000001
205,0.01,0.009000000000000001
206,0.01,0.009000000000000001
207,0.01,0.009000000000000001
208,0.01,0.009000000000000001
209,0.01,0.009000000000000001
210,0.01,0.009000000000000001
211,0.01,0.009000000000000001
212,0.01,0.009000000000000001
213,0.01,0.009000000000000001
214,0.01,0.009000000000000001
215,0.01,0.009000000000000001
216,0.01,0.009000000000000001
217,0.01,0.009000000000000001
218,0.01,0.009000000000000001
219,0.01,0.009000000000000001
220,0.01,0.009000000000000001
221,0.01,0.009000000000000001
222,0.01,0.009000000000000001
223,0.01,0.009000000000000001
224,0.01,0.009000000000000001
225,0.01,0.009000000000000001
226,0.01,0.009000000000000001
227,0.01,0.009000000000000001
228,0.01,0.009000000000000001
229,0.01,0.009000000000000001
230,0.01,0.009000000000000001
231,0.01,0.009000000000000001
232,0.01,0.009000000000000001
233,0.01,0.009000000000000001
234,0.01,0.009000000000000001
235,0.01,0.009000000000000001
236,0.01,0.009000000000000001
237,0.01,0.009000000000000001
238,0.01,0.009000000000000001
239,0.01,0.009000000000000001
240,0.01,0.009000000000000001
241,0.01,0.009000000000000001
242,0.01,0.009000000000000001
243,0.01,0.009000000000000001
244,0.01,0.009000000000000001
245,0.01,0.009000000000000001
246,0.01,0.009000000000000001
247,0.01,0.009000000000000001
248,0.01,0.009000000000000001
249,0.01,0.009000000000000001
250,0.01,0.01
251,0.01,0.01
252,0.01,0.01
253,0.01,0.01
254,0.01,0.01
255,0.01,0.01
256,0.01,0.01
257,0.01,0.01
258,0.01,0.01
259,0.01,0.01
260,0.01,0.01
261,0.01,0.01
262,0.01,0.01
263,0.01,0.01
264,0.01,0.01
265,0.01,0.01
266,0.01,0.01
267,0.01,0.01
268,0.01,0.01
269,0.01,0.01
270,0.01,0.01
271,0.01,0.01
272,0.01,0.01
273,0.01,0.01
274,0.01,0.01
275,0.01,0.01
276,0.01,0.01
277,0.01,0.01
278,0.01,0.01
279,0.01,0.01
280,0.01,0.01
281,0.01,0.01
282,0.01,0.01
283,0.01,0.01
284,0.01,0.01
285,0.01,0.01
286,0.01,0.01
287,0.01,0.01
288,0.01,0.01
289,0.01,0.01
290,0.01,0.01
291,0.01,0.01
292,0.01,0.01
293,0.01,0.01
294,0.01,0.01
295,0.01,0.01
296,0.01,0.01
297,0.01,0.01
298,0.01,0.01
299,0.01,0.01
300,0.02,0.005
301,0.02,0.005
302,0.02,0.005
303,0.02,0.005
304,0.02,0.005
305,0.02,0.005
306,0.02,0.005
307,0.02,0.005
308,0.02,0.005
309,0.02,0.005
310,0.02,0.005
311,0.02,0.005
312,0.02,0.005
313,0.02,0.005
314,0.02,0.005
315,0.02,0.005
316,0.02,0.005
317,0.02,0.005
318,0.02,0.005
319,0.02,0.005
320,0.02,0.005
321,0.02,0.005
322,0.02,0.005
323,0.02,0.005
324,0.02,0.005
325,0.02,0.005
326,0.02,0.005
327,0.02,0.005
328,0.02,0.005
329,0.02,0.005
330,0.02,0.005
331,0.02,0.005
332,0.02,0.005
333,0.02,0.005
334,0.02,0.005
335,0.02,0.005
336,0.02,0.005
337,0.02,0.005
338,0.02,0.005
339,0.02,0.005
340,0.02,0.005
341,0.02,0.005
342,0.02,0.005
343,0.02,0.005
344,0.02,0.005
345,0.02,0.005
346,0.02,0.005
347,0.02,0.005
348,0.02,0.005
349,0.02,0.005
350,0.02,0.006
351,0.02,0.006
352,0.02,0.006
353,0.02,0.006
354,0.02,0.006
355,0.02,0.006
356,0.02,0.006
357,0.02,0.006
358,0.02,0.006
359,0.02,0.006
360,0.02,0.006
361,0.02,0.006
362,0.02,0.006
363,0.02,0.006
364,0.02,0.006
365,0.02,0.006
