S,E,I,R,Beta
99400,0,600,0,1.02280348759222e-06
99339,61,544,56,1.0732707905135297e-06
99281,113,502,104,9.229708215616097e-07
99235,150,478,137,6.324533307416801e-07
99205,163,464,168,1.1513949693164104e-06
99152,200,436,212,1.5267079513170771e-06
99086,254,408,252,1.4841533973458587e-06
99026,289,398,287,1.5477382875031957e-06
98965,316,403,316,1.328890493029656e-06
98912,331,409,348,1.433691472759071e-06
98854,365,404,377,1.4522867707492217e-06
98796,382,413,409,1.6175381128741623e-06
98730,400,424,446,1.815509804708477e-06
98654,435,432,479,1.7832619653123637e-06
98578,465,434,523,2.0802727223514693e-06
98489,511,446,554,2.5042062697402596e-06
98379,574,448,599,2.2689220841265485e-06
98279,612,467,642,2.0045191885104968e-06
98187,643,480,690,2.5249438995657946e-06
98068,697,492,743,2.48707467292481e-06
97948,742,523,787,2.3815657131372086e-06
97826,804,532,838,2.113619255547943e-06
97716,843,556,885,2.2087205588593106e-06
97596,884,596,924,2.5100049484919477e-06
97450,934,638,978,2.058768181094396e-06
97322,964,684,1030,2.2533265409058084e-06
97172,1025,714,1089,2.0034358781177643e-06
97033,1061,755,1151,2.2113047769711443e-06
96871,1114,805,1210,1.8081291563327063e-06
96730,1138,855,1277,2.128067333985054e-06
96554,1210,901,1335,2.034596087961405e-06
96377,1259,949,1415,2.142971796534056e-06
96181,1324,1015,1480,1.854057694895139e-06
96000,1374,1082,1544,1.8388016019716574e-06
95809,1432,1130,1629,1.6441265840767079e-06
95631,1472,1173,1724,1.7650966105571872e-06
95433,1524,1240,1803,1.7999454439071087e-06
95220,1581,1308,1891,1.886826386921772e-06
94985,1650,1373,1992,1.6869302129622875e-06
94765,1709,1410,2116,1.8859642722030196e-06
94513,1802,1455,2230,1.9197708142697e-06
94249,1908,1470,2373,1.725058451692914e-06
94010,1949,1552,2489,1.9533456081114423e-06
93725,2053,1613,2609,1.4486194045215115e-06
93506,2062,1687,2745,1.610197525466193e-06
93252,2127,1744,2877,1.8077680012372511e-06
92958,2218,1810,3014,1.6879244104656545e-06
92674,2300,1857,3169,1.8303778077603346e-06
92359,2388,1942,3311,1.7506575475323874e-06
92045,2464,2022,3469,1.6548908822443586e-06
91737,2521,2107,3635,1.7538426576223019e-06
91398,2600,2205,3797,1.533250775966309e-06
91089,2652,2254,4005,1.704700931019004e-06
90739,2710,2342,4209,1.7175602674722254e-06
90374,2780,2464,4382,1.6391120995321318e-06
90009,2854,2571,4566,1.6161571534622329e-06
89635,2922,2653,4790,1.5727392645774479e-06
89261,3016,2726,4997,1.5329261481470955e-06
88888,3092,2808,5212,1.6065865786862998e-06
88487,3200,2848,5465,1.5594558865563062e-06
88094,3259,2924,5723,1.5489920805586447e-06
87695,3338,3032,5935,1.594636965098963e-06
87271,3444,3095,6190,1.4661033300371308e-06
86875,3488,3201,6436,1.4096314326233484e-06
86483,3533,3297,6687,1.3993398503781642e-06
86084,3554,3408,6954,1.404349458428311e-06
85672,3600,3492,7236,1.1866296956976056e-06
85317,3593,3570,7520,1.234479984663556e-06
84941,3629,3648,7782,1.3392939206305635e-06
84526,3665,3749,8060,1.2812098700848773e-06
84120,3706,3814,8360,1.1906480641309229e-06
83738,3706,3907,8649,1.3112674991016594e-06
83309,3790,3927,8974,1.3327038936163859e-06
82873,3874,3976,9277,1.2260888099584438e-06
82469,3899,4021,9611,1.091650879469985e-06
82107,3905,4061,9927,1.1996286177728812e-06
81707,3892,4153,10248,1.1316445293175221e-06
81323,3911,4188,10578,1.1862092347892242e-06
80919,3919,4268,10894,1.1668905648796192e-06
80516,3922,4329,11233,1.1246471577337491e-06
80124,3949,4366,11561,9.66207371702583e-07
79786,3862,4469,11883,1.054510230844237e-06
79410,3849,4476,12265,1.1281818244224975e-06
79009,3874,4485,12632,1.0723698228754065e-06
78629,3890,4499,12982,1.0035282611975217e-06
78274,3827,4576,13323,9.827411007879619e-07
77922,3794,4617,13667,1.0201078715987386e-06
77555,3786,4658,14001,1.0352907072776702e-06
77181,3762,4697,14360,9.709831693115185e-07
76829,3752,4714,14705,8.669915992876598e-07
76515,3709,4678,15098,8.884240773317842e-07
76197,3660,4636,15507,1.0134485987872837e-06
75839,3658,4605,15898,9.849999539712957e-07
75495,3660,4598,16247,1.0082793853448204e-06
75145,3625,4610,16620,9.843586564168277e-07
74804,3608,4616,16972,9.701841725810638e-07
74469,3595,4598,17338,9.111924342570716e-07
74157,3545,4596,17702,9.565009986985365e-07
73831,3540,4594,18035,8.815388297481817e-07
73532,3512,4537,18419,8.752612340049156e-07
73240,3476,4488,18796,9.522328369310089e-07
72927,3437,4474,19162,8.826899048024455e-07
72639,3391,4454,19516,9.828948296412373e-07
72321,3382,4431,19866,7.707806095602053e-07
72074,3335,4372,20219,1.0250469166829934e-06
71751,3344,4351,20554,8.424394713886431e-07
71488,3280,4364,20868,8.334037666362777e-07
71228,3221,4285,21266,8.387613094348394e-07
70972,3164,4255,21609,9.040158370328995e-07
70699,3113,4223,21965,8.842388139193002e-07
70435,3085,4156,22324,8.403709848457881e-07
70189,3026,4151,22634,8.95815801929209e-07
69928,2970,4161,22941,9.141823109379563e-07
69662,2923,4159,23256,8.594378728204388e-07
69413,2883,4114,23590,7.528931706012992e-07
69198,2791,4095,23916,8.081426619534657e-07
68969,2751,4043,24237,8.104958001129724e-07
68743,2687,3993,24577,8.779893565758465e-07
68502,2657,3979,24862,7.74114611182886e-07
68291,2612,3903,25194,7.803713406779258e-07
68083,2551,3855,25511,7.925018202299921e-07
67875,2506,3803,25816,7.438152200283871e-07
67683,2457,3765,26095,7.338326416960685e-07
67496,2392,3695,26417,7.337677345245979e-07
67313,2362,3632,26693,8.344212987247228e-07
67109,2304,3586,27001,8.269171969248953e-07
66910,2267,3524,27299,7.676294804327429e-07
66729,2237,3435,27599,7.198509568226197e-07
66564,2160,3419,27857,6.459201337945783e-07
66417,2080,3379,28124,7.753214539560449e-07
66243,2035,3329,28393,8.162415859606665e-07
66063,2019,3243,28675,8.775110802227211e-07
65875,1996,3189,28940,6.378662896591283e-07
65741,1925,3130,29204,6.220557747843179e-07
65613,1865,3070,29452,6.950239413407737e-07
65473,1828,2989,29710,7.204949757560339e-07
65332,1768,2940,29960,7.75734281957441e-07
65183,1757,2841,30219,6.966010614806975e-07
65054,1717,2791,30438,8.757159955871404e-07
64895,1703,2739,30663,8.889018661060059e-07
64737,1675,2714,30874,7.512967638267547e-07
64605,1638,2666,31091,7.315504288191853e-07
64479,1618,2583,31320,7.865540943241795e-07
64348,1569,2552,31531,7.002967601909133e-07
64233,1540,2496,31731,8.29562007227693e-07
64100,1518,2456,31926,8.638782033366026e-07
63964,1506,2430,32100,7.334372498110434e-07
63850,1477,2365,32308,6.953400626799399e-07
63745,1429,2343,32483,7.498935335308031e-07
63633,1397,2301,32669,6.624799165286233e-07
