S,E,I,R,Beta
99000,0,1000,0,1.0808080808080808e-06
98893,107,916,84,1.1480804293926782e-06
98789,197,857,157,1.086671848122774e-06
98697,264,810,229,9.256413537529816e-07
98623,305,772,300,1.6286440450810771e-06
98499,395,746,360,1.469782616701352e-06
98391,462,712,435,1.6273069645654766e-06
98277,531,681,511,1.7481828647687766e-06
98160,596,674,570,1.6475251451635917e-06
98051,626,697,626,1.7412541158894164e-06
97932,682,700,686,1.4879128958285925e-06
97830,720,692,758,2.422510678249813e-06
97666,820,708,806,2.357278773581031e-06
97503,895,730,872,1.3065983638859584e-06
97410,914,754,922,2.028669870603539e-06
97261,963,795,981,1.952859901895302e-06
97110,1010,847,1033,2.224865313583824e-06
96927,1092,876,1105,1.8137266887244096e-06
96773,1145,911,1171,2.211882384163748e-06
96578,1227,946,1249,2.2766380553097837e-06
96370,1328,971,1331,2.0518241625164425e-06
96178,1387,1017,1418,2.1571768978908803e-06
95967,1436,1103,1494,2.201194859584599e-06
95734,1515,1155,1596,2.0258152165311586e-06
95510,1587,1205,1698,1.920243844901644e-06
95289,1645,1281,1785,1.7859306659606833e-06
95071,1697,1354,1878,1.887728563338972e-06
94828,1782,1408,1982,1.969774462471767e-06
94565,1859,1482,2094,2.368969411966849e-06
94233,1992,1577,2198,2.0927901287275207e-06
93922,2096,1662,2320,2.05639567112952e-06
93601,2198,1757,2444,1.927556035224463e-06
93284,2307,1837,2572,1.8790552726325965e-06
92962,2386,1946,2706,1.7744212827250547e-06
92641,2457,2035,2867,1.8087840974036071e-06
92300,2562,2115,3023,1.7570416131998392e-06
91957,2653,2208,3182,1.7533399747487523e-06
91601,2723,2312,3364,1.7990238921327562e-06
91220,2818,2421,3541,1.6436970196376965e-06
90857,2879,2543,3721,1.5710929220485022e-06
90494,2960,2642,3904,1.4095396674326253e-06
90157,2986,2734,4123,1.4077693728762308e-06
89810,3031,2825,4334,1.4898709468267818e-06
89432,3108,2885,4575,1.3797844218618006e-06
89076,3159,2958,4807,1.3928591066312512e-06
88709,3216,3037,5038,1.3845108270658266e-06
88336,3251,3128,5285,1.3064798854501598e-06
87975,3286,3217,5522,1.3462156632192417e-06
87594,3319,3306,5781,1.3847365784182678e-06
87193,3370,3422,6015,1.4042757535610135e-06
86774,3471,3479,6276,1.3912502140786266e-06
86354,3528,3565,6553,1.3577952601316458e-06
85936,3575,3677,6812,1.2025823671449028e-06
85556,3571,3750,7123,1.1875262985646827e-06
85175,3630,3779,7416,1.2737811642406442e-06
84765,3666,3852,7717,1.270999125981372e-06
84350,3720,3898,8032,1.1891861313524514e-06
83959,3726,3984,8331,1.189861699086153e-06
83561,3726,4055,8658,1.2955972962507612e-06
83122,3794,4071,9013,1.1495623054820157e-06
82733,3802,4144,9321,1.1696228743839731e-06
82332,3833,4164,9671,1.1405054664222824e-06
81941,3829,4225,10005,1.201615045722391e-06
81525,3842,4309,10324,1.1415030364051937e-06
81124,3824,4355,10697,9.76520982378976e-07
80779,3767,4394,11060,9.66352545366688e-07
80436,3737,4411,11416,1.1302040244304905e-06
80035,3771,4431,11763,1.0856229862310437e-06
79650,3794,4447,12109,1.0389506259889265e-06
79282,3794,4445,12479,1.0953198091226462e-06
78896,3816,4445,12843,9.837672136450397e-07
78551,3764,4463,13222,9.641355468124562e-07
78213,3728,4459,13600,9.175580750534232e-07
77893,3677,4427,14003,1.01788605302709e-06
77542,3656,4405,14397,9.631922662628793e-07
77213,3615,4413,14759,9.860862959511042e-07
76877,3572,4431,15120,1.112605064742063e-06
76498,3609,4415,15478,1.0007737639281874e-06
76160,3636,4373,15831,8.887616331691607e-07
75864,3563,4395,16178,1.0197278958082825e-06
75524,3532,4406,16538,9.346110526249612e-07
75213,3501,4371,16915,9.733661974612706e-07
74893,3518,4335,17254,9.733224783235925e-07
74577,3501,4287,17635,9.63368238635596e-07
74269,3463,4286,17982,8.576358052003605e-07
73996,3343,4322,18339,9.974650254992085e-07
73677,3314,4309,18700,9.701575964002844e-07
73369,3274,4316,19041,9.28438827837264e-07
