initial,finite
0,0
1,1
2,2
3,3
4,4
5,5
6,6
8,7
9,8
11,9
12,10
13,11
15,12
16,13
17,14
19,15
21,16
23,17
24,18
25,19
26,20
27,21
29,22
30,23
31,24
32,25
33,26
34,27
35,28
36,29
37,30
39,31
40,32
41,33
43,34
44,35
45,36
46,37
47,38
48,39
50,40
52,41
53,42
54,43
55,44
59,45
60,46
61,47
62,48
64,49
65,50
66,51
67,52
68,53
70,54
71,55
72,56
73,57
74,58
76,59
78,60
79,61
80,62
81,63
82,64
83,65
85,66
86,67
87,68
88,69
89,70
90,71
91,72
92,73
94,74
95,75
96,76
97,77
98,78
99,79
100,80
101,81
102,82
103,83
105,84
106,85
108,86
109,87
110,88
111,89
112,90
113,91
114,92
115,93
117,94
118,95
119,96
120,97
121,98
122,99
123,100
124,101
125,102
126,103
128,104
129,105
130,106
131,107
133,108
135,109
136,110
137,111
139,112
142,113
143,114
144,115
145,116
146,117
148,118
149,119
150,120
152,121
153,122
154,123
155,124
157,125
158,126
159,127
160,128
161,129
163,130
165,131
166,132
167,133
168,134
169,135
170,136
172,137
173,138
174,139
175,140
176,141
179,142
180,143
182,144
183,145
184,146
186,147
187,148
188,149
189,150
190,151
191,152
193,153
194,154
195,155
196,156
197,157
198,158
199,159
200,160
203,161
204,162
205,163
206,164
207,165
208,166
209,167
210,168
211,169
212,170
213,171
214,172
215,173
217,174
218,175
219,176
220,177
221,178
223,179
224,180
225,181
226,182
228,183
229,184
230,185
232,186
233,187
234,188
235,189
237,190
238,191
239,192
240,193
241,194
242,195
243,196
244,197
246,198
248,199
251,200
252,201
253,202
254,203
255,204
256,205
257,206
258,207
259,208
261,209
262,210
263,211
264,212
265,213
266,214
268,215
269,216
270,217
271,218
272,219
273,220
275,221
276,222
278,223
279,224
280,225
281,226
283,227
284,228
285,229
286,230
287,231
291,232
292,233
293,234
294,235
295,236
296,237
298,238
299,239
300,240
302,241
304,242
305,243
306,244
307,245
308,246
309,247
310,248
311,249
312,250
314,251
316,252
317,253
318,254
319,255
321,256
322,257
323,258
324,259
325,260
326,261
327,262
328,263
329,264
330,265
331,266
333,267
336,268
337,269
338,270
339,271
341,272
342,273
343,274
345,275
346,276
347,277
348,278
349,279
350,280
351,281
353,282
354,283
355,284
356,285
357,286
358,287
359,288
360,289
361,290
362,291
363,292
364,293
365,294
366,295
368,296
369,297
371,298
373,299
375,300
376,301
377,302
378,303
379,304
383,305
385,306
386,307
387,308
388,309
389,310
390,311
391,312
392,313
393,314
394,315
395,316
396,317
398,318
399,319
400,320
401,321
402,322
403,323
404,324
406,325
407,326
408,327
409,328
410,329
411,330
412,331
413,332
415,333
416,334
417,335
418,336
419,337
420,338
422,339
423,340
425,341
426,342
427,343
428,344
429,345
430,346
431,347
433,348
434,349
435,350
437,351
438,352
439,353
440,354
443,355
444,356
445,357
446,358
448,359
450,360
451,361
452,362
453,363
455,364
456,365
457,366
458,367
459,368
460,369
461,370
462,371
464,372
466,373
467,374
468,375
469,376
470,377
472,378
473,379
474,380
476,381
480,382
481,383
482,384
483,385
484,386
485,387
487,388
488,389
489,390
490,391
491,392
493,393
494,394
495,395
496,396
497,397
498,398
499,399
500,400
502,401
503,402
504,403
505,404
506,405
507,406
508,407
510,408
513,409
514,410
515,411
516,412
517,413
518,414
519,415
520,416
521,417
522,418
523,419
524,420
525,421
526,422
527,423
529,424
531,425
533,426
534,427
535,428
536,429
537,430
538,431
540,432
541,433
544,434
545,435
546,436
547,437
548,438
549,439
550,440
551,441
552,442
553,443
554,444
555,445
556,446
557,447
558,448
559,449
560,450
561,451
563,452
564,453
565,454
567,455
568,456
570,457
573,458
575,459
576,460
577,461
578,462
580,463
581,464
582,465
583,466
585,467
586,468
587,469
588,470
589,471
591,472
592,473
593,474
594,475
595,476
596,477
598,478
599,479
600,480
601,481
602,482
603,483
604,484
605,485
607,486
609,487
610,488
611,489
613,490
614,491
615,492
617,493
618,494
619,495
620,496
621,497
622,498
623,499
624,500
625,501
627,502
628,503
629,504
630,505
631,506
632,507
633,508
634,509
635,510
636,511
638,512
640,513
642,514
644,515
646,516
647,517
648,518
649,519
650,520
651,521
652,522
653,523
654,524
656,525
657,526
658,527
659,528
660,529
661,530
662,531
663,532
664,533
666,534
667,535
668,536
669,537
671,538
672,539
673,540
675,541
676,542
677,543
678,544
679,545
680,546
683,547
684,548
685,549
686,550
688,551
689,552
690,553
691,554
694,555
695,556
696,557
697,558
699,559
700,560
701,561
702,562
703,563
704,564
705,565
706,566
707,567
709,568
710,569
711,570
713,571
714,572
715,573
717,574
718,575
720,576
721,577
722,578
723,579
724,580
725,581
729,582
730,583
731,584
733,585
734,586
736,587
737,588
738,589
739,590
740,591
741,592
742,593
744,594
745,595
746,596
747,597
748,598
749,599
751,600
752,601
753,602
754,603
755,604
756,605
757,606
760,607
761,608
764,609
765,610
767,611
769,612
771,613
772,614
773,615
774,616
775,617
776,618
777,619
778,620
779,621
780,622
781,623
782,624
783,625
784,626
785,627
787,628
788,629
789,630
790,631
791,632
792,633
793,634
794,635
795,636
796,637
797,638
799,639
800,640
801,641
802,642
803,643
804,644
805,645
806,646
807,647
808,648
809,649
810,650
811,651
812,652
813,653
815,654
817,655
818,656
819,657
820,658
821,659
822,660
824,661
825,662
827,663
828,664
830,665
831,666
834,667
835,668
836,669
838,670
839,671
840,672
842,673
843,674
844,675
845,676
846,677
847,678
848,679
851,680
852,681
853,682
856,683
857,684
858,685
859,686
860,687
861,688
862,689
863,690
864,691
865,692
866,693
868,694
869,695
872,696
873,697
874,698
875,699
876,700
878,701
879,702
880,703
881,704
882,705
883,706
884,707
885,708
886,709
887,710
888,711
889,712
890,713
892,714
893,715
894,716
895,717
896,718
897,719
900,720
901,721
903,722
904,723
905,724
906,725
907,726
908,727
909,728
910,729
911,730
912,731
913,732
915,733
916,734
918,735
919,736
920,737
921,738
923,739
924,740
925,741
926,742
927,743
928,744
929,745
930,746
931,747
932,748
933,749
935,750
936,751
938,752
939,753
940,754
941,755
943,756
947,757
948,758
949,759
950,760
951,761
952,762
954,763
956,764
957,765
958,766
959,767
961,768
962,769
963,770
964,771
965,772
966,773
967,774
968,775
969,776
972,777
973,778
974,779
975,780
976,781
977,782
978,783
980,784
981,785
983,786
984,787
985,788
987,789
988,790
989,791
990,792
991,793
992,794
993,795
995,796
996,797
997,798
998,799
1001,800
1003,801
1004,802
1005,803
1006,804
1007,805
1008,806
1009,807
1011,808
1014,809
1015,810
1016,811
1017,812
1018,813
1019,814
1020,815
1021,816
1022,817
1023,818
1024,819
1026,820
1027,821
1028,822
1029,823
1030,824
1031,825
1032,826
1033,827
1034,828
1038,829
1039,830
1040,831
1041,832
1042,833
1043,834
1044,835
1045,836
1047,837
1048,838
1049,839
1050,840
1051,841
1052,842
1053,843
1055,844
1056,845
1057,846
1058,847
1059,848
1060,849
1061,850
1062,851
1064,852
1065,853
1066,854
1067,855
1069,856
1071,857
1072,858
1073,859
1074,860
1076,861
1077,862
1078,863
1080,864
1081,865
1082,866
1083,867
1085,868
1087,869
1088,870
1089,871
1090,872
1091,873
1092,874
1093,875
1094,876
1095,877
1096,878
1097,879
1100,880
1102,881
1105,882
1106,883
1107,884
1108,885
1110,886
1111,887
1112,888
1113,889
1114,890
1115,891
1116,892
1117,893
1118,894
1119,895
1120,896
1122,897
1123,898
1124,899
1125,900
1127,901
1128,902
1129,903
1130,904
1131,905
1133,906
1134,907
1135,908
1137,909
1138,910
1139,911
1140,912
1141,913
1143,914
1144,915
1145,916
1146,917
1147,918
1148,919
1150,920
1151,921
1152,922
1155,923
1156,924
1158,925
1159,926
1160,927
1161,928
1162,929
1163,930
1164,931
1165,932
1166,933
1167,934
1168,935
1169,936
1170,937
1171,938
1172,939
1173,940
1174,941
1175,942
1176,943
1178,944
1179,945
1181,946
1182,947
1183,948
1184,949
1187,950
1188,951
1189,952
1190,953
1192,954
1194,955
1195,956
1196,957
1198,958
1199,959
1200,960
1201,961
1202,962
1203,963
1204,964
1207,965
1208,966
1209,967
1210,968
1211,969
1212,970
1213,971
1214,972
1215,973
1217,974
1218,975
1219,976
1220,977
1221,978
1222,979
1225,980
1227,981
1228,982
1229,983
1230,984
1231,985
1232,986
1234,987
1235,988
1236,989
1237,990
1238,991
1239,992
1240,993
1241,994
1245,995
1246,996
1247,997
1248,998
1249,999
1250,1000
1251,1001
1253,1002
1254,1003
1255,1004
1256,1005
1257,1006
1258,1007
1260,1008
1261,1009
1262,1010
1263,1011
1264,1012
1265,1013
1266,1014
1267,1015
1269,1016
