S,E,I,R,Beta
99100,0,900,0,1.9284673169637853e-06
98928,172,838,62,1.6525603153152631e-06
98791,292,788,129,2.029614177538419e-06
98633,429,738,200,2.2392830865135067e-06
98470,549,738,243,2.4769212859184547e-06
98290,671,736,303,2.764667111962383e-06
98090,801,758,351,3.0395864440900354e-06
97864,944,776,416,3.2129586946243936e-06
97620,1096,806,478,3.4315467430046014e-06
97350,1261,838,551,3.6896614704955793e-06
97049,1441,899,611,3.610437216955333e-06
96734,1608,992,666,4.147555951571886e-06
96336,1839,1063,762,4.081825245382147e-06
95918,2062,1185,835,4.03825947321565e-06
95459,2323,1298,920,4.1805958659782316e-06
94941,2594,1450,1015,3.8136207277913796e-06
94416,2864,1587,1133,3.8041035625950425e-06
93846,3167,1716,1271,3.881029710580251e-06
93221,3469,1914,1396,3.704637927576447e-06
92560,3768,2120,1552,3.5927740904421e-06
91855,4081,2344,1720,3.292955230857062e-06
91146,4395,2570,1889,3.4237624998281714e-06
90344,4734,2827,2095,3.3163341776059755e-06
89497,5127,3059,2317,2.965979018920108e-06
88685,5441,3299,2575,2.9257773856309434e-06
87829,5784,3564,2823,3.070066298992204e-06
86868,6183,3822,3127,2.9517228025309253e-06
85888,6538,4165,3409,2.7898640827418896e-06
84890,6890,4455,3765,2.8531013727542567e-06
83811,7298,4754,4137,2.6478431771283053e-06
82756,7642,5092,4510,2.6175056423264874e-06
81653,8034,5384,4929,2.540832150781069e-06
80536,8334,5783,5347,2.471337594059624e-06
79385,8674,6146,5795,2.4923129260387076e-06
78169,9030,6483,6318,2.261382567033758e-06
77023,9266,6873,6838,2.3215877785000263e-06
75794,9561,7278,7367,2.242450271788961e-06
74557,9842,7670,7931,2.1246749094376993e-06
73342,10016,8076,8566,2.1762253168270035e-06
72053,10317,8468,9162,2.1929220592035067e-06
70715,10656,8824,9805,2.0545228702370406e-06
69433,10860,9190,10517,2.1156914298214103e-06
68083,11117,9494,11306,1.9802592840735814e-06
66803,11302,9790,12105,1.952595298080186e-06
65526,11475,10160,12839,1.9527020710177915e-06
64226,11606,10510,13658,1.8918090829531765e-06
62949,11716,10837,14498,1.7751956884621748e-06
61738,11763,11137,15362,1.7699858813883798e-06
60521,11781,11464,16234,1.6373293944568998e-06
59385,11748,11692,17175,1.696601016848746e-06
58207,11785,11881,18127,1.7193078358168946e-06
57018,11816,12090,19076,1.617471312949481e-06
55903,11772,12315,20010,1.6123281925410952e-06
54793,11730,12485,20992,1.6299010567467155e-06
53678,11682,12621,22019,1.4819843589894672e-06
52674,11528,12730,23068,1.549497373773455e-06
51635,11434,12832,24099,1.4926492232669995e-06
50646,11305,13008,25041,1.4526341804112273e-06
49689,11128,13073,26110,1.4239876245037987e-06
48764,10906,13173,27157,1.35747697038763e-06
47892,10719,13135,28254,1.3973198356370353e-06
47013,10539,13119,29329,1.3522199942857517e-06
46179,10264,13152,30405,1.3600150772654532e-06
45353,10027,13161,31459,1.363733458442978e-06
44539,9798,13215,32448,1.3082269628006598e-06
43769,9514,13211,33506,1.2711155224565221e-06
43034,9294,13079,34593,1.362727777771599e-06
42267,9169,12955,35609,1.2491576746261477e-06
41583,8903,12901,36613,1.312301017814518e-06
40879,8675,12845,37601,1.2759699035264866e-06
40209,8519,12693,38579,1.2990503254388517e-06
39546,8373,12469,39612,1.27966170141297e-06
38915,8145,12332,40608,1.2585961177144112e-06
38311,7943,12191,41555,1.2525441607407178e-06
37726,7721,12061,42492,1.112055440069062e-06
37220,7497,11809,43474,1.2354077976483024e-06
36677,7295,11627,44401,1.099794047970423e-06
36208,7054,11443,45295,1.1319530347907044e-06
35739,6841,11275,46145,1.1986383914570584e-06
35256,6639,11007,47098,1.0333379243429243e-06
34855,6384,10812,47949,1.217983938851793e-06
34396,6209,10612,48783,1.109557572219212e-06
33991,5980,10384,49645,9.774408244292346e-07
33646,5733,10166,50455,1.0027913383947848e-06
33303,5506,9921,51270,1.10775132555385e-06
32937,5345,9644,52074,1.0892682808212207e-06
32591,5188,9355,52866,1.0069244753017415e-06
32284,4953,9148,53615,1.02934293735576e-06
31980,4740,8947,54333,9.121885374178689e-07
31719,4531,8703,55047,1.0976254243259594e-06
31416,4410,8436,55738,1.0602758280776856e-06
31135,4256,8191,56418,1.0155795988252762e-06
30876,4085,7972,57067,9.831664355494263e-07
30634,3951,7737,57678,1.092756652822748e-06
30375,3803,7548,58274,9.857351905282188e-07
30149,3652,7333,58866,1.0539046586371826e-06
29916,3524,7131,59429,1.0312612987566045e-06
29696,3415,6899,59990,1.1177672551244309e-06
29467,3316,6705,60512,9.414087681142421e-07
29281,3129,6559,61031,9.476497502560204e-07
29099,2999,6348,61554,9.257231570654667e-07
28928,2848,6163,62061,1.015238311993211e-06
28747,2755,5966,62532,8.571198573435365e-07
28600,2632,5777,62991,1.010760055246813e-06
28433,2530,5560,63477,1.0500515284322325e-06
28267,2461,5360,63912,9.504252889160875e-07
28123,2380,5141,64356,8.714877651106416e-07
27997,2277,4957,64769,8.862876450587169e-07
27874,2191,4771,65164,9.098643689999614e-07
27753,2087,4622,65538,9.043116221677525e-07
27637,1982,4468,65913,6.721621129330178e-07
27554,1881,4283,66282,9.236209377647096e-07
27445,1775,4150,66630,9.921266410147788e-07
27332,1725,3984,66959,8.908016083064881e-07
27235,1648,3823,67294,7.971616818209823e-07
27152,1574,3687,67587,8.790381213261202e-07
27064,1501,3574,67861,7.7538024233548e-07
26989,1422,3423,68166,8.118346264289386e-07
26914,1348,3295,68443,8.90827108162085e-07
26835,1304,3164,68697,9.539968581703471e-07
26754,1271,3019,68956,8.914164838210508e-07
26682,1204,2905,69209,9.159965377911143e-07
26611,1162,2803,69424,7.909840368293965e-07
26552,1075,2741,69632,9.34335043093181e-07
26484,1041,2619,69856,8.217803984787201e-07
26427,1001,2498,70074,8.18000296479663e-07
26373,952,2408,70267,1.0077758726614718e-06
26309,911,2334,70446,8.956895283438997e-07
26254,883,2250,70613,9.64932327772276e-07
26197,835,2163,70805,8.823927370889133e-07
26147,801,2076,70976,7.000585764802573e-07
26109,761,1981,71149,8.313688377709192e-07
26066,726,1904,71304,7.052233922035016e-07
26031,677,1819,71473,9.926000819127377e-07
25984,646,1752,71618,7.907922261960996e-07
25948,622,1676,71754,9.887592331716857e-07
25905,601,1605,71889,7.215436705287292e-07
25875,571,1524,72030,6.339787236740336e-07
25850,549,1454,72147,9.312002639287605e-07
25815,518,1395,72272,8.330573830751896e-07
25785,504,1325,72386,6.439314944698725e-07
25763,466,1290,72481,6.920567233762018e-07
25740,448,1223,72589,9.847515979977141e-07
25709,439,1159,72693,9.732611272021753e-07
25680,423,1100,72797,1.1682242990654206e-06
25647,423,1041,72889,6.367392478244211e-07
25630,399,1004,72967,8.160879696197652e-07
25609,382,961,73048,6.907691181832415e-07
25592,358,933,73117,7.538529423885479e-07
25574,345,887,73194,1.1902590259325701e-06
25547,343,852,73258,1.1026349115163049e-06
25523,323,816,73338,5.761815755569947e-07
25511,304,769,73416,1.3762899596232208e-06
25484,298,741,73477,6.354705691337964e-07
25472,272,717,73539,4.927882088265596e-07
25463,244,706,73587,1.1681672423876938e-06
25442,237,678,73643,4.637768268806904e-07
25434,223,652,73691,9.04542540273852e-07
25419,215,617,73749,8.926565797748376e-07
25405,207,594,73794,5.301323939387312e-07
25397,185,582,73836,8.795042626865446e-07
25384,190,551,73875,7.864679467123638e-07
25373,187,511,73929,7.712714942760472e-07
25363,177,490,73970,8.851074238787499e-07
25352,173,466,74009,8.464510676795188e-07
25342,159,437,74062,1.2641706760441643e-06
25328,150,428,74094,1.1069718563475242e-06
25316,148,407,74129,5.823200640707356e-07
25310,139,392,74159,9.071190704650094e-07
25301,129,379,74191,5.214265103040657e-07
25296,115,377,74212,1.0485926209278955e-06
25286,118,363,74233,6.53678937745579e-07
25280,113,352,74255,5.61888665132336e-07
25275,106,337,74282,9.392234383209033e-07
25267,102,330,74301,8.395187878308154e-07
25260,102,307,74331,3.86856174611403e-07
25257,92,300,74351,1.0558129099523565e-06
25249,90,286,74375,1.2463278335194054e-06
25240,84,281,74395,1.1279616041869934e-06
25232,78,280,74410,1.1323489446507835e-06
25224,81,259,74436,9.184119555194722e-07
25218,79,252,74451,7.867899849817528e-07
25213,76,248,74463,9.595664295044928e-07
25207,74,237,74482,6.695615158805764e-07
25203,70,230,74497,6.900489762260877e-07
25199,59,228,74514,8.702656677409226e-07
25194,59,213,74534,7.453894865049097e-07
25190,60,203,74547,7.822323738601408e-07
25186,57,187,74570,4.2464810473181136e-07
25184,54,184,74578,6.4740898292912e-07
25181,52,171,74596,9.289469387830934e-07
25177,50,160,74613,7.447273305000595e-07
25174,45,159,74622,1.2491674299079663e-06
25169,48,146,74637,2.721329837694446e-07
25168,47,136,74649,0.0
25168,45,128,74659,3.1041401780038144e-07
25167,42,122,74669,9.770796652134235e-07
25164,40,122,74674,3.2573205020964115e-07
25163,40,107,74690,7.428203626374728e-07
25161,39,105,74695,3.7851474598821685e-07
25160,39,94,74707,1.268477488752833e-06
25157,38,91,74714,0.0
25157,33,90,74720,4.416707521211238e-07
25156,29,89,74726,2.6799065963220963e-06
25150,32,83,74735,4.790533905003713e-07
25149,30,81,74740,4.909013882200357e-07
25148,27,76,74749,5.23218336919123e-07
25147,25,72,74756,0.0
25147,23,70,74760,5.680882127376739e-07
25146,22,65,74767,6.118116354336826e-07
25145,22,57,74776,0.0
25145,22,53,74780,7.503648649155652e-07
25144,21,49,74786,8.116514184420189e-07
25143,22,41,74794,1.9401220142734776e-06
25141,20,41,74798,0.0
25141,19,35,74805,1.136447578514322e-06
25140,19,34,74807,1.169919041602321e-06
25139,20,30,74811,0.0
25139,14,33,74814,2.4108381640503047e-06
25137,15,33,74815,2.4110299799522856e-06
25135,14,31,74820,2.5667845248560995e-06
25133,15,31,74821,0.0
25133,13,30,74824,0.0
25133,13,28,74826,0.0
25133,12,25,74830,1.5915330442048303e-06
25132,10,26,74832,3.0607622522312957e-06
25130,10,27,74833,4.421452889419463e-06
25127,13,26,74834,0.0
25127,12,26,74835,0.0
25127,10,23,74840,0.0
25127,9,22,74842,0.0
25127,8,22,74843,1.8089921381201677e-06
25126,6,21,74847,0.0
25126,5,20,74849,0.0
25126,5,19,74850,0.0
25126,4,15,74855,0.0
25126,4,13,74857,3.0614931514398202e-06
25125,5,11,74859,0.0
25125,4,12,74859,3.316749585406302e-06
25124,3,13,74860,0.0
25124,3,10,74863,0.0
25124,3,10,74863,0.0
25124,3,10,74863,3.980257920713262e-06
25123,4,9,74864,0.0
25123,3,9,74865,0.0
25123,3,8,74866,0.0
25123,3,8,74866,0.0
25123,3,7,74867,0.0
25123,3,5,74869,0.0
25123,3,5,74869,0.0
25123,3,5,74869,
