S,E,I,R,Beta
99100,0,900,0,6.121762529431551e-06
98554,546,837,63,5.32187667846717e-06
98115,921,839,125,6.13470959772887e-06
97610,1332,876,182,6.596000578202604e-06
97046,1772,931,251,8.068637564393317e-06
96317,2324,1043,316,8.02320310337496e-06
95511,2908,1185,396,8.1904543038253e-06
94584,3548,1390,478,8.161448511832504e-06
93511,4276,1636,577,7.634785536651821e-06
92343,5045,1905,707,6.946599268736838e-06
91121,5795,2212,872,7.446926927617438e-06
89620,6696,2621,1063,7.164933360159615e-06
87937,7700,3102,1261,7.397887504995132e-06
85919,8963,3625,1493,6.694356472876819e-06
83834,10145,4216,1805,6.753542364532711e-06
81447,11525,4890,2138,6.2896108960465915e-06
78942,12878,5621,2559,5.976567232047673e-06
76290,14227,6490,2993,5.574382561392432e-06
73530,15623,7315,3532,5.218714231147395e-06
70723,16908,8244,4125,5.09570166810324e-06
67752,18214,9246,4788,4.951830660187642e-06
64650,19450,10387,5513,4.678940471651197e-06
61508,20701,11416,6375,4.598566584783224e-06
58279,21889,12531,7301,4.301006661906037e-06
55138,22812,13750,8300,4.0836380783422754e-06
52042,23613,14966,9379,3.984025012374101e-06
48939,24329,16096,10636,3.7767124139650947e-06
45964,24883,17199,11954,3.5317861691296802e-06
43172,25080,18457,13291,3.6733257381623995e-06
40245,25587,19342,14826,3.40048317692845e-06
37598,25721,20336,16345,3.2841004775811895e-06
35087,25524,21442,17947,3.34824045126019e-06
32568,25384,22423,19625,3.1056910029380495e-06
30300,25150,23100,21450,2.976011886902976e-06
28217,24754,23745,23284,3.0611361652395032e-06
26166,24374,24228,25232,2.9292537980070625e-06
24309,23799,24705,27187,2.785761866198692e-06
22636,23069,25147,29148,2.8424487972552106e-06
21018,22317,25498,31167,2.6701897796241436e-06
19587,21556,25579,33278,2.6925294640315717e-06
18238,20704,25778,35280,2.631135831091919e-06
17001,19856,25762,37381,2.5503461504689342e-06
15884,18943,25741,39432,2.5851734934144504e-06
14827,18125,25626,41422,2.531867433674061e-06
13865,17294,25422,43419,2.4483934411086053e-06
13002,16412,25181,45405,2.4129257414283974e-06
12212,15560,24801,47427,2.4333887723349594e-06
11475,14701,24447,49377,2.2493192111020837e-06
10844,13799,23993,51364,2.1177638756465655e-06
10293,12914,23550,53243,2.2978533635395854e-06
9736,12150,22982,55132,2.0737175111928904e-06
9272,11411,22338,56979,2.3464892002400022e-06
8786,10715,21744,58755,2.2193981427741336e-06
8362,10102,20986,60550,1.931789790362172e-06
8023,9367,20441,62169,1.914655826316277e-06
7709,8700,19804,63787,1.9650350055265954e-06
7409,8068,19170,65353,2.2107922852924647e-06
7095,7562,18519,66824,1.902698944203772e-06
6845,7075,17819,68261,1.7299186270053988e-06
6634,6553,17091,69722,1.6669357577246995e-06
6445,6085,16372,71098,1.8006484988183007e-06
6255,5636,15701,72408,1.8837232615028924e-06
6070,5258,15042,73630,1.960463475470221e-06
5891,4883,14354,74872,1.797552665159198e-06
5739,4585,13695,75981,1.8067168005132094e-06
5597,4244,13004,77155,1.5525520741078995e-06
5484,3923,12408,78185,1.5283897215085818e-06
5380,3626,11818,79176,1.6199848885293117e-06
5277,3389,11195,80139,1.4049695125847605e-06
5194,3149,10594,81063,1.690133596155771e-06
5101,2954,10045,81900,1.522261760911421e-06
5023,2720,9603,82654,1.5133965970427525e-06
4950,2502,9151,83397,1.7881801293450295e-06
4869,2331,8683,84117,1.5374598424359116e-06
4804,2151,8267,84778,1.4100583693662e-06
4748,1986,7856,85410,1.447710001595698e-06
4694,1851,7407,86048,9.778978406232453e-07
4660,1689,7038,86613,1.524525963896786e-06
4610,1584,6619,87187,1.37643587660449e-06
4568,1473,6249,87710,1.3312112424853126e-06
4530,1368,5924,88178,1.6396057195409701e-06
4486,1291,5559,88664,1.4435989499261237e-06
4450,1205,5229,89116,1.5471194569610705e-06
4414,1119,4906,89561,1.2006418446587415e-06
4388,1037,4624,89951,9.857018039131572e-07
4368,942,4380,90310,1.5680666365597873e-06
4338,870,4162,90630,1.0523542937938348e-06
4319,813,3910,90958,1.2435387797568468e-06
4298,757,3681,91264,1.20094017181535e-06
4279,700,3447,91574,2.0339378806896105e-06
4249,660,3230,91861,1.457272408659987e-06
4229,607,3031,92133,1.560293768990238e-06
4209,561,2849,92381,1.4176778253756158e-06
4192,528,2683,92597,1.1558498092314346e-06
4179,489,2526,92806,1.1367776559531056e-06
4167,459,2372,93002,8.093787572879499e-07
4159,420,2236,93185,1.3979210118711453e-06
4146,383,2092,93379,1.2682407609813508e-06
4135,353,1958,93554,1.111614768666791e-06
4126,334,1848,93692,1.180351398480337e-06
4117,315,1732,93836,8.414387255905637e-07
4111,291,1647,93951,8.861559838347426e-07
4105,255,1550,94090,7.858237397351774e-07
4100,230,1450,94220,8.410428931875526e-07
4095,205,1362,94338,1.7929533348035551e-06
4085,192,1293,94430,7.573025262665649e-07
4081,168,1221,94530,4.013726140655815e-07
4079,152,1139,94630,6.457193862824665e-07
4076,140,1050,94734,2.3365577830739755e-07
4075,128,967,94830,5.075465832598448e-07
4073,125,905,94897,2.7129201465519464e-07
4072,111,855,94962,5.744551293098496e-07
4070,107,801,95022,6.134837595511752e-07
4068,94,753,95085,1.3058222697541529e-06
4064,92,703,95141,1.0500554429273866e-06
4061,87,661,95191,3.725336872900074e-07
4060,81,613,95246,8.036065863595818e-07
4058,77,575,95290,4.285683673688045e-07
4057,71,528,95344,1.4004974566966186e-06
4054,66,505,95375,9.769107152451802e-07
4052,59,464,95425,1.0637573612009396e-06
4050,51,426,95473,1.159218686605228e-06
4048,48,391,95513,6.318045348402292e-07
4047,43,367,95543,1.3465755573644553e-06
4045,38,342,95575,0.0
4045,34,317,95604,0.0
4045,30,303,95622,0.0
4045,25,284,95646,0.0
4045,18,274,95663,0.0
4045,15,251,95689,9.849354128603017e-07
4044,16,239,95701,0.0
