actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,558.420216123059,103,96
480,436.75073642247105,119,104
403,364.67037181523153,89,86
494,382.5207491373345,95,86
444,294.9173190814194,129,116
523,789.2316352432947,95,97
451,754.7330721072246,102,109
509,1523.2251051601547,105,117
412,943.5882210183913,104,117
431,275.4447364735855,116,92
431,242.82352253653764,88,55
455,936.256321541782,94,107
444,301.0483747352236,110,97
392,262.6247182590552,94,83
472,608.3937553770405,94,105
460,319.6282341286908,102,70
481,280.3301894393681,106,79
424,887.7477117168331,105,102
516,598.7042335133715,102,91
460,332.7030944271564,90,78
422,350.57586992153387,94,67
507,385.0990787240999,92,70
494,2386.0195887743444,107,100
553,258.1748767379447,98,70
348,288.58145092964816,111,70
509,547.1287968707506,109,97
446,347.5056851870792,117,110
457,222.28084391601084,98,78
388,347.76773360879963,107,88
389,568.5299142024562,112,108
