actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,1250.6273642294097,103,118
480,1042.7877686315846,119,133
403,588.4325476210824,89,139
494,1164.1302690179532,95,121
444,1314.6317366559797,129,136
523,1083.9395839210201,95,120
451,688.1766570583719,102,143
509,1848.0833904761496,105,115
412,1473.2787463064656,104,121
431,555.8460963120885,116,155
431,587.4234383866823,88,129
455,1655.2576747889536,94,111
444,879.956138059863,110,143
392,936.7894926204987,94,134
472,828.7707800491676,94,136
460,398.13495470303064,102,119
481,250.7388999111781,106,125
424,1140.783261598119,105,122
516,1022.5477238489013,102,120
460,1209.5161079956079,90,119
422,884.545677598144,94,117
507,922.362473557566,92,115
494,1047.4527851986488,107,127
553,1046.6480404207737,98,124
348,450.0161935349749,111,130
509,946.8565725422567,109,129
446,1746.0751548850455,117,118
457,1422.8397534639525,98,120
388,515.6704780750092,107,145
389,1584.8694358367948,112,115
