actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,535.0549732055766,103,100
480,419.88769700024295,119,108
403,504.7783662763719,89,102
494,535.9969564695195,95,100
444,288.8260435881921,129,123
523,590.3542769429151,95,98
451,457.23676465987086,102,106
509,350.5378475534052,105,116
412,409.0974994969261,104,110
431,409.11776095979485,116,109
431,556.8315469618084,88,97
455,508.4882130488571,94,103
444,384.4587593017518,110,111
392,445.93119143088967,94,106
472,476.51313847733786,94,105
460,599.5486879847124,102,96
481,485.9328925286203,106,104
424,533.7427258196155,105,101
516,590.1463923881089,102,97
460,542.5937612881096,90,99
422,648.4689009499249,94,94
507,670.8686663771525,92,93
494,501.6405834224454,107,104
553,532.6803924244512,98,100
348,562.6326795455194,111,98
509,508.8089226366692,109,102
446,342.5202421854667,117,117
457,432.7934659290709,98,107
388,477.8147434491733,107,104
389,453.6402137185706,112,107
