actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,472.08595507446375,103,96
480,378.1728549085134,119,105
403,424.22999488067063,89,95
494,492.2996780051848,95,97
444,165.56313009211027,129,94
523,750.1826233694785,95,104
451,376.70080705819515,102,98
509,605.4020102395818,105,128
412,352.57052431051744,104,104
431,233.64644817830293,116,85
431,308.11629733899616,88,73
455,605.7831947634987,94,108
444,271.85419778523084,110,96
392,282.1464651481516,94,87
472,401.03901737174033,94,98
460,378.0672810809217,102,79
481,289.561215567669,106,83
424,937.4337594945771,105,110
516,707.2947978167211,102,102
460,514.396160696699,90,98
422,498.66251005282305,94,84
507,522.8933258348369,92,84
494,921.0981616279022,107,113
553,351.7585847574547,98,85
348,352.7766714739942,111,81
509,621.1268077172423,109,108
446,300.0189188335558,117,110
457,237.73843523357388,98,82
388,329.7338022473927,107,90
389,387.1862526565138,112,99
