actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,423.1158596143936,103,99
480,288.3855863126519,119,101
403,377.45280787229575,89,99
494,422.37242396702834,95,98
444,156.58784687751748,129,102
523,493.1904468567578,95,98
451,329.26319796829256,102,101
509,211.5952605733485,105,102
412,271.19955954497317,104,102
431,269.4546734204204,116,102
431,417.9904764368936,88,94
455,391.69142336845385,94,100
444,243.34636728615337,110,102
392,309.1967916852548,94,100
472,352.47641539779517,94,101
460,486.43415239598465,102,95
481,359.8840558225053,106,100
424,430.76646183316484,105,99
516,492.7249869728625,102,96
460,428.18935955498085,90,98
422,544.1713486814459,94,93
507,570.7791830544461,92,92
494,387.3027757252012,107,101
553,408.95570875604943,98,99
348,445.65223412614995,111,97
509,395.54001559517286,109,100
446,205.5436617850753,117,102
457,290.7241871292669,98,100
388,348.77706862458945,107,100
389,321.57212865604265,112,101
