actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,560.4836625394989,103,111
480,458.54540252438903,119,123
403,538.1790631416452,89,113
494,563.8857483059774,95,111
444,338.840630842211,129,145
523,616.6009287349173,95,108
451,491.6870618860009,102,119
509,400.99548488764736,105,133
412,451.4529659549649,104,125
431,449.7210279211569,116,124
431,580.5625841636263,88,107
455,538.2938213829929,94,115
444,427.93369651355914,110,127
392,485.89160372148126,94,119
472,510.1581782150089,94,117
460,623.267207222423,102,105
481,522.9971326147355,106,116
424,567.9427239431029,105,112
516,613.5934361374791,102,107
460,579.6968907820964,90,110
422,666.0498824740938,94,102
507,680.0767397338847,92,100
494,530.7179012295256,107,116
553,561.4124224902077,98,112
348,591.8568017608227,111,109
509,546.9445544274112,109,114
446,385.0046845676253,117,135
457,468.34311117049276,98,121
388,514.7004820476046,107,116
389,485.38027568875134,112,120
