actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,598.2234737323583,103,111
480,496.6465187087281,119,121
403,569.9941269914208,89,113
494,598.674019149414,95,110
444,375.515311212797,129,139
523,647.7963029203768,95,107
451,531.1665537364534,102,118
509,435.523518931972,105,130
412,488.5268899575739,104,123
431,487.51694129241156,116,123
431,606.8855013784489,88,106
455,577.7000475755914,94,114
444,465.05638260139074,110,125
392,518.3141876107966,94,118
472,549.1181485034217,94,116
460,650.0003057449075,102,105
481,555.7873929882032,106,115
424,599.0642928807354,105,111
516,644.4592276151657,102,106
460,603.5582575459183,90,110
422,690.3237133085573,94,101
507,710.0492067915093,92,100
494,572.7142944855916,107,114
553,595.9834588686289,98,111
348,619.4969032400809,111,108
509,576.5199368923886,109,113
446,427.965465886917,117,131
457,505.6806742591335,98,119
388,547.9193344375069,107,115
389,527.6347794295498,112,118
