actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,699.8457838531352,103,113
480,633.3546896392174,119,124
403,641.0675648544442,89,115
494,729.6228355761993,95,113
444,300.1665806320306,129,133
523,1032.8833939807678,95,110
451,603.8075699399762,102,120
509,960.1894993946155,105,129
412,603.3861942521077,104,126
431,347.7990872202797,116,113
431,363.54515534181235,88,88
455,902.05269050327,94,117
444,463.3242528516691,110,125
392,419.2796758828058,94,112
472,632.8534642221416,94,118
460,479.1693676838764,102,96
481,401.5629385999497,106,105
424,1237.8023594232548,105,111
516,977.9137616011117,102,110
460,756.3705460875453,90,113
422,652.3731883926234,94,100
507,677.4113047711403,92,99
494,1233.9148176506155,107,114
553,490.9311100200419,98,106
348,461.79160591282397,111,100
509,916.2585496603768,109,116
446,564.9430730786987,117,135
457,328.824588501601,98,105
388,493.3925919378869,107,113
389,625.2613523157644,112,121
