actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,1008.5026226183265,103,125
480,1372.2590236979595,119,123
403,817.4148180390046,89,132
494,1077.7046124119295,95,123
444,1278.3524613385962,129,137
523,1187.5920141199904,95,117
451,1247.6725367878462,102,124
509,1090.5611420275618,105,139
412,1084.2734851233515,104,133
431,665.8115595311957,116,150
431,571.0559266361416,88,129
455,1413.3344158899463,94,117
444,1242.2309227204898,110,130
392,1055.844568920342,94,130
472,1390.2651937922672,94,119
460,661.5734690825834,102,126
481,1208.7923916107895,106,123
424,1248.5914312267548,105,119
516,1365.5583273777834,102,112
460,1315.5273250204505,90,116
422,830.9363222575851,94,118
507,994.8644627839574,92,114
494,1661.072822162849,107,111
553,953.691942756237,98,127
348,887.4528592528673,111,125
509,1447.728464919786,109,115
446,1024.413169619151,117,142
457,615.4828516455384,98,148
388,1043.6543239394164,107,128
389,1184.6840688082061,112,126
