actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,558.420216123059,53,96
480,436.75073642247105,69,104
403,364.67037181523153,39,86
494,382.5207491373345,45,86
444,294.9173190814194,79,116
523,789.2316352432947,45,97
451,754.7330721072246,52,109
509,1523.2251051601547,55,117
412,943.5882210183913,54,117
431,275.4447364735855,66,92
431,242.82352253653764,38,55
455,936.256321541782,44,107
444,301.0483747352236,60,97
392,262.6247182590552,44,83
472,608.3937553770405,44,105
460,319.6282341286908,52,70
481,280.3301894393681,56,79
424,887.7477117168331,55,102
516,598.7042335133715,52,91
460,332.7030944271564,40,78
422,350.57586992153387,44,67
507,385.0990787240999,42,70
494,2386.0195887743444,57,100
553,258.1748767379447,48,70
348,288.58145092964816,61,70
509,547.1287968707506,59,97
446,347.5056851870792,67,110
457,222.28084391601084,48,78
388,347.76773360879963,57,88
389,568.5299142024562,62,108
