actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,801.3766912773795,53,120
480,722.419090608254,69,135
403,830.8649228240306,39,120
494,846.1957379167536,45,119
444,555.3205286758697,79,164
523,985.588279756569,45,113
451,736.8969250989442,52,129
509,827.854710644958,55,138
412,701.8158424102384,54,134
431,661.0083013158476,66,137
431,868.6819359282733,38,114
455,830.7592238365562,44,122
444,683.0675437045953,60,140
392,734.2774215054956,44,129
472,788.8277224471824,44,125
460,921.9481828138299,52,112
481,867.7115430363415,56,123
424,932.453222187401,55,117
516,981.9793025388967,52,112
460,992.1141550718622,40,114
422,970.8834001640001,44,107
507,905.6398068214081,42,107
494,831.8957435073734,57,123
553,868.5604556123542,48,119
348,822.143823329091,61,117
509,900.32109990516,59,122
446,607.6072536560582,67,148
457,728.048080227516,48,129
388,803.228440238786,57,126
389,635.7327734789411,62,133
