actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,1250.6273642294097,53,118
480,1042.7877686315846,69,133
403,588.4325476210824,39,139
494,1164.1302690179532,45,121
444,1314.6317366559797,79,136
523,1083.9395839210201,45,120
451,688.1766570583719,52,143
509,1848.0833904761496,55,115
412,1473.2787463064656,54,121
431,555.8460963120885,66,155
431,587.4234383866823,38,129
455,1655.2576747889536,44,111
444,879.956138059863,60,143
392,936.7894926204987,44,134
472,828.7707800491676,44,136
460,398.13495470303064,52,119
481,250.7388999111781,56,125
424,1140.783261598119,55,122
516,1022.5477238489013,52,120
460,1209.5161079956079,40,119
422,884.545677598144,44,117
507,922.362473557566,42,115
494,1047.4527851986488,57,127
553,1046.6480404207737,48,124
348,450.0161935349749,61,130
509,946.8565725422567,59,129
446,1746.0751548850455,67,118
457,1422.8397534639525,48,120
388,515.6704780750092,57,145
389,1584.8694358367948,62,115
