actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,484.7088325870401,53,100
480,363.98941750889617,69,107
403,425.29913786003823,39,102
494,482.0238920874871,45,100
444,210.58887377987236,79,116
523,540.0231734602697,45,99
451,400.9811890739768,52,105
509,277.82096244589843,55,112
412,340.0756664119781,54,109
431,329.54450128659494,66,109
431,435.3585403715666,38,97
455,463.5218126785428,44,103
444,311.34015073766636,60,110
392,370.15727445565295,44,105
472,426.88766534863464,44,104
460,512.0166365265932,52,96
481,426.8549146492231,56,103
424,511.1426165437889,55,100
516,561.1244972930652,52,97
460,492.3643311490251,40,99
422,568.6294740778263,44,93
507,587.6549547616391,42,93
494,471.16249748127586,57,103
553,455.6243341058573,48,101
348,482.1865664620105,61,99
509,474.7324035036619,59,102
446,272.43673778155727,67,113
457,341.32906294166764,48,106
388,411.44595434983165,57,104
389,389.4620228379098,62,105
