actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,535.0549732055766,53,100
480,419.88769700024295,69,108
403,504.7783662763719,39,102
494,535.9969564695195,45,100
444,288.8260435881921,79,123
523,590.3542769429151,45,98
451,457.23676465987086,52,106
509,350.5378475534052,55,116
412,409.0974994969261,54,110
431,409.11776095979485,66,109
431,556.8315469618084,38,97
455,508.4882130488571,44,103
444,384.4587593017518,60,111
392,445.93119143088967,44,106
472,476.51313847733786,44,105
460,599.5486879847124,52,96
481,485.9328925286203,56,104
424,533.7427258196155,55,101
516,590.1463923881089,52,97
460,542.5937612881096,40,99
422,648.4689009499249,44,94
507,670.8686663771525,42,93
494,501.6405834224454,57,104
553,532.6803924244512,48,100
348,562.6326795455194,61,98
509,508.8089226366692,59,102
446,342.5202421854667,67,117
457,432.7934659290709,48,107
388,477.8147434491733,57,104
389,453.6402137185706,62,107
