actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,472.08595507446375,53,96
480,378.1728549085134,69,105
403,424.22999488067063,39,95
494,492.2996780051848,45,97
444,165.56313009211027,79,94
523,750.1826233694785,45,104
451,376.70080705819515,52,98
509,605.4020102395818,55,128
412,352.57052431051744,54,104
431,233.64644817830293,66,85
431,308.11629733899616,38,73
455,605.7831947634987,44,108
444,271.85419778523084,60,96
392,282.1464651481516,44,87
472,401.03901737174033,44,98
460,378.0672810809217,52,79
481,289.561215567669,56,83
424,937.4337594945771,55,110
516,707.2947978167211,52,102
460,514.396160696699,40,98
422,498.66251005282305,44,84
507,522.8933258348369,42,84
494,921.0981616279022,57,113
553,351.7585847574547,48,85
348,352.7766714739942,61,81
509,621.1268077172423,59,108
446,300.0189188335558,67,110
457,237.73843523357388,48,82
388,329.7338022473927,57,90
389,387.1862526565138,62,99
