,0,1,2,3
0,475,613.5724180635576,102,110
1,480,510.1724561752002,118,120
2,403,584.966543141898,88,112
3,494,614.0617868244924,94,110
4,444,386.5063259626031,128,138
5,523,663.9453229645147,94,107
6,451,545.425845358162,101,117
7,509,447.92947411381766,104,129
8,412,502.05245158760647,103,122
9,431,501.0685446791691,115,122
10,431,622.3485719673866,87,106
11,455,592.8248375752379,93,113
12,444,478.1603159192122,109,125
13,392,532.3856644798069,93,118
14,472,563.7145663594307,93,116
15,460,666.0935038856703,101,105
16,481,570.4875885649733,105,114
17,424,614.3501979278639,104,111
18,516,660.388017779267,101,106
19,460,618.976076651617,89,109
20,422,706.8153235369357,93,101
21,507,726.7795359509456,91,100
22,494,587.7159207305256,106,114
23,553,611.4279721001252,97,111
24,348,635.1810057449221,110,108
25,509,591.4574842311313,108,113
26,446,440.15333403055416,116,130
27,457,519.5928484537675,97,119
28,388,562.5394525935218,106,115
29,389,541.8640979173872,111,118
