actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,655.1427565650779,53,109
480,547.520854801138,69,120
403,625.5758362250718,39,111
494,655.7101443228509,45,109
444,423.91166318446426,79,141
523,707.9497292825215,45,106
451,584.2678466649458,52,116
509,484.802780880292,55,130
412,539.8129110107658,54,122
431,538.8006677777391,66,121
431,664.8478028948699,38,105
455,633.7118787735468,44,112
444,515.3754834618051,60,124
392,570.9376938109,44,116
472,603.3410375549026,44,115
460,710.3520597958998,52,104
481,610.4731113322829,56,113
424,655.6271577403119,55,110
516,703.8448899661507,52,105
460,660.9314310456109,40,108
422,752.7424421928982,44,100
507,773.6706912869596,42,99
494,628.2418252968047,57,113
553,653.5169775932887,48,109
348,678.0001582438441,61,106
509,631.9098607288832,59,111
446,476.78012280841415,67,131
457,557.8880633140644,48,118
388,602.204319570156,57,114
389,580.7880049226656,62,116
