actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,618.9762868780593,53,108
480,356.9455756594336,69,106
403,253.40744446421792,39,76
494,541.3226608604145,45,104
444,481.2556758032459,79,143
523,510.86416133892357,45,97
451,239.64668174193318,52,82
509,1266.8277704550653,55,122
412,771.362068575919,54,124
431,183.22144139854888,66,77
431,300.27720010677035,38,74
455,1080.5361681884128,44,113
444,245.50714465973067,60,97
392,321.95921261572016,44,97
472,291.8548451180892,44,89
460,284.59535777384605,52,65
481,193.91714641406134,56,62
424,513.3020334932654,55,103
516,481.6719559596987,52,94
460,589.5538587877869,40,106
422,459.8351117095349,44,84
507,493.71111435092706,42,85
494,413.5213745793972,57,101
553,447.13725542905416,48,99
348,266.8068446525725,61,68
509,370.3994871534721,59,94
446,1110.853625489164,67,126
457,744.9795425666391,48,121
388,220.89071778186587,57,73
389,957.7815207811487,62,118
