,0,1,2,3
0,475,655.1427565650779,102,109
1,480,547.520854801138,118,120
2,403,625.5758362250718,88,111
3,494,655.7101443228509,94,109
4,444,423.91166318446426,128,141
5,523,707.9497292825215,94,106
6,451,584.2678466649458,101,116
7,509,484.802780880292,104,130
8,412,539.8129110107658,103,122
9,431,538.8006677777391,115,121
10,431,664.8478028948699,87,105
11,455,633.7118787735468,93,112
12,444,515.3754834618051,109,124
13,392,570.9376938109,93,116
14,472,603.3410375549026,93,115
15,460,710.3520597958998,101,104
16,481,610.4731113322829,105,113
17,424,655.6271577403119,104,110
18,516,703.8448899661507,101,105
19,460,660.9314310456109,89,108
20,422,752.7424421928982,93,100
21,507,773.6706912869596,91,99
22,494,628.2418252968047,106,113
23,553,653.5169775932887,97,109
24,348,678.0001582438441,110,106
25,509,631.9098607288832,108,111
26,446,476.78012280841415,116,131
27,457,557.8880633140644,97,118
28,388,602.204319570156,106,114
29,389,580.7880049226656,111,116
