,0,1,2,3
0,475,647.6760462690531,102,93
1,480,523.3474726657246,118,99
2,403,616.3400975420756,88,94
3,494,649.0649371817259,94,93
4,444,394.3379569161339,128,110
5,523,708.8313605716172,94,91
6,451,562.6435272859538,101,97
7,509,453.47384704024006,104,105
8,412,512.5720773264162,103,100
9,431,513.1769073115914,115,100
10,431,678.4333370887564,87,91
11,455,617.6975007640303,93,95
12,444,487.94286514944383,109,102
13,392,552.3857607879766,93,98
14,472,583.0801164544058,93,96
15,460,722.6940936225194,101,90
16,481,594.3212560392693,105,96
17,424,644.4832929892484,104,93
18,516,708.7180393308948,101,90
19,460,656.6021261091619,89,92
20,422,778.7273889417476,93,88
21,507,804.6787000956897,91,87
22,494,609.6554090171035,106,95
23,553,646.9925189775086,97,93
24,348,680.2313767365871,110,91
25,509,617.8845066513618,108,94
26,446,445.40565509045274,116,105
27,457,539.1913694759816,97,98
28,388,585.9097021225939,106,96
29,389,559.4268670148191,111,97
