,0,1,2,3
0,475,618.9762868780593,102,108
1,480,356.9455756594336,118,106
2,403,253.40744446421792,88,76
3,494,541.3226608604145,94,104
4,444,481.2556758032459,128,143
5,523,510.86416133892357,94,97
6,451,239.64668174193318,101,82
7,509,1266.8277704550653,104,122
8,412,771.362068575919,103,124
9,431,183.22144139854888,115,77
10,431,300.27720010677035,87,74
11,455,1080.5361681884128,93,113
12,444,245.50714465973067,109,97
13,392,321.95921261572016,93,97
14,472,291.8548451180892,93,89
15,460,284.59535777384605,101,65
16,481,193.91714641406134,105,62
17,424,513.3020334932654,104,103
18,516,481.6719559596987,101,94
19,460,589.5538587877869,89,106
20,422,459.8351117095349,93,84
21,507,493.71111435092706,91,85
22,494,413.5213745793972,106,101
23,553,447.13725542905416,97,99
24,348,266.8068446525725,110,68
25,509,370.3994871534721,108,94
26,446,1110.853625489164,116,126
27,457,744.9795425666391,97,121
28,388,220.89071778186587,106,73
29,389,957.7815207811487,111,118
