actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,572.5691014672225,53,111
480,469.1904463707718,69,122
403,549.8476823479929,39,113
494,575.8361045849485,45,111
444,346.9322665860636,79,144
523,629.6323254315123,45,108
451,502.8924385788291,52,119
509,410.4334617287131,55,133
412,461.94556243813145,54,124
431,460.20918730426354,66,124
431,592.8921913981281,38,107
455,549.9572910179551,44,114
444,437.99430680625784,60,127
392,496.7956391481091,44,119
472,521.6268798002352,44,117
460,636.2280781648201,52,105
481,534.5296761568729,56,115
424,580.0175547798077,55,112
516,626.2769603679483,52,107
460,592.0599720716865,40,110
422,679.2815510080746,44,102
507,693.4240180538685,42,100
494,542.2213534548158,57,115
553,573.4354990262975,48,111
348,604.2299531918653,61,108
509,558.6556433907679,59,113
446,394.0913491101684,67,134
457,479.2517637660932,48,120
388,526.0237991286817,57,116
389,496.28635803459895,62,119
