actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,613.5724180635576,53,110
480,510.1724561752002,69,120
403,584.966543141898,39,112
494,614.0617868244924,45,110
444,386.5063259626031,79,138
523,663.9453229645147,45,107
451,545.425845358162,52,117
509,447.92947411381766,55,129
412,502.05245158760647,54,122
431,501.0685446791691,66,122
431,622.3485719673866,38,106
455,592.8248375752379,44,113
444,478.1603159192122,60,125
392,532.3856644798069,44,118
472,563.7145663594307,44,116
460,666.0935038856703,52,105
481,570.4875885649733,56,114
424,614.3501979278639,55,111
516,660.388017779267,52,106
460,618.976076651617,40,109
422,706.8153235369357,44,101
507,726.7795359509456,42,100
494,587.7159207305256,57,114
553,611.4279721001252,48,111
348,635.1810057449221,61,108
509,591.4574842311313,59,113
446,440.15333403055416,67,130
457,519.5928484537675,48,119
388,562.5394525935218,57,115
389,541.8640979173872,62,118
