actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,475.727816423135,53,106
480,384.1927777974969,69,118
403,449.7927738611864,39,108
494,476.29184077813625,45,106
444,291.16427196769195,79,141
523,522.4330912141129,45,103
451,413.16243786531857,52,114
509,333.9107953584615,55,129
412,376.03639283671924,54,120
431,375.4647724623881,66,120
431,490.43683952419815,38,102
455,454.361348035771,44,109
444,357.099521487137,60,123
392,402.7356230123075,44,114
472,428.567129995188,44,112
460,528.9629625075233,52,101
481,435.39567779125156,56,111
424,475.75106872483724,55,107
516,522.2796825598138,52,102
460,481.37396726324516,40,105
422,572.7558003057701,44,97
507,593.1413101336638,42,96
494,449.4275878174183,57,110
553,472.6757542422533,48,107
348,497.521952354122,61,104
509,454.78799498244103,59,109
446,328.488173243668,67,130
457,391.8006652065079,48,116
388,428.56046862232586,57,111
389,409.8495467824306,62,114
