actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,675.6436358194386,53,112
480,605.0870712996461,69,123
403,617.1674024262383,39,113
494,704.9446046967372,45,112
444,279.6862747951852,79,128
523,1007.6997647679366,45,110
451,577.9698732301582,52,118
509,926.9399577565847,55,130
412,574.8283819586972,54,124
431,332.06127296178767,66,110
431,356.5809363032483,38,86
455,874.1890759708508,44,116
444,438.74150967937504,60,123
392,401.43385313733063,44,110
472,607.0444361746914,44,117
460,466.84589948917187,52,94
481,386.97399619805844,56,103
424,1212.5963390870118,55,111
516,953.4048501847087,52,109
460,731.6668939328065,40,112
422,635.4876390135216,44,99
507,660.6718489907412,42,98
494,1207.5159013337923,57,114
553,473.84457362396364,48,104
348,448.29290810914296,61,98
509,888.6689268413862,59,116
446,533.6773386969053,67,133
457,316.3954919719525,48,103
388,473.1951816024364,57,111
389,598.6868538764112,62,119
