actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,1008.5026226183265,53,125
480,1372.2590236979595,69,123
403,817.4148180390046,39,132
494,1077.7046124119295,45,123
444,1278.3524613385962,79,137
523,1187.5920141199904,45,117
451,1247.6725367878462,52,124
509,1090.5611420275618,55,139
412,1084.2734851233515,54,133
431,665.8115595311957,66,150
431,571.0559266361416,38,129
455,1413.3344158899463,44,117
444,1242.2309227204898,60,130
392,1055.844568920342,44,130
472,1390.2651937922672,44,119
460,661.5734690825834,52,126
481,1208.7923916107895,56,123
424,1248.5914312267548,55,119
516,1365.5583273777834,52,112
460,1315.5273250204505,40,116
422,830.9363222575851,44,118
507,994.8644627839574,42,114
494,1661.072822162849,57,111
553,953.691942756237,48,127
348,887.4528592528673,61,125
509,1447.728464919786,59,115
446,1024.413169619151,67,142
457,615.4828516455384,48,148
388,1043.6543239394164,57,128
389,1184.6840688082061,62,126
