rmse_I,rmse_Beta,time_predict,20,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
281.4367738338757,7.654868692843365e-06,0.0,20,421,663.6430553078909,130,174
256.56901809550817,7.269582174764831e-06,0.0,20,429,512.7589801494382,94,198
601.9519909280293,1.9710280196795517e-05,0.0,20,504,2018.1476380178208,99,83
309.59057206959807,8.336590187333493e-06,0.015630006790161133,20,526,785.834185530285,84,137
238.51434071445337,6.881393740467668e-06,0.0,20,400,736.1936589739693,118,153
174.09788898089607,5.956712296976684e-06,0.01986527442932129,20,417,179.06662983249794,119,249
341.76760044401567,8.077510549404015e-06,0.01565265655517578,20,392,932.3941778400496,106,138
278.82082194993114,7.2012770206021685e-06,0.015630245208740234,20,352,733.4500560347278,110,152
455.6044558135955,1.1396818571253406e-05,0.0,20,334,1323.1151322367357,110,105
468.34733933895507,1.2320444331294876e-05,0.01562976837158203,20,401,1419.2681325355084,116,110
345.9585814910027,8.841166289313603e-06,0.0,20,479,951.1112326708483,94,139
441.6770879764005,1.3928426837916672e-05,0.018645286560058594,20,554,1512.2437075013838,85,99
187.01513946719186,5.8728623081590095e-06,0.0,20,491,308.13971427242376,98,194
370.44415145974637,1.1314307754339647e-05,0.0034637451171875,20,523,1192.8603061927251,96,113
491.63232102896717,1.3548317122018667e-05,0.01562643051147461,20,435,1548.0990686531288,110,99
370.4667208457715,8.558344540471604e-06,0.015646696090698242,20,425,996.9586668204033,102,143
383.8683200465788,1.0462872221765605e-05,0.015635251998901367,20,403,1100.86716295346,83,114
261.6267568340619,6.785731975462316e-06,0.018997907638549805,20,460,631.2252248937255,97,151
334.8114718929031,9.280301758972726e-06,0.0,20,448,1082.7491979244073,110,129
329.76172054813486,9.981883382499484e-06,0.01564621925354004,20,541,1105.9351942762687,87,125
223.15657467321225,6.364512280029839e-06,0.0,20,439,551.0459398772888,106,163
214.83187239196516,6.307723407652945e-06,0.0,20,491,98.9391979436596,101,249
293.51743108049567,7.648209242058694e-06,0.015650272369384766,20,472,706.2121796585077,92,151
193.93736667773578,5.7682725309054685e-06,0.015629053115844727,20,400,471.93118634208486,126,176
249.80025661777097,6.888188503924598e-06,0.015628576278686523,20,415,611.3378266531895,92,163
460.20110299824944,1.3006153687659826e-05,0.0,20,473,1446.7949225044117,80,105
161.28793792534023,4.825309682986906e-06,0.0,20,389,90.39928705153243,106,178
280.5370098208366,7.135229569600735e-06,0.0,20,439,725.7502484294721,111,155
152.408587237639,4.905324479161967e-06,0.0,20,413,280.29061184932476,96,186
292.68695272957945,7.913643694876073e-06,0.015624523162841797,20,401,792.2158693893016,100,137
490.7993477274923,1.4099103437440111e-05,0.01562952995300293,20,443,1533.9863896594081,95,96
197.03663865627144,6.249008091825373e-06,0.017238616943359375,20,468,439.50499739761307,81,156
364.63746935260264,9.474674456030963e-06,0.004103183746337891,20,439,1025.5139445339535,93,122
186.13723964322833,5.488927033838025e-06,0.0,20,481,394.8604870879987,101,173
469.5607835132444,1.423054397019719e-05,0.015627145767211914,20,507,1532.4696575423945,79,99
209.21372946053003,6.802456808542981e-06,0.01931476593017578,20,490,706.7363824770853,113,133
197.3938455533601,5.87629772565817e-06,0.015630006790161133,20,482,362.2980151108476,93,181
169.10769739669922,5.260196039053135e-06,0.015651226043701172,20,461,286.5406844723857,124,211
320.5758598895315,8.619746828765244e-06,0.017433643341064453,20,465,911.6704118128639,84,122
314.9480896677932,9.3544542866588e-06,0.0,20,467,982.015732552537,110,126
319.506612001139,9.129353073125202e-06,0.016489744186401367,20,420,960.1399269035119,97,118
459.5194859467475,1.3862372088737064e-05,0.004866600036621094,20,524,1506.0292431350488,79,93
411.9729481941712,1.1573189310715103e-05,0.0,20,466,1318.4244205078176,73,101
255.587698882229,7.151004511921299e-06,0.015612363815307617,20,462,720.7038658601173,111,140
200.08731292461715,6.0681636855497744e-06,0.019687891006469727,20,415,565.3636606937538,102,145
228.78604765211412,6.9358415201614195e-06,0.021430015563964844,20,459,469.2296333880358,101,180
325.6372775726752,9.123693777172409e-06,0.0,20,457,961.5968938165298,83,125
426.9868415533725,1.1766552758932887e-05,0.015654802322387695,20,415,1321.3532662204195,112,104
200.74602883046,5.787911088351137e-06,0.015651226043701172,20,341,518.995774962735,89,155
399.49655238040845,1.2758554922413253e-05,0.015609025955200195,20,490,1267.4134417696982,70,99
395.50455581522465,1.4920310400983538e-05,0.0,20,624,1434.0367665635547,76,94
224.44632109866058,6.472830913247413e-06,0.015637636184692383,20,490,652.7921086363194,103,138
388.78360004070385,1.1752564718151683e-05,0.015631914138793945,20,494,1256.4804141894929,87,104
272.3282502518641,7.11765487185892e-06,0.015629291534423828,20,383,775.6377086510767,108,135
306.2981785248661,8.240208081088617e-06,0.01565861701965332,20,437,933.7952483807369,85,122
220.83366036523984,6.093920338208007e-06,0.004302978515625,20,516,447.4047740489255,86,153
274.1381033413032,7.437525777983691e-06,0.021612882614135742,20,449,793.942623091925,102,132
432.1668910299353,1.3869235984798314e-05,0.015632152557373047,20,523,1444.91168834001,88,97
469.40804825973186,1.4668388407651923e-05,0.015631914138793945,20,499,1550.0011349572135,87,95
480.52474677085723,1.3808147407087781e-05,0.015631437301635742,20,460,1506.3627399019597,83,96
357.5616772897229,2.419759808854907e-05,0.0,20,1294,2293.1499831958095,77,73
464.2093141657924,3.092434741260752e-05,0.0,20,1267,2610.8928553679502,72,66
331.46559531015333,2.5598030003520045e-05,0.0,20,1322,2270.474920653572,75,74
357.6777634213837,3.7506910779215734e-05,0.0,20,1239,2290.200410654571,69,76
300.4075226199514,2.5190937221055387e-05,0.015610456466674805,20,1369,2076.0188171806167,76,80
332.4013329407727,2.469431468674313e-05,0.0034596920013427734,20,1274,2226.6421839345294,76,74
268.7528151464866,1.6928410217848163e-05,0.00775456428527832,20,1291,1482.0875886794315,72,96
296.165221860602,2.2678295717440785e-05,0.0,20,1216,2041.8776364190546,79,81
555.4501403063219,3.9792812475316505e-05,0.0,20,1300,2910.5779467037064,73,62
329.53284195963613,1.8875579674273935e-05,0.013564109802246094,20,1319,1598.237136576538,74,94
464.04846691201107,3.463981712108287e-05,0.01565265655517578,20,1318,2748.2269077592887,61,59
462.57776952076614,3.0999272053838014e-05,0.0,20,1227,2575.6416512677474,72,64
402.70937302601635,2.9897139474083336e-05,0.015619516372680664,20,1335,2528.2591787282627,67,67
281.65110476766864,2.1407162000676417e-05,0.015628576278686523,20,1205,1887.3712953411946,68,81
271.07581498780644,2.538039312064864e-05,0.0,20,1331,2001.6371507649835,74,78
446.7647086556995,2.8678033997358974e-05,0.015649080276489258,20,1224,2552.019551158123,72,66
568.4121079611539,4.266346731537418e-05,0.013031721115112305,20,1244,2948.0015144584313,71,58
262.26968980466006,1.8228342239246233e-05,0.015628814697265625,20,1257,1809.8011340531302,73,85
483.87979734732414,3.576060577336542e-05,0.015648841857910156,20,1375,2760.3070815810665,68,63
389.273082261957,2.9438226388593156e-05,0.015653133392333984,20,1329,2510.110371496305,60,63
342.09089068118556,2.4166139154647547e-05,0.01564645767211914,20,1284,2297.6906328005507,75,71
429.01803663677896,3.882492995143901e-05,0.015608787536621094,20,1278,2587.7375430570232,63,61
410.41272440164323,3.1911265700017896e-05,0.0,20,1325,2573.1956650229117,66,61
332.19858739881823,2.3639492861820304e-05,0.019018888473510742,20,1296,2250.620511079862,67,70
448.0083932898773,4.271319023822196e-05,0.015630006790161133,20,1368,2745.1023255942923,60,59
303.9675803881183,2.3480229038774202e-05,0.0,20,1349,2209.856716897261,75,73
419.83586197347245,2.7697830248922373e-05,0.0,20,1239,2421.702412474917,68,64
430.09748787077837,3.495376835277676e-05,0.01562809944152832,20,1383,2671.4816547330915,65,57
357.51297625845075,2.7440547437356397e-05,0.0039048194885253906,20,1338,2394.0652865478246,71,68
442.5940692104367,3.28793646136134e-05,0.016701698303222656,20,1339,2654.4423226937897,65,60
392.2107357362009,2.804531298043786e-05,0.0,20,1256,2415.8032413607093,67,68
401.0993698010039,3.1448035657280007e-05,0.00644373893737793,20,1372,2546.483053053579,65,63
271.645366674453,3.055063065467719e-05,0.015638351440429688,20,1245,1961.401091700873,68,76
401.75405159418034,2.9303704115077052e-05,0.015628576278686523,20,1265,2441.2814700338813,68,65
371.0576268912073,2.91091190712129e-05,0.016443490982055664,20,1355,2473.858748978782,63,65
426.12987209625663,3.247054341217182e-05,0.015628337860107422,20,1290,2571.4151013334667,71,62
330.9373477666215,2.5968636433086834e-05,0.0,20,1283,2216.7226255409796,70,74
249.05000426852214,1.4662514305845985e-05,0.015631675720214844,20,1223,1493.7961243334512,74,91
340.5966301367564,2.5054551642482668e-05,0.008933067321777344,20,1320,2270.7288410633732,65,67
286.60111842989653,2.1510200693287505e-05,0.015625476837158203,20,1325,2110.4389541764094,65,72
338.52591894320926,2.4912481081346287e-05,0.01572275161743164,20,1240,2179.012636303766,71,67
313.795875606266,2.5517597751910178e-05,0.000942230224609375,20,1368,2259.637353793805,67,64
