rmse_I,rmse_Beta,time_predict,30,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
283.984136773641,7.612900004960162e-06,0.007001161575317383,30,421,744.0812360078005,130,156
289.9425849811928,7.451985810419589e-06,0.004997968673706055,30,429,727.783333374851,94,160
403.54150443030983,1.165194565193336e-05,0.003998994827270508,30,504,1322.8180170032017,99,105
411.29468344068306,1.1597306427749497e-05,0.0050008296966552734,30,526,1227.18108540723,84,114
201.592267801164,5.936897640962973e-06,0.0049970149993896484,30,400,547.5545095165476,118,170
254.08037683282384,6.96274260924394e-06,0.008997201919555664,30,417,667.9101107937887,119,163
319.2845960488192,7.679559661207296e-06,0.004998922348022461,30,392,858.1487822806433,106,138
383.793415768309,8.998380145262915e-06,0.00799703598022461,30,352,1069.864074728902,110,125
468.9934241053857,1.1766154472556517e-05,0.00497889518737793,30,334,1331.4227474922438,110,108
290.5371223850132,7.812417829520438e-06,0.007998943328857422,30,401,842.7942398348711,116,140
276.5818898389765,7.411660457554075e-06,0.00597834587097168,30,479,702.2184851638035,94,149
339.40368201128734,1.0361505004250546e-05,0.005018949508666992,30,554,1082.3887179511394,85,113
243.18956660401338,6.807596813940668e-06,0.003998756408691406,30,491,618.0656108579268,98,153
323.10452387567824,9.954734590688559e-06,0.003999233245849609,30,523,1020.8990842750042,96,115
323.4212182676708,8.672465418268796e-06,0.006998300552368164,30,435,1013.2041573532435,110,121
257.1856494474096,5.885325439536067e-06,0.011001110076904297,30,425,524.1213887318835,102,181
411.7777967343872,1.1210367736271236e-05,0.00899958610534668,30,403,1174.0743650305085,83,110
286.654582231809,7.747049639137965e-06,0.003999471664428711,30,460,803.4140124927001,97,132
261.2879605188649,7.377067444368453e-06,0.004999876022338867,30,448,821.026268401601,110,141
290.55822932530936,8.243206698809684e-06,0.0050008296966552734,30,541,831.5619385450524,87,141
189.56548433651955,5.834312029756253e-06,0.005003929138183594,30,439,421.4423373940301,106,173
203.52629904598146,6.235929051334084e-06,0.004991292953491211,30,491,143.36782839867777,101,224
281.45845337813086,7.616366615896246e-06,0.004999637603759766,30,472,705.3131347098058,92,144
172.5451326064191,5.450227692866323e-06,0.0050008296966552734,30,400,411.74516354664405,126,177
254.390372929263,6.999483271418433e-06,0.007997989654541016,30,415,709.5561993389081,92,144
378.847644325429,1.0192280397982062e-05,0.007977962493896484,30,473,1119.6925247731592,80,113
148.17571873795552,4.962428915182626e-06,0.004979133605957031,30,389,362.8119257814994,106,169
263.852902818796,6.675652846200514e-06,0.003998994827270508,30,439,661.7365427598293,111,157
