rmse_I,rmse_Beta,time_predict,50,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
169.9911668002809,5.018247043932112e-06,0.01001429557800293,50,475,699.8457838531352,103,113
139.6427092547958,4.909825221665968e-06,0.011983156204223633,50,480,633.3546896392174,119,124
173.35727567066107,4.508430177735167e-06,0.007983922958374023,50,403,641.0675648544442,89,115
191.76048503302212,4.7608531326875835e-06,0.009000539779663086,50,494,729.6228355761993,95,113
81.3570485685327,4.1778010770121495e-06,0.007999181747436523,50,444,300.1665806320306,129,133
298.4884732611485,7.479750732999318e-06,0.013002395629882812,50,523,1032.8833939807678,95,110
125.11249410097889,4.068160150876571e-06,0.00901937484741211,50,451,603.8075699399762,102,120
301.41883892976097,7.584244519083716e-06,0.015021562576293945,50,509,960.1894993946155,105,129
177.46469491046093,4.26224530248974e-06,0.01199960708618164,50,412,603.3861942521077,104,126
36.95008978946296,3.3217169524386737e-06,0.010999202728271484,50,431,347.7990872202797,116,113
43.812725047436174,3.685337209036286e-06,0.008995532989501953,50,431,363.54515534181235,88,88
290.08631740002596,6.843441316004698e-06,0.007986068725585938,50,455,902.05269050327,94,117
62.78266726049795,3.28314089671985e-06,0.009010076522827148,50,444,463.3242528516691,110,125
40.45694138532926,3.250644004497236e-06,0.007004976272583008,50,392,419.2796758828058,94,112
166.34937068632317,4.711247128067965e-06,0.013017892837524414,50,472,632.8534642221416,94,118
37.054286613863916,3.429950613259392e-06,0.014019012451171875,50,460,479.1693676838764,102,96
28.40176692217223,3.6860576916871742e-06,0.01199960708618164,50,481,401.5629385999497,106,105
435.0512725272555,9.048923447202563e-06,0.014000654220581055,50,424,1237.8023594232548,105,111
284.15467527942855,7.821845116960163e-06,0.0069980621337890625,50,516,977.9137616011117,102,110
216.86729728108116,5.309934991350674e-06,0.009978532791137695,50,460,756.3705460875453,90,113
145.54942839537247,4.049026821928972e-06,0.013000249862670898,50,422,652.3731883926234,94,100
123.45681642819606,4.616926603249538e-06,0.01200103759765625,50,507,677.4113047711403,92,99
394.3705019012238,8.673846380771002e-06,0.014004945755004883,50,494,1233.9148176506155,107,114
62.12234634854992,3.846840550714432e-06,0.008997201919555664,50,553,490.9311100200419,98,106
71.28338792624618,3.678192007335729e-06,0.0069942474365234375,50,348,461.79160591282397,111,100
262.185242201367,6.2723013543156135e-06,0.0070002079010009766,50,509,916.2585496603768,109,116
133.45455995210153,4.266349802968139e-06,0.010017633438110352,50,446,564.9430730786987,117,135
51.68642834494129,3.256674527688522e-06,0.006997823715209961,50,457,328.824588501601,98,105
79.71645396983224,3.7074768242267616e-06,0.010997533798217773,50,388,493.3925919378869,107,113
169.72162510739417,4.263086207094043e-06,0.007997989654541016,50,389,625.2613523157644,112,121
