rmse_I,rmse_Beta,time_predict,norm_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
195.4371111800194,6.3713452834931e-06,0.007555246353149414,82,475,590.1015826095207,103,128
203.2436431908023,6.859467078373801e-06,0.006000995635986328,100,480,587.9885745212442,119,140
244.39774817375346,6.722548894592039e-06,0.0050008296966552734,72,403,650.4405192639737,89,132
181.92785192633585,5.7163651954659106e-06,0.006000518798828125,79,494,584.8565800404579,95,123
147.33728806324575,5.7189942404561155e-06,0.004997968673706055,120,444,481.9285644178724,129,147
255.27363133891558,8.051122868674083e-06,0.005997657775878906,71,523,773.1057334158351,95,124
164.78431841113695,5.478746467501719e-06,0.004000425338745117,91,451,522.3641631930901,102,136
252.07263850538723,7.536396721027827e-06,0.005001068115234375,101,509,660.0218712901654,105,142
239.5046937432699,5.9174571711404205e-06,0.004997968673706055,86,412,589.5916116934337,104,142
166.2894365915301,5.533353763209566e-06,0.0049970149993896484,101,431,493.3021648368484,116,138
241.39227346345024,7.061524253217671e-06,0.005998134613037109,66,431,668.9848670375266,88,127
204.5257072916604,6.597540517391803e-06,0.004999399185180664,82,455,571.8656725933383,94,127
152.27573847792354,4.611612410443929e-06,0.0030040740966796875,98,444,491.803035122637,110,144
221.87940897979283,6.155898145519017e-06,0.004000663757324219,80,392,598.9449318214982,94,141
227.95463552900188,6.267657539420499e-06,0.0030007362365722656,77,472,644.1864383436633,94,127
319.1119220152784,9.103421876177676e-06,0.005001068115234375,47,460,935.3376283227085,102,119
217.63135981820858,7.444067145848135e-06,0.003000497817993164,84,481,639.912001436669,106,137
280.2128771965877,6.840403108815739e-06,0.0029976367950439453,74,424,687.9788002414034,105,133
230.05003065661646,8.126261772696618e-06,0.004000425338745117,73,516,693.0417893491914,102,122
333.79777690166924,8.662144874482624e-06,0.004000425338745117,69,460,882.7599753735263,90,127
190.77220029391466,6.163996765559002e-06,0.005000591278076172,58,422,594.5299243951727,94,121
248.20187563130304,7.994202826073916e-06,0.004004240036010742,59,507,789.5077089673615,92,117
308.0973320289183,7.908558674310562e-06,0.003999471664428711,71,494,855.776990732312,107,133
292.1045071997668,8.131182631186647e-06,0.006003379821777344,75,553,810.8401734168444,98,129
334.1070731532313,7.818296498795322e-06,0.0070035457611083984,50,348,887.4528592528673,111,125
226.70555344081305,6.836356607252973e-06,0.004000186920166016,87,509,641.1007322086045,109,134
157.52533690365956,5.082983840068215e-06,0.003998279571533203,94,446,515.6491070596054,117,140
175.98125969216093,5.846454340304967e-06,0.00500178337097168,88,457,501.89549130235514,98,134
330.65803721043153,8.185318222560575e-06,0.004000186920166016,71,388,859.6571310747829,107,138
152.13073948175446,5.038663836394649e-06,0.002998828887939453,100,389,432.83819613918484,112,139
