rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
209.28170291694585,7.594581221673243e-06,0.00805354118347168,14,421,28.0,130,14
228.03441152466186,7.965034817805624e-06,0.00899648666381836,14,429,29.0,94,14
390.0882696657921,1.1193872108890397e-05,0.008981704711914062,33,504,1263.733086787287,99,107
455.225029015549,1.2957576290928943e-05,0.007998466491699219,55,526,1311.0807188941196,84,109
251.47605729367578,6.90116913946349e-06,0.008000612258911133,67,400,680.83195852145,118,157
307.99168926327627,7.734196823345456e-06,0.006994724273681641,61,417,811.4581950856734,119,149
363.1003900461664,8.511519059832227e-06,0.003998994827270508,57,392,933.1377172954672,106,133
343.1110491313228,7.915330880663822e-06,0.008463144302368164,44,352,900.5740142696874,110,138
419.35597263366896,1.0261746287966697e-05,0.004999399185180664,42,334,1138.6543463756773,110,119
287.0600769422705,7.717304998724931e-06,0.00802302360534668,24,401,842.0956658493603,116,141
360.03019409150124,9.460435174653412e-06,0.007579803466796875,63,479,987.364631925578,94,125
267.91523660275493,7.538111431794583e-06,0.007997274398803711,14,554,573.8671157522434,85,154
347.6434119373183,9.344879331613535e-06,0.004978179931640625,70,491,941.0471880500079,98,130
357.3887013259617,1.1045481498233537e-05,0.009240388870239258,47,523,1120.8859992896375,96,109
295.1921524551447,7.899396531197956e-06,0.009020805358886719,38,435,885.6968854402269,110,131
353.7557167619815,8.042213291514598e-06,0.008998870849609375,76,425,857.4707408690728,102,139
411.26381481771824,1.1189485473749606e-05,0.004998445510864258,32,403,1165.0592573978183,83,110
328.47535542616805,8.700613354685927e-06,0.00400996208190918,63,460,880.9635040424328,97,126
288.0020780723241,7.910298666117237e-06,0.007932662963867188,58,448,840.6536883409119,110,141
322.3251462949165,9.615933134030659e-06,0.006997823715209961,52,541,997.5363761554632,87,127
292.96229852709854,7.745920715711676e-06,0.0059986114501953125,70,439,779.7396798928684,106,136
308.61287136452717,8.29955549288884e-06,0.007540464401245117,62,491,858.8390963923832,101,131
379.32262092200324,1.0199191067446658e-05,0.007999420166015625,57,472,1074.5053673459734,92,118
237.32446064572073,6.3421914775364416e-06,0.00699925422668457,62,400,604.720220599809,126,156
331.6280280534496,8.705163808784927e-06,0.006014585494995117,70,415,883.0503917441106,92,132
352.2270267034501,9.303615433549753e-06,0.004997968673706055,25,473,1008.8319149782076,80,120
222.1302974745269,6.120158713712564e-06,0.007004261016845703,56,389,586.5395792162478,106,149
355.09515919484664,8.579281938007907e-06,0.006009578704833984,65,439,907.066546017955,111,140
338.0475083825076,7.943717484451336e-06,0.007982492446899414,55,413,878.9669369848303,96,129
258.346213611624,7.2146572227316465e-06,0.008978843688964844,32,401,650.6982923880805,100,146
348.8912555453523,9.877575616266924e-06,0.010998725891113281,14,443,1094.0436120718698,95,112
294.51821516594885,8.657919065768342e-06,0.006998777389526367,52,468,851.6077476270439,81,121
329.25520111824625,8.422436941608087e-06,0.010002374649047852,36,439,863.547469355889,93,129
245.57205918642873,7.322782968129438e-06,0.007080554962158203,77,481,701.3909428830531,101,136
275.3583747937512,7.760809097038608e-06,0.00397944450378418,21,507,686.7788277364203,79,136
234.34473499915495,7.146630665924828e-06,0.006001710891723633,53,490,691.3032382285187,113,139
308.7022925974034,8.38796923239959e-06,0.007997989654541016,56,482,856.4856717092174,93,130
182.72404496688733,5.8117951102519155e-06,0.009022712707519531,56,461,503.95511590672567,124,162
287.76532383275355,7.834433491279217e-06,0.007999420166015625,30,465,775.3436720719681,84,129
179.82246821857325,5.825528866856204e-06,0.010007381439208984,14,467,207.4133037077159,110,202
287.2080001459564,8.303102405015857e-06,0.004997968673706055,38,420,801.7235708878276,97,128
419.25362767510825,1.2261555319949215e-05,0.009012937545776367,43,524,1285.0651203979003,79,98
341.49588551485556,9.41686678916349e-06,0.008011579513549805,38,466,1048.609395752212,73,107
181.24255674258532,5.3086225675261046e-06,0.004997968673706055,14,462,160.09832907300267,111,197
204.1918770739482,6.278323101583071e-06,0.004997968673706055,14,415,616.6603569450858,102,139
281.25137349680165,8.552372716485134e-06,0.003998517990112305,64,459,780.0924532439781,101,136
321.9844489335034,9.016247700554536e-06,0.00500178337097168,58,457,897.0138191584247,83,122
378.8055632780882,1.0489014813909433e-05,0.004998207092285156,29,415,1165.205447197934,112,109
262.9651466695527,6.852134315197832e-06,0.003987789154052734,66,341,651.3974201344053,89,139
343.75863570587194,1.1087998853811597e-05,0.004996061325073242,14,490,1074.1012678521654,70,106
251.72510009494079,9.800752190555577e-06,0.0049877166748046875,14,624,565.9338204539562,76,138
239.22155217195464,6.936854478948866e-06,0.004001140594482422,63,490,663.2018236430364,103,133
322.49814314515856,9.758939449973086e-06,0.005002498626708984,42,494,999.6056872587928,87,108
230.73282129495078,5.9893217019596505e-06,0.003993511199951172,78,383,563.3081366300498,108,148
279.20219736492567,7.55297484199846e-06,0.003537416458129883,59,437,803.3850313729837,85,121
324.7608800459421,8.811441336129503e-06,0.00400853157043457,51,516,944.222086686651,86,112
171.89622010755193,5.0960504933933885e-06,0.004999399185180664,14,449,124.5357992543317,102,178
343.1171707303854,1.071947517769809e-05,0.00500798225402832,32,523,1065.2664391633732,88,110
338.502465905145,9.97348375108465e-06,0.005001068115234375,37,499,1014.0510441640995,87,110
390.4188261380513,1.0588975944304244e-05,0.00446629524230957,43,460,1107.859669198462,83,109
247.28766194869337,1.846477073405874e-05,0.005997657775878906,14,1294,1912.3934945542235,77,82
323.35594567234193,1.5831789073240082e-05,0.0060007572174072266,14,1267,1417.6950887659502,72,97
256.82478189420857,1.9884786187160198e-05,0.004990816116333008,14,1322,1830.817839998481,75,85
374.5658930761934,3.297158852268374e-05,0.005528450012207031,14,1239,1262.7427143646644,69,108
307.76968215848,2.265369268014977e-05,0.006009578704833984,14,1369,1791.152033938128,76,88
296.44701601056033,1.8930963807464007e-05,0.0059986114501953125,14,1274,1702.5682474994574,76,87
290.462204320799,1.6430418894680604e-05,0.004997730255126953,14,1291,1412.8406459846863,72,99
232.17721455513922,1.9326520888042264e-05,0.008001089096069336,14,1216,1692.9491294081988,79,90
344.1163903084251,2.432473760951564e-05,0.00999903678894043,27,1300,2248.972534027356,73,74
367.8304850021167,1.7612728612766312e-05,0.005017518997192383,14,1319,1385.7703414133446,74,102
364.4532543423947,2.6121731739133302e-05,0.01000356674194336,22,1318,2379.848097950015,61,65
332.25468316588956,2.229044544414453e-05,0.009011983871459961,24,1227,2120.3980010184946,72,71
277.99116732006553,2.0710608627734182e-05,0.008321285247802734,14,1335,1985.821824142726,67,79
294.4698424825388,1.789331461688132e-05,0.00797414779663086,14,1205,1415.9037133423853,68,95
295.1005057646049,2.1775997908704774e-05,0.00802159309387207,14,1331,1482.7674130966059,74,93
271.51371135469066,1.7585659820147618e-05,0.005126237869262695,14,1224,1856.8381441026036,72,81
393.0896954313402,2.8333079481905962e-05,0.005018949508666992,28,1244,2392.5918234322676,71,68
267.9310609754536,1.577463885005375e-05,0.008983135223388672,14,1257,1559.8023065749474,73,92
349.9428346999569,1.561732788122814e-05,0.008991479873657227,14,1375,1480.694154053264,68,96
288.8535812294338,2.0886054084542742e-05,0.007997989654541016,14,1329,1995.0594682312326,60,74
337.7385479425349,1.3314506690370318e-05,0.011007547378540039,14,1284,1219.6207877592797,75,101
291.0495868374962,3.0269924102765082e-05,0.009020805358886719,14,1278,1875.3918300273344,63,77
344.1580676229961,2.7391213352805393e-05,0.009998559951782227,26,1325,2344.3959673873856,66,64
295.94313567656036,1.5849954142324974e-05,0.005249977111816406,14,1296,1606.858837097483,67,87
290.6561955349666,3.3790104337996806e-05,0.007004976272583008,14,1368,2174.6429925556995,60,69
235.70089750729028,1.790728113840363e-05,0.009018421173095703,14,1349,1753.600372615048,75,84
367.4701428244668,2.4554029377420976e-05,0.007999658584594727,24,1239,2244.322916543445,68,67
300.71609241458646,2.657772880725484e-05,0.010020971298217773,14,1383,2222.6284364992525,65,65
337.3763490636402,1.841775034182095e-05,0.009980916976928711,14,1338,1485.5710945261235,71,92
345.4402484349743,2.5827881978574665e-05,0.004997730255126953,22,1339,2330.5200965186355,65,64
299.95608189555895,1.6384591656139037e-05,0.009557962417602539,14,1256,1575.9155898851263,67,88
262.13102590849974,1.89781796463104e-05,0.00898599624633789,14,1372,1772.039083011148,65,80
230.05861057503208,2.8271184019753148e-05,0.008994102478027344,14,1245,1611.6285522397143,68,86
255.36432708393946,2.0111951362599296e-05,0.00795125961303711,14,1265,1808.2183951908157,68,79
266.8389723530433,2.102842589468162e-05,0.00800180435180664,25,1355,1998.7643873322572,63,72
262.1209645438508,2.2542281894960813e-05,0.012999534606933594,14,1290,1941.820206097304,71,74
323.10252229129503,1.8953118169638215e-05,0.006979703903198242,14,1283,1530.5548759633073,70,93
269.1775514694527,1.3547216944442517e-05,0.0070002079010009766,14,1223,1353.811639815401,74,96
280.9205257520944,2.0533624957079036e-05,0.0049991607666015625,22,1320,1987.3524575008312,65,72
255.29917939854022,1.6626564885009313e-05,0.007997989654541016,14,1325,1721.181709560723,65,81
299.7732645269856,2.2598859132187205e-05,0.007999658584594727,14,1240,2027.221367258807,71,70
264.6060902689876,2.2227230082064135e-05,0.0050542354583740234,14,1368,2068.071143001318,67,68
254.8307485593725,1.6408270372529777e-05,0.007985830307006836,14,1289,1617.0032834073936,71,84
229.27042324098625,1.7567043047983553e-05,0.007994651794433594,14,1264,1761.4747576728264,66,80
244.9903422761102,1.858122591960418e-05,0.003998994827270508,14,1325,1733.5227858788185,74,80
251.35943366585647,3.982017582765e-05,0.008981943130493164,14,1396,1918.7964848056577,69,74
308.7252737071356,2.597641012895654e-05,0.009021282196044922,14,1329,2194.523387055952,59,63
302.13014416019894,1.3733642567111987e-05,0.007999897003173828,14,1296,1282.163688624842,70,96
286.58078154774546,2.400077104789849e-05,0.00899815559387207,14,1319,2122.6878120690735,66,65
279.2628468485539,2.110470104643029e-05,0.0079803466796875,14,1310,1993.526386177101,69,71
292.5981432667501,3.296953879666314e-05,0.009002447128295898,14,1357,2224.252667644969,62,63
269.10180142376123,2.1339775872957807e-05,0.007998466491699219,14,1288,1958.1259469636834,66,72
296.12688402475874,2.4921959300911826e-05,0.008993148803710938,14,1350,2161.856977540787,55,65
358.04028712893387,2.440974406425804e-05,0.00599980354309082,14,1236,2252.750390153362,63,61
306.73697954244415,2.116108585335274e-05,0.010986804962158203,16,1229,2055.922797342316,62,68
258.9274174244465,2.171944480617156e-05,0.0049953460693359375,14,1293,1814.2358783245636,62,75
328.20212012328204,1.4664765898495872e-05,0.00499415397644043,14,1274,1170.0107456060284,66,99
