rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
222.80994606335082,2.74635853008848e-05,0.01915454864501953,14,421,28.0,130,14
243.03520454316748,2.8948964837522368e-05,0.007999420166015625,14,429,29.0,94,14
252.49365644285953,1.9141286726283838e-05,0.008001327514648438,33,504,211.0869449693072,99,54
137.6032172961752,9.731274980650377e-06,0.006999492645263672,55,526,477.22968403728885,84,75
210.776870412717,7.911052693654239e-06,0.012000799179077148,67,400,214.14964436402227,118,86
228.16432170056578,1.2414160151936077e-05,0.010999679565429688,61,417,178.79084970474247,119,74
177.38844206692852,1.1984422803564087e-05,0.006998777389526367,57,392,261.17637179919495,106,74
199.93021789028853,1.5982464523692017e-05,0.006999015808105469,44,352,156.38147083614538,110,63
189.21439252199093,1.6677084253062643e-05,0.007994651794433594,42,334,212.29131173610412,110,60
227.94660343240125,2.1044429973621876e-05,0.007999658584594727,24,401,90.45174774744737,116,49
183.633318209674,1.0963210533327224e-05,0.00699925422668457,63,479,354.16309559366937,94,74
269.03636407252816,1.9702344366073223e-05,0.007998943328857422,14,554,132.56124362814768,85,51
134.31903835267786,6.844394431920031e-06,0.006998538970947266,70,491,415.77481334062554,98,86
150.71765676396333,9.64064974483041e-06,0.006999969482421875,47,523,513.8204495333164,96,74
239.74784035038843,1.8118232705451573e-05,0.008014440536499023,38,435,162.9954196389166,110,57
102.50763546725511,6.120812858663175e-06,0.0075528621673583984,76,425,383.8820403968906,102,93
178.5502561115097,1.5941012018695947e-05,0.007999897003173828,32,403,269.9828540501637,83,60
138.1323750825657,8.3475941246661e-06,0.00699925422668457,63,460,403.6248124221145,97,81
227.08106594959114,1.0283960448732101e-05,0.006998777389526367,58,448,233.89854183763845,110,77
180.08754941229347,7.65861663499428e-06,0.006998538970947266,52,541,390.25492911402995,87,83
158.77379816436212,7.933519602865703e-06,0.006998777389526367,70,439,348.10386112381826,106,84
86.96094909402775,5.436582122072802e-06,0.006999969482421875,62,491,488.90411692585036,101,93
125.02269645301882,7.586778532267034e-06,0.00731658935546875,57,472,480.2043892738583,92,81
156.90477667837237,7.145514827714822e-06,0.0069963932037353516,62,400,268.6781576162248,126,91
158.00975992889718,8.647660455601806e-06,0.005997180938720703,70,415,370.48647942496495,92,82
180.74790160747432,1.350918603099396e-05,0.007999897003173828,25,473,323.20861379201654,80,65
190.87847727080407,1.0718556049285566e-05,0.013999700546264648,56,389,227.55142458786716,106,76
167.70913787390072,7.878339361046129e-06,0.009001731872558594,65,439,280.15272257630755,111,85
170.0796294565735,1.2139617460657696e-05,0.008998632431030273,55,413,293.206291788013,96,72
211.83455780016334,2.01778465641586e-05,0.00699925422668457,32,401,121.06877944305374,100,51
202.47809794311075,1.0587193421720366e-05,0.007999181747436523,14,443,749.2165543077824,95,70
171.21888707370562,1.119760875892779e-05,0.006999015808105469,52,468,371.9579073166332,81,73
214.8697754702469,1.9524617894441526e-05,0.00699925422668457,36,439,158.20416212730575,93,53
135.032973502177,6.232406112643647e-06,0.00699925422668457,77,481,402.948258907459,101,91
145.70904862329579,1.127443198390307e-05,0.007997989654541016,21,507,486.824518379889,79,69
230.31273995515244,1.1795328546327056e-05,0.009999513626098633,53,490,242.40335964838906,113,72
160.80601302907377,8.642198174868257e-06,0.011998891830444336,56,482,355.61431726462325,93,80
235.10361899848695,1.0451194867605678e-05,0.006998777389526367,56,461,187.6516605842569,124,78
219.25445263990352,2.049978047945312e-05,0.009999752044677734,30,465,156.80499916443094,84,49
248.9084500477152,2.329863938390969e-05,0.007998943328857422,14,467,74.2983695331554,110,41
209.79694344364083,1.679407383166155e-05,0.006997346878051758,38,420,205.09030094707043,97,58
146.06611115869808,1.2993567542402185e-05,0.007998466491699219,43,524,528.6015692263962,79,66
188.00185492923683,1.463138721068233e-05,0.009014368057250977,38,466,386.78795427767346,73,63
248.63472181593926,2.3044167727977982e-05,0.008999824523925781,14,462,87.57236952084249,111,43
227.92131290949268,2.2113076201375332e-05,0.007998943328857422,14,415,129.44834423941995,102,45
206.77033283826137,1.0601310301710234e-05,0.015000104904174805,64,459,290.74656376771145,101,76
163.42142524290207,1.028313154889379e-05,0.007999658584594727,58,457,384.4942723473006,83,74
217.91404370621893,1.581388222835579e-05,0.007998943328857422,29,415,288.1970273059336,112,60
149.67601790030662,9.797549587476583e-06,0.006998777389526367,66,341,293.0163780488161,89,78
151.71867576003862,1.3586170291976396e-05,0.010013818740844727,14,490,519.6377512670526,70,62
263.94089535377014,1.9412873106360736e-05,0.009000301361083984,14,624,224.2431278566749,76,53
168.6603713014022,9.346334324162669e-06,0.00699925422668457,63,490,342.2442547730676,103,80
192.87444609641574,1.4405388786239038e-05,0.008983135223388672,42,494,394.94106399931786,87,62
113.4724815813276,5.895100588091903e-06,0.007983684539794922,78,383,316.2380363476923,108,93
179.34122909229822,1.2097098017575257e-05,0.008013248443603516,59,437,374.3658066273391,85,71
155.4880172246191,1.2163945317613332e-05,0.0069963932037353516,51,516,446.5559988469506,86,70
238.9524171431471,2.393629670984541e-05,0.009001970291137695,14,449,89.33198719029501,102,40
206.66549930515393,1.4471800515284532e-05,0.012008190155029297,32,523,325.58608996752906,88,61
193.25967619519244,1.430922440428894e-05,0.007999420166015625,37,499,351.1081187429963,87,62
