rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
295.6541028520301,7.4053057258585225e-06,0.008976221084594727,48,421,823.8786577992829,130,139
470.1037363490249,1.1876470205873579e-05,0.008975982666015625,46,429,1364.384881547368,94,122
285.701515046145,7.761504242455811e-06,0.010970354080200195,32,504,915.3458593521477,99,119
499.21573408890066,1.4374370636411085e-05,0.009972572326660156,34,526,1553.9271769008174,84,104
180.0237437591167,5.559113340478022e-06,0.007978439331054688,64,400,512.5747177083084,118,160
264.50651942426975,6.584882760989024e-06,0.008976221084594727,60,417,694.6223074986383,119,154
166.83067848013383,4.845036083127485e-06,0.00997304916381836,44,392,441.6481241008488,106,150
394.8949201778688,9.096220326610913e-06,0.008976459503173828,43,352,1053.5326325285746,110,131
358.6058085147751,8.389604073486985e-06,0.00997304916381836,29,334,1008.0259347246667,110,119
203.17756868604818,5.7580840757271845e-06,0.008975982666015625,63,401,568.2403612453047,116,148
312.4516451708821,7.974027244727889e-06,0.009971857070922852,52,479,901.9906594288625,94,125
380.87082146006304,1.067791930616405e-05,0.008975982666015625,29,554,1250.5732848357602,85,107
369.95999425924816,9.349013467874351e-06,0.00997304916381836,59,491,1046.2334317280995,98,125
400.39595579155167,1.1344249987225885e-05,0.009973526000976562,47,523,1257.822673988352,96,106
217.15218945752764,5.18612355191269e-06,0.00997304916381836,31,435,117.77755988771582,110,35
481.967593659284,1.1514213043223378e-05,0.008975982666015625,48,425,1336.913895229774,102,126
375.8119220748746,9.206009939356336e-06,0.009972572326660156,32,403,1055.4798556659937,83,114
210.75581167565878,5.8935148227627085e-06,0.008975744247436523,62,460,604.5282257365465,97,127
292.12483947585486,7.996808001323892e-06,0.009973764419555664,49,448,879.9752419918831,110,138
409.23665152177335,1.162246004564669e-05,0.008975028991699219,48,541,1308.1013727302607,87,119
221.98754938818982,5.95146683851819e-06,0.008978128433227539,70,439,623.6184723275916,106,137
428.5010914019146,1.0959274974185297e-05,0.007977724075317383,62,491,1213.0410592732462,101,125
392.8885817669629,1.0269026071156597e-05,0.008977413177490234,57,472,1117.0082128931085,92,118
361.30175373831474,8.466387305088403e-06,0.008976221084594727,62,400,940.509657949927,126,144
215.59673478075402,5.644090878644939e-06,0.007978677749633789,66,415,638.2776431288851,92,131
492.9189750754468,1.403270025835235e-05,0.009972095489501953,29,473,1548.8977933588858,80,100
346.5699322351534,8.452100127021213e-06,0.009973287582397461,42,389,966.4821648935731,106,133
219.38138648472366,5.6603813358700085e-06,0.007979154586791992,65,439,566.1599201344361,111,148
257.31622553970055,6.012508903106336e-06,0.008975744247436523,49,413,688.9537875403639,96,133
225.1178815420149,6.0732587989096395e-06,0.009972095489501953,34,401,558.6403080982802,100,149
326.7117514562124,8.771738890574354e-06,0.01096963882446289,28,443,1003.8919039732792,95,113
579.2361548835995,1.776888206423712e-05,0.010970115661621094,29,468,1856.308955437499,81,92
185.25052809514577,4.861320107818788e-06,0.009972572326660156,34,439,425.4339862457182,93,148
396.3070298824848,1.0703405747989622e-05,0.007978677749633789,70,481,1117.0044643623073,101,129
448.4082754856748,1.2529017828239385e-05,0.008975744247436523,39,507,1406.3751846458974,79,100
129.96618934518412,4.079988224847794e-06,0.009974002838134766,42,490,260.9624743987211,113,144
520.9528200331415,1.4693134124063996e-05,0.00997304916381836,41,482,1592.9555936233849,93,110
180.45115214889148,5.343837319881988e-06,0.009974002838134766,47,461,480.91915353391573,124,167
214.9413216598801,5.706676240109096e-06,0.00997304916381836,30,465,542.2429297983421,84,140
185.8793295193898,5.716377743766566e-06,0.008976459503173828,51,467,535.2427178897873,110,137
307.8092859670643,8.36011943306407e-06,0.009971380233764648,26,420,909.8690474360188,97,121
481.0434819209023,1.4033191835505862e-05,0.010969877243041992,36,524,1529.8280686781475,79,93
352.815223053883,9.546913208483274e-06,0.009973287582397461,36,466,1089.247376177902,73,106
