rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
421.85283957054736,2.1558837212302877e-07,0.05759263038635254,45,4324,5074.332855299442,105,104
769.5952270079473,2.4318979902167426e-07,0.0029921531677246094,39,4219,5537.36851539924,99,101
987.1479360798872,2.564273758694309e-07,0.003988504409790039,33,4649,6521.036193521952,98,96
794.6439403036834,2.405486405140099e-07,0.003988504409790039,47,4693,5881.686440320738,95,99
553.9189914008962,2.1698775777211418e-07,0.003988504409790039,40,4172,5118.597935919656,110,103
1236.190480016534,2.5066549387504535e-07,0.003988742828369141,32,4296,6693.830142871935,92,95
571.3668479683306,2.147866758662178e-07,0.002991914749145508,49,4675,5463.570526351005,99,102
799.8905567865471,2.18237705265144e-07,0.003989219665527344,39,4179,5620.561672262713,93,101
987.5167440647683,2.5914004557002467e-07,0.003989219665527344,34,4475,6285.641069944137,95,97
984.4688774388349,2.3384699571935265e-07,0.003988981246948242,36,4293,6054.022232556574,102,98
1495.132918935503,2.969813222617768e-07,0.0039823055267333984,37,4310,7253.822298067412,89,91
672.5390203211667,2.2934100424400036e-07,0.003989458084106445,42,4385,5444.742458140042,102,101
961.4138602598617,2.2694947766532975e-07,0.0039904117584228516,40,4555,6254.321109015092,91,97
1445.1032203982304,2.644948124412443e-07,0.003988742828369141,29,4594,7488.275337441898,85,91
1144.324023775734,2.682041462816849e-07,0.003989458084106445,36,4611,6746.366633115422,95,94
890.3595208899934,2.2209618201212165e-07,0.00299072265625,37,4611,6126.197884711583,90,98
994.2184003729612,2.3902411990548975e-07,0.0039899349212646484,47,4380,6002.9559601589035,88,98
1163.5134749991855,2.733172513986707e-07,0.003985404968261719,43,4712,6789.827907690218,84,94
1323.6375007887339,2.549782356122979e-07,0.003989458084106445,32,4402,7037.46112506986,96,93
848.7250539622596,2.3024058113309235e-07,0.002991914749145508,37,4609,6016.996851366184,94,98
1312.431548713716,2.6501934818267636e-07,0.003989458084106445,36,4205,6780.045736890708,93,94
981.9820058776361,2.6068031972390725e-07,0.003988981246948242,42,4501,6356.813763811864,89,96
1482.9689891760117,2.9418253188000495e-07,0.0039882659912109375,29,4437,7384.534415061271,89,91
960.4403066527705,2.3228430759228982e-07,0.0039899349212646484,44,4329,6123.899315425245,92,97
1099.3337961471118,2.612393638733098e-07,0.003989219665527344,33,4278,6370.164380082855,96,96
1707.7297864782477,2.9895529577010743e-07,0.003989696502685547,29,4261,7741.905119000067,93,89
1123.8264196946957,2.522971867643387e-07,0.0039882659912109375,34,4367,6540.927625411296,95,95
1020.8750278973649,2.4398242022152165e-07,0.003988981246948242,44,4389,6329.397843291939,100,96
1406.1076173791682,2.7626124190434353e-07,0.003989458084106445,31,4603,7325.199257766227,82,91
1008.091887472267,2.411912238421502e-07,0.003987550735473633,44,4370,6221.162470708045,93,97
1352.2496952772183,2.795709164580453e-07,0.003989219665527344,33,4643,7283.5940216542685,92,91
1084.2399099619222,2.7147062065596175e-07,0.003989219665527344,45,4330,6277.014170189861,96,96
1862.5031423476105,3.268145714907722e-07,0.003989219665527344,28,4490,8376.293964253104,78,86
1842.4693367450589,3.3006930849132164e-07,0.003990650177001953,33,4592,8396.35147245213,83,86
1297.790869308696,2.907960096948383e-07,0.00398707389831543,39,4848,7154.644614689214,85,92
1290.391137029083,2.655727945644079e-07,0.0039882659912109375,39,4211,6725.960444453317,87,94
1446.8948199083097,2.9109498336617416e-07,0.003988742828369141,33,4590,7460.586063001019,88,90
1234.0445186650895,2.3841714613926925e-07,0.002991914749145508,35,4464,6755.746945203237,85,94
