rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
283.5550949598613,6.650124912331459e-06,0.006998538970947266,39,475,980.6989913816984,103,110
191.71201561792364,5.739598372884058e-06,0.007997989654541016,70,480,701.2536774393284,119,129
186.44453534541702,4.653632703636921e-06,0.007997274398803711,49,403,670.6735101131404,89,114
156.1191005484208,4.32356628776821e-06,0.007990598678588867,46,494,661.5254648907039,95,113
142.41282949903123,4.127011283955114e-06,0.006998777389526367,62,444,202.20326963414112,129,120
345.3768225149482,8.517928564413342e-06,0.006997585296630859,47,523,1162.4857784429043,95,108
125.11249410097889,4.068160150876571e-06,0.007012605667114258,50,451,603.8075699399762,102,120
188.8560998413196,5.691169414848959e-06,0.007005453109741211,57,509,664.3079539242414,105,133
147.79789762364086,3.9349114099839325e-06,0.012999773025512695,49,412,549.807779763783,104,125
33.11722078024692,3.3337145076394702e-06,0.007002115249633789,49,431,363.8299233666241,116,114
39.15282101004138,3.6952466221146228e-06,0.01498723030090332,33,431,471.372825253018,88,87
306.14193725724044,7.11519135675943e-06,0.010982275009155273,60,455,916.7213384836936,94,117
70.59297052739831,2.7189693803474296e-06,0.005998134613037109,63,444,297.0686727687778,110,116
52.9070654284447,3.3140270572635384e-06,0.012002706527709961,48,392,439.65144399076985,94,114
205.82036391853086,5.2123559592495345e-06,0.011017560958862305,48,472,714.2217481726012,94,120
232.21471188170653,5.671954561941826e-06,0.011978626251220703,39,460,850.8297267311457,102,103
50.793959141735506,4.191151981023811e-06,0.012526750564575195,39,481,495.97866994191503,106,112
411.1365646793751,8.462299431431969e-06,0.013000249862670898,52,424,1164.4355132433695,105,113
264.7682722547738,7.323090127498461e-06,0.009270668029785156,40,516,960.2173438392597,102,108
329.1292558655809,7.158100573456257e-06,0.014000892639160156,46,460,1022.3773362543209,90,111
191.58567943360177,4.595179055269305e-06,0.012980461120605469,47,422,740.8863042253113,94,101
144.19675580648902,4.819871618735303e-06,0.018003225326538086,46,507,720.7023478434826,92,100
421.86326755113436,9.431615688641424e-06,0.0070116519927978516,48,494,1315.477513040574,107,113
56.489733302585186,3.6392360408481e-06,0.01300048828125,38,553,411.0961627239739,98,100
182.2026286297281,4.322136318217938e-06,0.015001296997070312,42,348,656.976995562058,111,106
172.18371228258303,4.95319381715509e-06,0.01199960708618164,43,509,713.6244481740899,109,117
228.59620743226586,5.64798203365875e-06,0.012999534606933594,53,446,781.1153239537994,117,133
111.66041372634183,3.650272395495451e-06,0.012999296188354492,48,457,249.08850888893076,98,91
228.9842505413209,5.1510955944329435e-06,0.01297760009765625,42,388,779.5782832275228,107,116
47.87319126053215,3.1275100393082207e-06,0.010997533798217773,60,389,419.1393447414605,112,113
