rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
387.59590864215613,9.798778864968919e-06,0.015622615814208984,48,421,1087.8323396546634,130,129
341.997610877252,8.686047458078782e-06,0.01290750503540039,46,429,965.4008087646796,94,136
315.1339063569825,9.045335905840939e-06,0.0004591941833496094,32,504,1015.7485891517116,99,116
445.41878531082705,1.2850373736932287e-05,0.0,34,526,1345.764006295099,84,110
365.40836632405467,9.529748841578542e-06,0.0,64,400,1012.0627303445731,118,144
114.4665503228051,4.7482366702457005e-06,0.0,60,417,273.2597539845438,119,157
453.13545139235885,1.1006352722970775e-05,0.0,44,392,1248.2737034918923,106,121
161.0017532722688,4.853382853385522e-06,0.0,43,352,425.2898406856912,110,162
272.9573312467919,7.00116077577901e-06,0.0,27,334,758.0122565469909,110,131
392.59359555507876,1.0269718784055267e-05,0.016219377517700195,51,401,1106.7462084935146,116,128
406.15461942372525,1.0827953740827003e-05,0.01668262481689453,50,479,1176.294440289774,94,118
386.78891342478886,1.189905604364437e-05,0.0,27,554,1271.1340973333588,85,107
410.399283831776,1.1066148580615094e-05,0.0,59,491,1163.14982517728,98,123
342.02884796511347,1.0661137971046092e-05,0.0039899349212646484,42,523,1083.577081318565,96,110
166.06271965426274,5.280022058037781e-06,0.0,31,435,499.6147214194192,110,147
510.29576709889676,1.2792961179251598e-05,0.0,48,425,1436.2218208392676,102,123
464.5508876689252,1.2868693982331656e-05,0.015622615814208984,31,403,1345.1875738830406,83,105
307.46822638589964,8.315553412776943e-06,0.01714181900024414,56,460,847.5593187509504,97,126
431.0744304420252,1.1858687722596182e-05,0.012680292129516602,49,448,1296.1251326682143,110,124
430.91272808725216,1.3094949589595789e-05,0.0,48,541,1382.78701226419,87,117
478.819345471149,1.2804154953683724e-05,0.0,63,439,1318.3806961057594,106,125
473.7033951407413,1.3002921018047424e-05,0.0,59,491,1371.8708004248156,101,121
418.69896042597026,1.1457087294587107e-05,0.0,56,472,1198.519348717589,92,116
177.35917458662675,5.528246764281866e-06,0.0,56,400,442.2218634704575,126,166
186.3854467740263,5.890277808887558e-06,0.0,66,415,580.3854039460953,92,130
497.67754388747164,1.4570375717907835e-05,0.01659703254699707,27,473,1575.4639628478883,80,99
219.01782556090666,6.098474816559441e-06,0.015851497650146484,42,389,583.8187389781865,106,152
322.6286605180026,7.899097258035367e-06,0.0,65,439,821.2502630736841,111,143
407.9346917650716,9.835487818840603e-06,0.0,40,413,1128.0321378821714,96,120
251.16623095154654,7.183607449370422e-06,0.0,34,401,638.258802298195,100,145
437.11106699569933,1.2379203697033073e-05,0.0,27,443,1345.639141204408,95,102
382.70474773548545,1.0980407762001754e-05,0.0160982608795166,27,468,1183.1544219121315,81,112
344.4802327356831,8.925296802160252e-06,0.016701698303222656,34,439,928.6240318743035,93,125
336.77560498721766,9.445313744603059e-06,0.0006055831909179688,70,481,953.2212366837535,101,132
453.6062504030855,1.3482831479920481e-05,0.0,39,507,1424.0912147134306,79,99
175.75403934832207,5.921447822298456e-06,0.0010182857513427734,42,490,515.8197770843938,113,146
422.43871150370484,1.1562134885128237e-05,0.0,41,482,1248.4282660462702,93,120
229.21789726719828,6.706838421175852e-06,0.0,47,461,648.1007776038557,124,157
332.3804709351419,8.95720059770133e-06,0.0029921531677246094,27,465,936.3249435507561,84,121
313.8815834142078,9.240875338796125e-06,0.016704559326171875,51,467,902.428892104435,110,129
315.045562974573,9.074082670227856e-06,0.01814126968383789,27,420,926.5377654697346,97,121
500.64658554221694,1.559012553637796e-05,0.0,35,524,1606.6447832656618,79,91
399.3352903383198,1.114708587183899e-05,0.0,36,466,1233.0372203778331,73,103
366.5130667617868,1.0188002969460748e-05,0.0,34,462,1123.2005821457483,111,120
313.5728369018602,8.680223369192552e-06,0.0,36,415,949.321861559133,102,120
360.751301733725,1.0475654957852663e-05,0.0,46,459,1058.4953837210237,101,128
325.36719474321194,9.202475067617226e-06,0.0,35,457,949.0242673392698,83,122
515.7119050787817,1.4442326148535516e-05,0.012701272964477539,27,415,1554.5835207964426,112,97
252.51369608723115,6.648192160502811e-06,0.0015687942504882812,58,341,655.6282300622814,89,134
438.37505707815365,1.4108636952426757e-05,0.004354953765869141,27,490,1390.1126028680928,70,96
458.7733212766985,1.730398516968822e-05,0.0,27,624,1655.3128813351825,76,88
300.4662266413063,8.4620648488757e-06,0.0,27,490,938.609719903489,103,122
439.9466744477958,1.3529239917689845e-05,0.0,27,494,1425.4840542602074,87,98
378.1586559522422,9.031339058182339e-06,0.0,56,383,965.9503642224629,108,136
281.0595162673409,7.725295291085237e-06,0.0,27,437,850.1845523357132,85,124
369.2701761600026,1.0078434931021087e-05,0.0,50,516,1077.902822800664,86,110
412.8803538153841,1.1254961867452508e-05,0.0,27,449,1268.813649796482,102,110
379.6552778261596,1.192715758113844e-05,0.0,31,523,1201.9997668034296,88,106
454.82737156997086,1.3979512161932508e-05,0.012739896774291992,34,499,1438.5016342772924,87,99
394.3430778596496,1.082093731249703e-05,0.0028884410858154297,39,460,1137.7425397722595,83,108
229.23280360886312,1.5807048114498344e-05,0.003677845001220703,27,1294,1615.767959424483,77,89
391.8377005609973,2.6254252377521496e-05,0.0,27,1267,2362.3977375927116,72,70
357.8325160274371,2.72756188861759e-05,0.0,27,1322,2341.060690515058,75,72
313.5338819289008,3.6440399541341625e-05,0.0,27,1239,2088.0006692245897,69,80
382.3799810488035,3.1670605036629853e-05,0.015623331069946289,27,1369,2504.7179589007405,76,72
453.00834179465306,3.246078615319905e-05,0.01660299301147461,27,1274,2625.3999793930657,76,66
357.7613806156238,2.5186849167482085e-05,0.0,27,1291,2299.014049726703,72,76
402.5579549582626,2.687147637610323e-05,0.0,27,1216,2327.0466336039,79,74
459.8619169258273,3.2529581163981895e-05,0.0,27,1300,2635.126792443362,73,68
344.8428508516044,2.6206863310113494e-05,0.0,27,1319,2295.9931658419805,74,76
416.37072806918803,3.038627533141913e-05,0.0,27,1318,2561.941030641021,61,62
