rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2296.703326385904,6.134367206369728e-07,0.003988981246948242,69,4324,6713.111991898315,105,134
2751.41885830232,6.888289402673029e-07,0.0029921531677246094,63,4219,7445.437844239999,99,132
4902.0326468729145,1.4095827495534225e-06,0.002992391586303711,31,4649,15585.450962301213,98,104
3175.4723526895405,8.202301165026205e-07,0.0029931068420410156,58,4693,9004.211188236888,95,122
2802.4828630856914,7.069918779947908e-07,0.0029916763305664062,61,4172,7695.74785434887,110,136
4162.359620316467,1.0659982165396855e-06,0.003988504409790039,39,4296,12292.79621220181,92,114
2555.6166429390264,1.1788819992398248e-06,0.003988981246948242,6,4675,351.0,99,6
3651.117562350191,9.020681459617813e-07,0.002991914749145508,50,4179,10248.925136589574,93,125
4292.239184168,1.1566858478308318e-06,0.00399017333984375,31,4475,13122.80079384741,95,113
2370.862998314223,1.1914948983214383e-06,0.0039899349212646484,6,4293,320.0,102,6
3864.338874304271,1.0199183105003357e-06,0.0039904117584228516,38,4310,11337.902557478674,89,110
4075.554921783889,1.067539664815475e-06,0.0029878616333007812,27,4385,12440.04971482408,102,117
4076.5784926938595,1.0630745082950585e-06,0.0029926300048828125,41,4555,12140.746371861684,91,114
2756.662312513416,7.276669599801745e-07,0.0029921531677246094,56,4594,8029.771658357343,85,119
3374.722201223535,8.8829162082279e-07,0.0029916763305664062,44,4611,9939.711248980773,95,119
3048.82941226212,7.718910660991293e-07,0.002992391586303711,59,4611,8561.816453675276,90,123
3130.456445178313,7.735114814732873e-07,0.002991914749145508,49,4380,8727.582241523827,88,123
2370.4709293831233,6.514693550586935e-07,0.0029916763305664062,60,4712,6988.572374357422,84,118
3761.8821332337297,9.705476940284824e-07,0.003988981246948242,40,4402,11071.839699010066,96,116
4481.707996226144,1.211856824375172e-06,0.0029947757720947266,38,4609,13568.965186229787,94,112
4206.969573557333,1.0893958874842728e-06,0.0029916763305664062,38,4205,12364.725336226204,93,111
2860.475320806206,7.778874683305246e-07,0.003987789154052734,55,4501,8380.757361523263,89,122
2448.6254265054463,1.146959389787281e-06,0.003989458084106445,6,4437,487.0,89,6
1375.707339514016,4.231037081941448e-07,0.002991914749145508,75,4329,4915.626011491809,92,115
1772.0065222067974,5.147728426093122e-07,0.0029921531677246094,81,4278,5173.6235514191,96,127
2256.246260924956,5.97277282463961e-07,0.0029916763305664062,63,4261,6327.004994847632,93,121
2447.4356528699127,1.1012818345925668e-06,0.0029921531677246094,6,4367,490.0,95,6
3662.3588492400754,9.561342251469475e-07,0.002991914749145508,44,4389,10840.130007252395,100,116
4819.143470899687,1.3659164842426207e-06,0.002991914749145508,32,4603,14949.34197418931,82,102
2817.533730076546,7.306475171932259e-07,0.0029926300048828125,54,4370,8040.578198191581,93,124
3709.998834342402,1.0014001512531026e-06,0.0029916763305664062,45,4643,10979.63383886554,92,112
3315.3466821214997,8.68265915056491e-07,0.003989696502685547,45,4330,9514.520167066854,96,119
3642.108890438494,9.647398602007708e-07,0.002991914749145508,38,4490,10791.290383381043,78,109
3188.713469023495,8.560137564901358e-07,0.0029916763305664062,41,4592,9535.235622850822,83,110
2908.8969226600293,7.863135846353389e-07,0.002991199493408203,50,4848,8478.011268439082,85,117
2965.058214221851,7.554134484916702e-07,0.0039882659912109375,52,4211,8317.06163651324,87,121
3586.3886168332797,9.65381765098059e-07,0.003989458084106445,38,4590,10736.223940846468,88,113
4426.3861685604625,1.1755101907286482e-06,0.003989219665527344,35,4464,13281.934008266744,85,109
3950.9015510216504,1.080548465826325e-06,0.003989219665527344,30,4534,12141.126417456937,86,106
3449.2767360714192,9.281008461668217e-07,0.002991914749145508,49,4541,9943.63231797921,96,117
3412.723905279183,8.856857273123798e-07,0.003991365432739258,23,4520,10338.448661748822,88,115
2903.544510251208,7.637078732411057e-07,0.0029916763305664062,49,4578,8437.052681102548,90,117
4494.126937820473,1.2974238916084494e-06,0.0055217742919921875,26,4620,14342.031734086762,82,101
1658.7446407601863,5.036651316453065e-07,0.0029914379119873047,67,4666,5428.182499708849,88,112
3680.7850766530705,9.946422796648598e-07,0.003989458084106445,38,4574,11098.798642866414,86,109
3185.459332630485,8.046687565862228e-07,0.003989458084106445,45,4260,9102.50363528968,91,116
3500.799248346058,9.025685645827759e-07,0.003988981246948242,20,4508,10469.198737307775,88,117
4050.3803309706473,1.1052056645492634e-06,0.003988742828369141,37,4430,12106.25282174783,85,107
3944.1728703841654,1.0579419597506795e-06,0.002991914749145508,28,4485,12096.466479915242,87,105
2059.339767267304,5.907398816237502e-07,0.002992391586303711,62,4748,6415.391419867373,85,114
4030.062121512371,1.10207072494375e-06,0.0039899349212646484,26,4607,12398.889771774479,82,103
2917.8867856088686,7.889886834666557e-07,0.002991914749145508,43,4578,8696.885320408954,90,114
2440.715476491536,1.084461586581387e-06,0.003988742828369141,6,4355,679.0,79,6
3911.282714501156,1.0955821365752175e-06,0.003986835479736328,34,4696,12177.25402336605,82,103
2864.240325873182,7.776556180751789e-07,0.003989219665527344,47,4812,8569.747019986804,84,111
2293.490256898536,6.309877924565983e-07,0.003989458084106445,49,4547,6782.994199022989,87,120
3358.2195675463786,9.118146291915209e-07,0.0029916763305664062,46,4605,9745.799997523676,74,109
3001.172059019448,7.79641011247522e-07,0.0029921531677246094,46,4361,8732.917266085138,80,115
2667.654568944999,7.345432458864178e-07,0.003989696502685547,46,4654,8029.681593398882,80,114
3253.1175494532026,9.005404420894824e-07,0.003989219665527344,37,4716,9831.10515938535,85,110
3961.0042523795664,2.6771835607434523e-06,0.0069806575775146484,17,12665,24789.995156943503,70,68
4486.027819777139,3.185192733003156e-06,0.00698089599609375,15,13052,26965.543045180926,67,62
4246.946147192072,2.859389541182771e-06,0.002991914749145508,28,12693,25454.0918009759,70,67
5856.438364221039,1.8314183958360567e-06,0.003989219665527344,6,13213,438.52,68,7
4067.5597175171156,2.746129506102729e-06,0.003989696502685547,23,12957,25264.997765102846,66,63
5751.060570808817,1.7023886774811324e-06,0.003989696502685547,6,12822,443.18,71,7
