expanding mean last value,expanding mean,biexponential decay,polynom (day),"polynom (day);
shifted forecast",regression (day),"regression (day);
shifted forecast","regression (day, previous I)","regression (day);
incremental learning",median beta,"median beta;
shifted forecast",lstm
9.208909254386915e-06,5.677016757304327e-06,5.806103256130908e-06,5.892096921979856e-06,5.6225490815623244e-06,4.388781846810823e-06,4.768756754870058e-06,4.020537615822696e-06,6.10287579647085e-06,3.897758275111057e-06,3.6995522267027983e-06,4.405744132808031e-06
7.885269925303263e-06,5.502190078546086e-06,4.792404397823206e-06,5.912970706321475e-06,4.707412876567201e-06,4.07487528773675e-06,4.625868364374623e-06,3.7731276400292034e-06,6.354332978842026e-06,3.675863344541222e-06,3.5637247688196953e-06,3.528230026124422e-06
1.0155148624731281e-05,5.710273920936735e-06,6.027066616413932e-06,5.73054477128719e-06,4.1201863245652775e-06,4.002522016310146e-06,4.23013837632355e-06,3.508907686306468e-06,5.4431368445295e-06,3.3802627938198564e-06,3.040405278385838e-06,3.616729319393757e-06
9.019375260818147e-06,5.553861185502621e-06,6.418665355655267e-06,5.577678553936702e-06,4.774475453505649e-06,3.93485708294e-06,4.4898951847479024e-06,3.6081087088769765e-06,5.323560642144609e-06,3.5030618331799525e-06,3.3905751588108385e-06,4.034557590635537e-06
6.256178066495479e-06,5.33630220209486e-06,4.829890131922303e-06,6.103971455990239e-06,6.412307075919625e-06,4.369682194249595e-06,4.098385484448255e-06,4.09376796193211e-06,6.9106257969381546e-06,4.358558141165738e-06,4.932212838376106e-06,4.137531927270685e-06
1.1718668639969412e-05,6.463148764706107e-06,5.110281779199256e-06,6.265246433372824e-06,4.7065234285214305e-06,4.425445457884863e-06,7.136128693220302e-06,3.936923742228754e-06,6.172970077709485e-06,3.800830745753906e-06,4.961114592296786e-06,3.711903884431114e-06
8.057021632180879e-06,5.004456529589699e-06,5.00920139799775e-06,5.225674941644989e-06,3.920207025866892e-06,3.627341074078045e-06,3.820787461491464e-06,3.2325870891168442e-06,5.848450410264496e-06,3.222765685598087e-06,3.1076731745147074e-06,3.7783472245506994e-06
8.879470770626215e-06,6.3166919524980186e-06,7.963778740335752e-06,6.012501698544108e-06,1.1561079174686406e-05,4.528944127024566e-06,7.253838828688606e-06,4.432094834507723e-06,6.901705535027052e-06,4.0998044332593424e-06,5.209815523280784e-06,4.334266075870838e-06
7.2398069933654185e-06,5.038035140734843e-06,5.219003641509701e-06,5.052398341832364e-06,6.693414298052345e-06,3.637246871098385e-06,4.012208622925759e-06,3.4096404455150536e-06,5.513890521074346e-06,3.1907094122362375e-06,3.155983236276874e-06,3.925840685160638e-06
6.916412873980641e-06,5.010896121184609e-06,6.044301840931166e-06,5.372955889921474e-06,4.8580953113073516e-06,3.7934282668508008e-06,3.289668073566279e-06,3.5551939704589917e-06,5.6098932474112235e-06,3.3569407101948477e-06,4.29987911115298e-06,3.776244223879814e-06
1.0851079756835295e-05,6.055051724812108e-06,8.715490218144639e-06,5.813267851680215e-06,4.340280596691272e-06,4.3973070704037576e-06,3.8113024958061997e-06,3.9779257187151296e-06,4.91026426260701e-06,3.879400019658775e-06,5.399704083617685e-06,4.455685916413349e-06
9.642959808275252e-06,6.07388069727212e-06,4.852101990460079e-06,6.387218096123996e-06,9.840025640495917e-06,4.5301835574734844e-06,6.506100464154611e-06,4.107271651129281e-06,7.164206493203097e-06,3.940926744482473e-06,4.532131632807427e-06,3.57823542007771e-06
6.98311042887426e-06,4.640171382455737e-06,6.0185603311746095e-06,4.892204995274766e-06,3.602745392892261e-06,3.29168333332376e-06,3.1246323755253463e-06,3.030183971499072e-06,5.11908131937894e-06,3.091330319038973e-06,3.4420930996841863e-06,3.619928019041966e-06
