S,E,I,R,Beta
9950,0,50,0,4.020100502512563e-06
9948,2,44,6,6.8538216909748875e-06
9945,5,40,10,1.2569130216189039e-05
9940,10,36,14,1.676727028839705e-05
9934,16,34,16,5.92143440827106e-06
9932,17,33,18,6.102100342938039e-06
9930,14,35,21,2.8772838440512156e-06
9929,13,36,22,1.9583487203589933e-05
9922,19,33,26,1.2216500827667932e-05
9918,22,33,27,9.166070872059982e-06
9915,25,31,29,1.9520765213996388e-05
9909,28,32,31,6.307397315571703e-06
9907,27,31,35,9.768264212010406e-06
9904,29,29,38,1.044510055150131e-05
9901,28,30,41,2.6933306400026934e-05
9893,33,32,42,3.1587991509147885e-05
9883,39,34,44,3.8687943051347825e-05
9870,49,34,47,3.8738899815245244e-05
9857,57,35,51,3.768170553196423e-05
9844,63,39,54,1.5628418716594254e-05
9838,60,46,56,3.3145655267507533e-05
9823,66,49,62,1.8698306972183153e-05
9814,66,53,67,1.9225519185145596e-05
9804,72,51,73,1.999984000127999e-05
9794,75,54,77,1.3235616666288506e-05
9787,73,56,84,2.0070355719686464e-05
9776,76,62,86,9.89916055118526e-06
9770,76,66,88,2.3262305759746906e-05
9755,83,65,97,2.2079407010211724e-05
9741,89,69,101,2.9756192635639886e-05
9721,98,77,104,2.6719500024715538e-05
9701,114,75,110,2.3365288801841736e-05
9684,116,85,115,1.2148601695944797e-05
9674,116,91,119,1.5903054976861056e-05
9660,123,93,124,1.780983548164474e-05
9644,129,100,127,1.7627540439651597e-05
9627,130,103,140,1.1093395294988508e-05
9616,121,114,149,2.189333566862247e-05
9592,130,124,154,1.0089052705211333e-05
9580,124,132,164,1.5024988928955526e-05
9561,135,128,176,1.7159554439912143e-05
9540,149,124,187,1.9442753770203557e-05
9517,156,131,196,1.844830504192177e-05
9494,164,135,207,1.872527678299745e-05
9470,172,142,216,1.1154572631140592e-05
9455,169,150,226,1.621716904635995e-05
9432,179,156,233,1.5631456471151127e-05
9409,192,155,244,1.851350285759345e-05
9382,198,168,252,1.6495619778501894e-05
9356,201,180,263,1.9001472614127595e-05
9324,205,197,274,1.7421337218291534e-05
9292,218,199,291,2.055044918955518e-05
9254,239,199,308,1.6290660130129794e-05
9224,238,213,325,1.2724511276970875e-05
9199,240,223,338,1.5599277948421963e-05
9167,242,240,351,1.4999454565288535e-05
9134,246,245,375,1.4299566991237047e-05
9102,255,238,405,1.0617298996065137e-05
9079,249,248,424,2.0429989092162344e-05
9033,270,257,440,1.076898755578874e-05
9008,271,267,454,1.039442260229775e-05
8983,267,283,467,1.6127833139078174e-05
8942,281,288,489,1.5920500012425758e-05
8901,296,285,518,1.419119081829954e-05
8865,305,292,538,1.3134614344544114e-05
8831,294,317,558,1.643193410651537e-05
8785,311,323,581,1.2334562678080249e-05
8750,305,336,609,1.6326530612244897e-05
8702,324,340,634,1.0139656874011384e-05
8672,330,334,664,1.5881521090660008e-05
8626,345,342,687,1.627067901611204e-05
8578,365,351,706,1.959561297402286e-05
8519,385,371,725,1.5503635602548797e-05
8470,408,369,753,1.3438150910434725e-05
8428,418,375,779,1.4554659072931498e-05
8382,428,383,807,1.1525381069592743e-05
8345,425,398,832,1.2645612725099433e-05
8303,424,411,862,1.1135423452315333e-05
8265,422,421,892,1.1495689834792568e-05
8225,415,420,940,1.1868577218121291e-05
8184,416,425,975,1.2362716347536082e-05
8141,414,439,1006,1.0352838734390648e-05
8104,411,445,1040,8.596115664895681e-06
8073,390,464,1073,1.0945382009849776e-05
8032,392,473,1103,1.0528709685570615e-05
7992,395,483,1130,1.2693853273563419e-05
7943,405,490,1162,1.2075836251660428e-05
7896,420,487,1197,1.3002710805148658e-05
7846,432,490,1232,1.0144256530040005e-05
7807,422,509,1262,1.157592941501544e-05
7761,416,536,1287,1.0817578131760987e-05
7716,418,541,1325,1.2936127153505835e-05
7662,431,534,1373,8.55430320556626e-06
7627,427,536,1410,1.1741476177523291e-05
7579,430,542,1449,1.192847394894321e-05
7530,444,530,1496,9.521661780550753e-06
7492,424,548,1536,9.499183557351686e-06
7453,417,553,1577,9.94781280351444e-06
7412,413,539,1636,8.009876177326644e-06
7380,399,543,1678,9.981683610574596e-06
7340,407,523,1730,1.1461855466002574e-05
7296,410,524,1770,7.062324226597027e-06
7269,395,521,1815,1.1090136670091406e-05
7227,395,521,1857,9.295489536333015e-06
7192,394,521,1893,8.273214640280627e-06
7161,391,517,1931,8.373315916836227e-06
7130,382,522,1966,8.866534474698135e-06
7097,375,518,2010,9.248564976337275e-06
7063,357,530,2050,9.082676397596831e-06
7029,358,508,2105,6.441256302629265e-06
7006,343,502,2149,1.0804626199740006e-05
6968,337,506,2189,1.0777671387664899e-05
6930,341,504,2225,8.875604113699351e-06
6899,340,504,2257,1.0353467376224298e-05
6863,333,509,2295,7.442889421278133e-06
6837,320,500,2343,1.1115986543805762e-05
6799,323,499,2379,9.432013018535969e-06
6767,324,489,2420,9.670411231215603e-06
6735,317,481,2467,1.0186647157693928e-05
6702,322,465,2511,7.0593595877334e-06
6680,316,454,2550,8.573162045952148e-06
6654,306,452,2588,4.654861936794955e-06
6640,286,449,2625,7.714600048300105e-06
6617,280,436,2667,6.239142159547344e-06
6599,261,437,2703,1.0056304904390549e-05
6570,251,440,2739,6.9185000691850005e-06
6550,244,428,2778,6.420774773489335e-06
6532,240,410,2818,6.721132734903589e-06
6514,236,396,2854,6.590312086167167e-06
6497,230,390,2883,7.49852989348141e-06
6478,225,385,2912,6.816277270121049e-06
6461,217,383,2939,7.274011613363652e-06
6443,208,379,2970,9.418906694262698e-06
6420,213,368,2999,7.195584450765272e-06
6403,209,356,3032,5.7030851058229376e-06
6390,202,347,3061,3.156950025481097e-06
6383,187,345,3085,9.082095330213633e-06
6363,180,344,3113,5.482275802331064e-06
6351,175,330,3144,5.248517293864483e-06
6340,164,334,3162,6.139141275808005e-06
6327,168,317,3188,8.974606351328914e-06
6309,170,314,3207,6.057467191243326e-06
6297,169,304,3230,6.268649231463604e-06
6285,169,285,3261,5.582771566944409e-06
6275,161,277,3287,5.177844578365239e-06
6266,156,267,3311,1.0161253109642312e-05
6249,156,255,3340,8.158168051986358e-06
6236,155,251,3358,7.666575519602155e-06
6224,148,248,3380,7.126420101169251e-06
6213,146,240,3401,4.694457857181179e-06
6206,138,233,3423,3.4578194437336704e-06
6201,123,231,3445,5.584911245288604e-06
6193,119,232,3456,3.4800135859730394e-06
6188,115,217,3480,1.117072139029309e-05
6173,121,211,3495,1.5355051005640679e-06
6171,109,213,3507,1.5215801914604355e-06
6169,103,199,3529,8.145770186644032e-06
6159,106,189,3546,6.872551116746603e-06
6151,101,189,3559,6.881489567231723e-06
6143,94,194,3569,7.5519701411882775e-06
6134,94,187,3585,6.102568483895321e-06
6127,91,178,3604,1.008613559800698e-05
6116,91,173,3620,4.725594196214232e-06
6111,87,168,3634,9.74043683911136e-06
6101,90,161,3648,6.108356129379055e-06
6095,82,159,3664,0.0
6095,79,149,3677,5.50566808529381e-06
6090,76,143,3691,3.4448310310379276e-06
6087,74,135,3704,7.301535147764817e-06
6081,71,131,3717,1.1297860561804946e-05
6072,74,131,3723,1.2571784891731789e-06
6071,66,131,3732,7.544313410897258e-06
6065,65,126,3744,7.851450555490127e-06
6059,64,123,3754,2.6836379933365267e-06
6057,57,123,3763,1.2080358545041618e-05
6048,62,118,3772,4.203658864675814e-06
6045,56,119,3780,5.5605368698347825e-06
6041,57,114,3788,4.356197562271844e-06
6038,55,112,3795,2.957459896843799e-06
6036,54,106,3804,9.377696087625192e-06
6030,53,107,3810,1.0849180886843043e-05
6023,54,100,3823,6.641208699983397e-06
6019,53,99,3829,1.3425499386622496e-05
