S,I,R,Beta
9950,50,0,8.040201005025125e-06
9946,49,5,1.8467069111980202e-05
9937,57,6,2.118610403436386e-05
9925,59,16,1.3661785424582676e-05
9917,62,21,1.9516828385275202e-05
9905,70,25,1.1538184178264945e-05
9897,71,32,1.2807978516750701e-05
9888,70,42,1.5892279241793804e-05
9877,75,48,1.889912591542641e-05
9863,85,52,2.1470618055596973e-05
9845,97,58,1.780169953872655e-05
9828,105,67,1.8411923173827937e-05
9809,116,75,1.5819391761963855e-05
9791,123,86,2.6571606743541646e-05
9759,146,95,2.2459071850781926e-05
9727,166,107,1.9198826765889506e-05
9696,182,122,1.87003590468937e-05
9663,208,129,1.9901448029358616e-05
9623,232,145,1.4781396582182773e-05
9590,243,167,1.6306423443487515e-05
9552,258,190,1.3796372041083973e-05
9518,271,211,1.4732233895148365e-05
9480,290,230,1.1639749745380475e-05
9448,283,269,2.3188110931922697e-05
9386,315,299,1.6234919282010693e-05
9338,338,324,1.2990123703997537e-05
9297,353,350,1.3711816020337366e-05
9252,369,379,1.3473978233081077e-05
9206,382,412,1.5924055902535678e-05
9150,410,440,1.17286418765827e-05
9106,420,474,1.3596477466453307e-05
9054,436,510,1.215945914725713e-05
9006,454,540,1.3940779568393465e-05
8949,474,577,1.2730366592123298e-05
8895,496,609,1.3146203920288672e-05
8837,515,648,1.3183756293870323e-05
8777,521,702,1.4433116391930838e-05
8711,546,743,1.1984342141614555e-05
8654,553,793,1.1701620381882381e-05
8598,568,834,1.1057271753339296e-05
8544,576,880,1.2191791510611735e-05
8484,585,931,1.0074267500010073e-05
8434,589,977,1.0669080160221401e-05
8381,604,1015,9.284640202413058e-06
8334,608,1058,1.0064984274942215e-05
8283,606,1111,1.354717145021275e-05
8215,623,1162,9.96493709877695e-06
8164,620,1216,1.3631837650740465e-05
8095,637,1268,1.182969505567229e-05
8034,641,1325,1.1650951474952202e-05
7974,638,1388,1.3759451760541509e-05
7904,656,1440,1.3307556532043054e-05
7835,672,1493,9.116601331023794e-06
7787,672,1541,9.937196915494078e-06
7735,674,1591,1.016612990779512e-05
7682,663,1655,9.031710334986136e-06
7636,654,1710,1.1814309491656294e-05
7577,660,1763,9.79839306353758e-06
7528,654,1818,8.530842652263355e-06
7486,634,1880,1.0956308769008142e-05
7434,628,1938,1.1566755602165296e-05
7380,631,1989,9.66332959684589e-06
7335,633,2032,1.0984147290953909e-05
7284,638,2078,1.0544001625067352e-05
7235,637,2128,7.594340697312363e-06
7200,614,2186,8.821932681867535e-06
7161,601,2238,7.435357121364314e-06
7129,578,2293,7.76593095796156e-06
7097,574,2329,9.573658006352e-06
7058,559,2383,6.08299948649346e-06
7034,537,2429,7.942269233396288e-06
7004,523,2473,7.91680907823227e-06
6975,512,2513,8.400537634408602e-06
6945,502,2553,7.4575707250192895e-06
6919,479,2602,7.543296257529341e-06
6894,465,2641,7.486641024921156e-06
6870,442,2688,7.903732537690924e-06
6846,432,2722,8.453165406130641e-06
6821,425,2754,6.89910915253068e-06
6801,409,2790,8.987603937145732e-06
6776,406,2818,6.542942055705154e-06
6758,383,2859,6.567982091817299e-06
6741,370,2889,1.0825244470104283e-05
6714,371,2915,9.23363258332149e-06
6691,364,2945,6.569428180547594e-06
6675,352,2973,8.086482805583929e-06
6656,346,2998,7.381753001333926e-06
6639,332,3029,9.981180937033266e-06
6617,326,3057,7.880797833429602e-06
6600,314,3086,6.272920285659139e-06
6587,301,3112,6.052392535987778e-06
6575,301,3124,5.558152167047737e-06
6564,291,3145,8.376419541349148e-06
6548,293,3159,7.818347472380384e-06
6533,280,3187,6.560101462902626e-06
6521,275,3204,5.576389566575121e-06
6511,267,3222,5.752293583258985e-06
6501,257,3242,8.379435190156319e-06
6487,258,3255,5.974979177197568e-06
6477,252,3271,7.352022173698876e-06
6465,244,3291,5.0714439668834705e-06
6457,227,3316,6.140247342807963e-06
6448,221,3331,7.719254909446123e-06
6437,214,3349,1.088914990584515e-05
6422,215,3363,6.518291048937881e-06
6413,208,3379,1.1245187059938347e-05
6398,206,3396,5.3111257462131676e-06
6391,193,3416,8.917981325747104e-06
6380,196,3424,9.596315015034228e-06
6368,191,3441,1.1510431739851088e-05
6354,194,3452,9.734918178012713e-06
6342,196,3462,9.653814221999111e-06
6330,193,3477,4.9112295263119125e-06
6324,180,3496,8.78487595755148e-06
6314,177,3509,7.1583370467206764e-06
6306,171,3523,5.5641800346092e-06
6300,156,3544,6.105006105006105e-06
6294,147,3559,6.484958139595209e-06
6288,143,3569,6.672716596380719e-06
6282,136,3582,7.022866453171526e-06
6276,134,3590,7.134499586199024e-06
6270,128,3602,9.968102073365231e-06
6262,122,3616,9.162735416852103e-06
6255,121,3624,9.248799307661309e-06
6248,123,3629,1.6915982220001456e-05
6235,126,3639,8.910273545397843e-06
6228,128,3644,3.763246628131021e-06
6225,120,3655,8.032128514056226e-06
6219,113,3668,5.691948880607103e-06
6215,103,3682,6.248584305118372e-06
6211,98,3691,4.928714361287906e-06
6208,91,3701,3.54027415883086e-06
6206,84,3710,1.918266500928441e-06
6205,82,3713,1.965370177472927e-06
6204,77,3719,6.27998693762717e-06
6201,78,3721,6.202473546450324e-06
6198,74,3728,0.0
6198,69,3733,1.1691475978693455e-05
6193,69,3738,2.340183049118102e-06
6192,68,3740,7.124943000455996e-06
6189,63,3748,2.5647141497844357e-06
6188,58,3754,2.786260392751265e-06
6187,52,3761,3.1082542800661437e-06
6186,52,3762,0.0
6186,49,3765,0.0
6186,44,3770,3.673985245275255e-06
6185,43,3772,7.520069184636499e-06
6183,42,3775,7.701608866092127e-06
6181,43,3776,1.5049871511721969e-05
6177,45,3778,0.0
6177,41,3782,3.94855818397912e-06
6176,41,3783,0.0
6176,39,3785,8.303440945927993e-06
6174,39,3787,4.1530653775551735e-06
6173,36,3791,8.999766006083841e-06
6171,36,3793,0.0
6171,35,3794,9.259902308030651e-06
6169,35,3796,0.0
6169,34,3797,0.0
6169,33,3798,0.0
6169,32,3799,1.0131301669638515e-05
6167,30,3803,0.0
6167,29,3804,5.591496452195501e-06
6166,27,3807,0.0
6166,27,3807,0.0
6166,24,3810,0.0
6166,19,3815,8.535773426430169e-06
6165,19,3816,8.537157980108423e-06
6164,18,3818,0.0
6164,14,3822,1.1588022619820154e-05
6163,15,3822,2.163448536967927e-05
6161,14,3825,1.159366522132307e-05
6160,14,3826,0.0
6160,13,3827,1.2487512487512488e-05
6159,13,3828,0.0
6159,12,3829,0.0
6159,12,3829,1.3530335011094875e-05
6158,12,3830,0.0
6158,10,3832,0.0
6158,10,3832,0.0
6158,10,3832,0.0
6158,9,3833,0.0
6158,9,3833,1.8043376276568873e-05
6157,10,3833,3.24833522819555e-05
6155,11,3834,1.476995790561997e-05
6154,10,3836,0.0
6154,10,3836,0.0
6154,9,3837,0.0
6154,7,3839,0.0
6154,7,3839,0.0
6154,7,3839,2.3213705371651425e-05
6153,8,3839,2.0315293352836015e-05
6152,9,3839,0.0
6152,9,3839,1.8060973847709867e-05
6151,9,3840,0.0
6151,6,3843,2.709586517097491e-05
6150,7,3843,0.0
6150,7,3843,0.0
6150,6,3844,0.0
6150,5,3845,0.0
6150,5,3845,0.0
6150,4,3846,0.0
6150,4,3846,0.0
