,median_beta
0,2.8504359490274985e-05
1,2.7376514874236457e-05
2,2.7726409058389448e-05
3,2.9837865628614974e-05
4,3.1522937727882554e-05
5,3.30826833559074e-05
6,3.69136497448344e-05
7,3.927830234638842e-05
8,4.203487601328302e-05
9,4.4546021494819024e-05
10,4.7642773273718904e-05
11,4.7262552934059287e-05
12,4.9600352386947977e-05
13,4.9538304875782246e-05
14,4.916614222781624e-05
15,4.91096195543242e-05
16,4.8146945612172654e-05
17,4.7769158390696497e-05
18,4.6237714959594645e-05
19,4.58975633257192e-05
20,4.452763465966314e-05
21,4.302282837003645e-05
22,4.15717445166869e-05
23,3.987969773877633e-05
24,3.937605021510813e-05
25,3.7393410322935635e-05
26,3.68732564378896e-05
27,3.5725579912168e-05
28,3.418988437513936e-05
29,3.308769030118176e-05
30,3.208983716752491e-05
31,3.119348561905439e-05
32,3.031647380725252e-05
33,2.941976408492821e-05
34,2.8574991796541715e-05
35,2.7593454211411143e-05
36,2.6970020262515347e-05
37,2.624784719239092e-05
38,2.544680650992828e-05
39,2.509865495379577e-05
40,2.4469896373475844e-05
41,2.3804429614950512e-05
42,2.3209499549331054e-05
43,2.275671865270205e-05
44,2.2255595832460257e-05
45,2.194263362557027e-05
46,2.1385587977650312e-05
47,2.0885545666787827e-05
48,2.0385886021763935e-05
49,1.9870358627902777e-05
50,1.9903699591729974e-05
51,1.9304223721202463e-05
52,1.8957224560630526e-05
53,1.854065763595511e-05
54,1.8324028755400163e-05
55,1.7963989687521054e-05
56,1.7608119839515405e-05
57,1.7445515035824563e-05
58,1.7140904200590434e-05
59,1.6818406260696837e-05
60,1.6540741650690627e-05
61,1.643677004126368e-05
62,1.6126570453111487e-05
63,1.5718353669918717e-05
64,1.5593316640302856e-05
65,1.5166620128126574e-05
66,1.501096703318762e-05
67,1.4855501150410615e-05
68,1.4666378620744425e-05
69,1.4426799368907119e-05
70,1.4219657294860695e-05
71,1.3836601595222593e-05
72,1.3739321622169483e-05
73,1.3389483630943697e-05
74,1.3348861209916479e-05
75,1.330778239114234e-05
76,1.3099559158027227e-05
77,1.2635796031200954e-05
78,1.2669477282617318e-05
79,1.2733100638240896e-05
80,1.2563812480131644e-05
81,1.2103606874848705e-05
82,1.2185813431566546e-05
83,1.1954733140336842e-05
84,1.1884787472035794e-05
85,1.1635167682158246e-05
86,1.1711931951118328e-05
87,1.154306545016305e-05
88,1.154329196217494e-05
89,1.1445159477892634e-05
90,1.1205466380357172e-05
91,1.107419712070875e-05
92,1.1060111707128242e-05
93,1.0894738152750454e-05
94,1.0655850369569837e-05
95,1.0551052707304204e-05
96,1.064540858440351e-05
97,1.0521755276350808e-05
98,1.0574177857671566e-05
99,1.0455917199591695e-05
100,1.0529234419365367e-05
101,1.05230484233578e-05
102,1.0345375664102582e-05
103,1.0294207519281161e-05
104,1.0268561913340264e-05
105,1.0204414838035528e-05
106,1.0272057437851797e-05
107,9.975553413671567e-06
108,9.773333134764025e-06
109,9.953245897655803e-06
110,9.96446954858106e-06
111,9.765519406231931e-06
112,9.937888198757764e-06
113,9.84009840098401e-06
114,1.0048164200400588e-05
115,9.98794552348242e-06
116,9.590608875788828e-06
117,9.540412319274237e-06
118,9.643459064258076e-06
119,9.558859566646375e-06
120,9.823177212330755e-06
121,9.300677620798088e-06
122,9.611862758200524e-06
123,9.365680905141914e-06
124,9.406098914536183e-06
125,9.353312007781956e-06
126,8.913159090976615e-06
127,9.355727447298477e-06
128,9.051673976853008e-06
129,9.14290805178468e-06
130,8.95426163158586e-06
131,8.746416247051273e-06
132,9.196031058942708e-06
133,9.09238968938973e-06
134,8.753378804218428e-06
135,9.031463715902471e-06
136,8.72390299617699e-06
137,9.048700589928175e-06
138,8.866230743655104e-06
139,9.170338058753251e-06
140,9.273086760612443e-06
141,8.730151771419526e-06
142,9.43773735909458e-06
143,9.184423218221895e-06
144,8.890469416785207e-06
145,8.558782757623443e-06
146,9.3851786918417e-06
147,9.100798300613286e-06
148,8.752965066916418e-06
149,8.478155052494008e-06
150,8.94351531257586e-06
151,8.62339327673362e-06
152,8.813231331685844e-06
153,8.63388845925463e-06
154,8.249660687407197e-06
155,8.950015741498275e-06
156,8.388919498087823e-06
157,8.43063693462041e-06
158,8.159132854556018e-06
159,8.340418894611921e-06
160,8.254727688915635e-06
161,7.849293563579277e-06
162,8.151356425963576e-06
163,8.369566378195792e-06
164,8.17506257415319e-06
165,8.253276550790664e-06
166,8.570906454578802e-06
167,8.342868039664378e-06
168,8.74944222305828e-06
169,8.382582189463433e-06
170,8.481764206955047e-06
171,7.953181130973787e-06
172,8.567385863763553e-06
173,8.48980645919355e-06
174,9.376219137941693e-06
175,8.645745731262973e-06
176,9.138270273225532e-06
177,8.645310618610998e-06
178,8.294739752540264e-06
179,8.145208115885367e-06
180,9.219988936013278e-06
181,8.44615120054511e-06
182,8.934235095462303e-06
183,8.752352194652313e-06
184,8.58683865889084e-06
185,8.847052162219548e-06
186,8.779197691071008e-06
187,8.833387174931352e-06
188,8.570522544759554e-06
189,8.79302924874859e-06
190,8.072355834328704e-06
191,8.839023799830987e-06
192,8.493290300662476e-06
193,8.328313211203247e-06
194,8.17460966238862e-06
195,7.75819265143992e-06
196,7.983522010570183e-06
197,8.364756936892927e-06
198,8.192909477688771e-06
199,8.248102936324645e-06
200,8.2836335903483e-06
201,8.04246421103426e-06
202,7.79058896852602e-06
203,7.984068618988882e-06
204,8.39820950173423e-06
205,8.28042436790841e-06
206,7.800962142005455e-06
207,8.281916435463167e-06
208,7.728533402486427e-06
209,8.27526012750681e-06
210,7.98992883840981e-06
211,8.309649878734885e-06
212,7.743054480131322e-06
213,8.494444633209881e-06
214,8.52859067881896e-06
215,7.537638655861822e-06
216,8.091769726610393e-06
217,7.929122183915893e-06
218,7.399405087830939e-06
219,6.900200105803068e-06
220,8.426019548365353e-06
221,8.558737186857204e-06
222,8.228624091765617e-06
223,7.871095925253851e-06
224,7.561894103234979e-06
225,8.650818367417557e-06
226,8.140140661630633e-06
227,7.012229327947941e-06
228,8.140189936076693e-06
229,7.169075476026611e-06
230,8.443913416111831e-06
231,7.967896011764408e-06
232,8.400904715529775e-06
233,7.762046696472926e-06
234,9.133052178046872e-06
235,8.897385135893476e-06
236,9.175700908853175e-06
237,9.276265746461104e-06
238,8.718831449538025e-06
239,8.709966815026435e-06
240,8.559628512122574e-06
241,8.111615833874107e-06
242,1.0218758063238783e-05
243,9.789570202170112e-06
244,9.916306374201738e-06
245,8.5538077275099e-06
246,9.976853699417352e-06
247,9.516855424894822e-06
248,1.081759373444971e-05
249,1.0146927577212526e-05
