S,E,I,R,Beta
9920,0,80,0,2.5201612903225806e-05
9900,20,77,3,2.7548209366391185e-05
9879,40,69,12,2.6406474867637543e-05
9861,54,65,20,3.900368974905026e-05
9836,75,65,24,6.10004066693778e-05
9797,108,67,28,5.027429962568499e-05
9764,128,74,34,5.536056334909264e-05
9724,156,79,41,6.899280912683742e-05
9671,192,92,45,5.95684992784344e-05
9618,230,101,51,6.79419158384959e-05
9552,264,123,61,6.0430880690716455e-05
9481,312,139,68,6.222213453791339e-05
9399,367,159,75,5.955404060782594e-05
9310,410,197,83,6.324731335227117e-05
9194,494,211,101,4.587784945261024e-05
9105,538,242,115,5.083030393798703e-05
8993,613,261,133,4.430862147783738e-05
8889,636,312,163,4.507155199021551e-05
8764,695,349,192,4.282954885772613e-05
8633,757,390,220,3.920555293195164e-05
8501,823,424,252,4.4944767874145774e-05
8339,904,472,285,4.319096912404649e-05
8169,985,532,314,4.003766301541588e-05
7995,1053,588,364,3.658749303348607e-05
7823,1119,652,406,3.548604908132304e-05
7642,1184,709,465,3.635908602485928e-05
7445,1264,767,524,3.589994597495935e-05
7240,1337,846,577,3.7224246698797066e-05
7012,1431,917,640,3.1104179717462075e-05
6812,1479,985,724,3.159548244215195e-05
6600,1552,1046,802,3.099831971724897e-05
6386,1611,1128,875,2.9014044463398435e-05
6177,1665,1194,964,2.8473271326683604e-05
5967,1701,1257,1075,2.6398173246411348e-05
5769,1709,1341,1181,2.404272158954964e-05
5583,1727,1405,1285,2.32021075672654e-05
5401,1736,1470,1393,2.430892742210752e-05
5208,1774,1501,1517,2.865473197080083e-05
4984,1797,1585,1634,2.5064433315948572e-05
4786,1812,1624,1778,2.05854925799592e-05
4626,1771,1698,1905,2.329741711848379e-05
4443,1762,1751,2044,2.6736273526474632e-05
4235,1795,1789,2181,2.2438052825775774e-05
4065,1787,1814,2334,2.0477602791463416e-05
3914,1753,1855,2478,2.0935283803941067e-05
3762,1726,1876,2636,1.9411940071798672e-05
3625,1692,1879,2804,1.6296269108660145e-05
3514,1648,1887,2951,1.960512858098984e-05
3384,1640,1883,3093,1.820443962340664e-05
3268,1576,1895,3261,1.873124856689801e-05
3152,1514,1923,3411,1.6828084290884326e-05
3050,1475,1910,3565,1.6135953995365205e-05
2956,1393,1933,3718,1.5050889507569898e-05
2870,1348,1922,3860,1.522803989746453e-05
2786,1302,1885,4027,1.637593042895417e-05
2700,1229,1902,4169,1.518869026755462e-05
2622,1180,1915,4283,1.6131826899522618e-05
2541,1142,1875,4442,1.7840745113472386e-05
2456,1113,1846,4585,2.007156948203881e-05
2365,1092,1800,4743,1.6208597603946442e-05
2296,1046,1782,4876,1.4175827183957263e-05
2238,999,1760,5003,1.7263790722235763e-05
2170,973,1695,5162,1.685630004214075e-05
2108,946,1667,5279,1.6505237851860368e-05
2050,906,1632,5412,1.3450502152080344e-05
2005,854,1617,5524,1.2646182934747238e-05
1964,812,1568,5656,1.5261960181221165e-05
1917,781,1522,5780,1.3366812056453187e-05
1878,728,1487,5907,1.3607459179412918e-05
1840,693,1452,6015,1.1228889687387711e-05
1810,642,1435,6113,1.2320249485052072e-05
1778,599,1377,6246,1.2253370289498126e-05
1748,570,1326,6356,1.5100213646451365e-05
1713,541,1265,6481,1.9843604706164668e-05
1670,531,1230,6569,1.4604936468526364e-05
1640,507,1179,6674,1.13779763751836e-05
1618,477,1132,6773,1.4195425142063447e-05
1592,461,1086,6861,1.3303164070814478e-05
1569,446,1025,6960,1.1192463741081005e-05
1551,415,993,7041,1.623225895257778e-05
1526,401,945,7128,7.62792374850042e-06
1515,372,911,7202,1.086826575083414e-05
1500,351,878,7271,1.366742596810934e-05
1482,334,836,7348,1.5335541651331126e-05
1463,324,787,7426,1.0422266825664138e-05
1451,309,738,7502,8.40463263350759e-06
1442,293,712,7553,1.1687886674250808e-05
1430,274,698,7598,1.1020498126515318e-05
1419,259,672,7650,8.389543273264204e-06
1411,238,645,7706,9.889077513885913e-06
1402,231,612,7755,4.661874259927461e-06
1398,208,584,7810,9.798734003566738e-06
1390,199,555,7856,9.07382202346231e-06
1383,188,526,7903,1.2371848271652796e-05
1374,176,503,7947,1.0128457783141036e-05
1367,165,477,7991,6.134414217118389e-06
1363,143,459,8035,7.992110188821596e-06
1358,136,436,8070,1.3511505046547137e-05
1350,137,413,8100,1.4348488924760111e-05
1342,132,394,8132,1.1347560652711689e-05
1336,126,381,8157,1.1787448724598048e-05
1330,116,376,8178,1.1998080307150857e-05
1324,110,369,8197,1.023424131522282e-05
1319,108,343,8230,6.631050557339799e-06
1316,93,338,8253,1.5737127030089388e-05
1309,88,321,8282,2.3798814343069428e-06
1308,81,306,8305,1.4990705762427296e-05
1302,78,291,8329,2.639344175759207e-06
1301,69,282,8348,5.451344028870318e-06
1299,65,272,8364,1.9811619798034687e-05
1292,67,249,8392,3.108408867668818e-06
1291,63,232,8414,1.6693821950372607e-05
1286,62,223,8429,6.974035665218392e-06
1284,60,204,8452,0.0
1284,55,190,8471,8.198065256599442e-06
1282,48,187,8483,1.6685159384985025e-05
1278,47,179,8496,4.371355382449882e-06
1277,44,169,8510,9.267282323122332e-06
