S,E,I,R,Beta
9920,0,80,0,1.2600806451612903e-06
9919,1,77,3,9.16514677982568e-06
9912,7,72,9,1.1209756972468837e-05
9904,15,66,15,9.179027757379938e-06
9898,20,65,17,6.2172622285776455e-06
9894,23,61,22,8.284537408000212e-06
9889,28,55,28,1.2870131183408563e-05
9882,33,54,31,1.873964634539417e-06
9881,34,53,32,3.819031379071326e-06
9879,32,56,33,5.422758231746996e-06
9876,33,55,36,7.364041385912589e-06
9872,35,56,37,1.4470942347765686e-05
9864,38,58,40,6.991638000950863e-06
9860,38,60,42,5.070993914807302e-06
9857,37,59,47,1.7195041637793325e-06
9856,33,57,54,8.900091136933242e-06
9851,34,54,61,1.1279170755366066e-05
9845,36,55,64,1.8468073318251074e-05
9835,40,52,73,1.5642720269054788e-05
9827,44,53,76,1.9200086016385352e-05
9817,51,51,81,2.5965362206816108e-05
9804,53,59,84,2.2474396476014632e-05
9791,60,59,90,1.731095142720139e-05
9781,64,60,95,6.815935657567393e-06
9777,63,63,97,1.298804612704582e-05
9769,65,63,103,1.9498023387879055e-05
9757,72,66,105,1.2423093288113274e-05
9749,70,76,105,1.889532529652164e-05
9735,74,80,111,1.2840267077555214e-05
9725,74,84,117,2.2034520749173705e-05
9707,85,86,122,1.9166221451314205e-05
9691,91,90,128,1.490500922964033e-05
9678,99,91,132,2.498018617051475e-05
9656,112,98,134,2.5362257579087974e-05
9632,127,99,142,2.2022551092318535e-05
9611,135,102,152,2.448175191416698e-05
9587,148,104,161,1.0029607401047893e-05
9577,150,102,171,1.8426499763526586e-05
9559,148,115,178,1.1825868632793133e-05
9546,146,125,183,1.4246804944479363e-05
9529,143,135,193,2.4097977713257387e-05
9498,157,145,200,1.3796007870985544e-05
9479,160,154,207,1.3700826022800914e-05
9459,166,155,220,1.3641215568719329e-05
9439,168,160,233,2.118868524208073e-05
9407,187,166,240,1.600961088960925e-05
9382,196,170,252,1.0658708164570453e-05
9365,197,173,265,1.7899632440306267e-05
9336,217,166,281,1.290509080021887e-05
9316,212,175,297,9.814144635956572e-06
9300,213,179,308,2.2826935784225385e-05
9262,233,183,322,2.4189561201359806e-05
9221,252,189,338,1.3197388753185304e-05
9198,258,188,356,1.1565881574625381e-05
9178,253,194,375,1.572563705678977e-05
9150,258,206,386,1.4324367340442463e-05
9123,265,213,399,1.54384599827398e-05
9093,269,230,408,1.721343221493839e-05
9057,285,230,428,1.2001286537916865e-05
9032,282,237,449,1.3080542506157198e-05
9004,295,228,473,1.6561839961966222e-05
8970,302,233,495,1.148319864498256e-05
8946,299,230,525,1.7496282040066486e-05
8910,302,245,543,1.4659062278109896e-05
8878,308,251,563,1.7950275940616896e-05
8838,315,268,579,1.35101816106163e-05
8806,316,274,604,1.2847908940652607e-05
8775,319,285,621,1.1196081371519968e-05
8747,315,297,641,1.7706888634063665e-05
8701,344,289,666,1.3123416987825843e-05
8668,348,294,690,1.020251201541992e-05
8642,340,303,715,1.0311144514127414e-05
8615,328,322,735,1.0093618309823614e-05
8587,322,325,766,9.3164085245138e-06
8561,314,332,793,1.090684429107623e-05
8530,297,349,824,8.397800448106632e-06
8505,294,347,854,1.35536478796165e-05
8465,307,339,889,1.0802767599363682e-05
8434,303,354,909,1.440229150505956e-05
8391,321,351,937,1.2902169975224438e-05
8353,333,351,963,1.364301615708296e-05
8313,337,352,998,1.0935774198134357e-05
8281,332,364,1023,1.1943134754389434e-05
8245,332,369,1054,9.531932796586911e-06
8216,327,371,1086,9.842080537088896e-06
8186,329,365,1120,1.1044583301259417e-05
8153,322,373,1152,1.545509161416594e-05
8106,340,366,1188,8.763662887505579e-06
8080,335,372,1213,1.4305866070478015e-05
8037,346,369,1248,1.3150560770258692e-05
7998,354,368,1280,8.833730171673353e-06
7972,346,375,1307,1.0704131125606288e-05
7940,341,378,1341,9.662415203976916e-06
7911,343,379,1367,7.671092887262618e-06
7888,332,383,1397,6.95110131925283e-06
7867,319,375,1439,1.0846998008558959e-05
7835,318,366,1481,9.066783837411642e-06
7809,314,372,1505,1.1015687716268932e-05
7777,319,374,1530,1.1001864128353247e-05
7745,319,373,1563,9.692320739662534e-06
7717,309,382,1592,1.119443236425733e-05
7684,316,373,1627,1.0118166225421579e-05
7655,319,371,1655,1.1267585796503879e-05
