S,I,R,Beta
9920,80,0,1.2600806451612903e-05
9910,87,3,1.275850470324878e-05
9899,91,10,1.110113242651883e-05
9889,95,16,3.1933408199434777e-06
9886,91,23,1.778516850335584e-05
9870,97,33,1.25340770219033e-05
9858,100,42,2.130249543517955e-05
9837,109,54,1.3989496685888235e-05
9822,117,61,1.5663424337828736e-05
9804,129,67,1.5023135628868457e-05
9785,139,76,2.2792190366255794e-05
9754,160,86,1.8582120155833504e-05
9725,169,106,1.216896609421822e-05
9705,178,117,2.083948387544935e-05
9669,203,128,1.579370768496342e-05
9638,219,143,1.895086136402615e-05
9598,245,157,1.8711381197613447e-05
9554,275,171,1.6746912288046893e-05
9510,294,196,1.89560577122542e-05
9457,328,215,1.6441557034794204e-05
9406,357,237,2.1143903021553083e-05
9335,396,269,1.8124469115363598e-05
9268,438,294,1.4534224897176518e-05
9209,462,329,1.3632438434262737e-05
9151,479,370,1.642587175181238e-05
9079,525,396,1.846228082597727e-05
8991,576,433,1.583373496953744e-05
8909,603,488,1.3402512636056444e-05
8837,623,540,1.1079927875118679e-05
8776,635,589,1.5791098127319318e-05
8688,671,641,1.4923714090456233e-05
8601,707,692,1.1675889797360822e-05
8530,726,744,1.2272355872483763e-05
8454,743,803,9.711331468120883e-06
8393,736,871,1.2141328954252768e-05
8318,751,931,1.2326275553409753e-05
8241,776,983,1.3447972608669001e-05
8155,794,1051,1.2509517271627951e-05
8074,812,1114,1.082962888844689e-05
8003,826,1171,1.2253274271542844e-05
7922,857,1221,1.163620680868338e-05
7843,867,1290,1.1470788974101165e-05
7765,884,1351,1.1508888066594215e-05
7686,894,1420,1.0914990560716162e-05
7611,887,1502,9.18388311464582e-06
7549,882,1569,7.3593264744410595e-06
7500,863,1637,9.88798764001545e-06
7436,866,1698,9.783252810433482e-06
7373,848,1779,8.956698202774529e-06
7317,837,1846,7.347743728333341e-06
7272,813,1915,9.810329126393575e-06
7214,795,1991,1.0287473867200917e-05
7155,780,2065,7.167302764787041e-06
7115,753,2132,6.719432879864939e-06
7079,724,2197,5.463205699840552e-06
7051,698,2251,5.486023035607541e-06
7024,664,2312,7.933213491780334e-06
6987,640,2373,9.616072706454844e-06
6944,640,2416,6.300403225806452e-06
6916,607,2477,7.146239696313398e-06
6886,584,2530,8.703384671698384e-06
6851,579,2570,6.8066157279713335e-06
6824,562,2614,9.1262573375109e-06
6789,549,2662,8.31732248754481e-06
6758,533,2709,7.495806512689845e-06
6731,525,2744,5.9426533947407515e-06
6710,507,2783,6.172893940863676e-06
6689,485,2826,5.5484230919204175e-06
6671,453,2876,7.280036188398071e-06
6649,443,2908,5.432002028852758e-06
6633,420,2947,8.614933988068317e-06
6609,412,2979,7.345088412829225e-06
6589,392,3019,7.743270323761619e-06
6569,379,3052,8.033254460163292e-06
6549,378,3073,8.079104124301864e-06
6529,375,3096,6.943380813805074e-06
6512,358,3130,8.149973233772116e-06
6493,353,3154,3.0540625794874323e-06
6486,334,3180,7.847394941846187e-06
6469,328,3203,6.126781008109973e-06
6456,318,3226,3.896721298699274e-06
6448,297,3255,7.832669122991704e-06
6433,297,3270,8.897723805231967e-06
6416,290,3294,6.986843236735747e-06
6403,279,3318,1.0075922072818689e-05
6385,281,3334,8.91769800773053e-06
6369,265,3366,5.9249252718800085e-06
6359,259,3382,7.286058551980867e-06
6347,253,3400,1.1832174921892076e-05
6328,246,3426,5.781505349819617e-06
6319,227,3454,6.97149286851137e-06
6309,215,3476,1.0321172780118473e-05
6295,209,3496,6.080621439511118e-06
6287,195,3518,5.70978779981484e-06
6280,188,3532,8.469982382436644e-06
6270,186,3544,1.2862067191439009e-05
6255,191,3554,1.0044320564490816e-05
6243,190,3567,7.587445307165078e-06
6234,184,3582,1.7435940355135232e-06
6232,170,3598,9.438948878652874e-06
6222,162,3616,5.95259354500756e-06
6216,150,3634,8.58000858000858e-06
6208,143,3649,1.239095955590801e-05
6197,137,3666,7.067229375174472e-06
6191,132,3677,6.118363411207863e-06
6186,123,3691,5.257084578605243e-06
6182,117,3701,6.912818300718657e-06
6177,111,3712,7.292382231673149e-06
6172,111,3717,8.757947837662679e-06
6166,109,3725,5.951548444116448e-06
6162,106,3732,7.65495152884692e-06
6157,105,3738,4.640478897422214e-06
6154,99,3747,3.2827462141729286e-06
6152,95,3753,8.555198138388885e-06
6147,95,3758,6.849725582868836e-06
6143,91,3766,5.366601492272988e-06
6140,86,3774,7.575183698204681e-06
6136,83,3781,9.817627746972243e-06
6131,80,3789,0.0
6131,76,3793,2.1461253852295067e-06
6130,67,3803,1.460884809232792e-05
6124,64,3812,2.5514369693011105e-06
6123,62,3815,7.9025145801394e-06
6120,58,3822,5.634437683119224e-06
6118,54,3828,1.5134454493722228e-05
6113,54,3833,0.0
6113,51,3836,0.0
6113,47,3840,1.0441646856542214e-05
6110,44,3846,7.439369141496801e-06
6108,44,3848,1.4883610168482466e-05
6104,42,3854,1.1701928477813144e-05
6101,42,3857,7.805121720873238e-06
6099,42,3859,3.903840598380687e-06
6098,38,3864,4.315478759213547e-06
6097,32,3871,0.0
6097,30,3873,1.640150893882237e-05
6094,31,3875,0.0
6094,29,3877,0.0
6094,28,3878,5.860565427352431e-06
6093,26,3881,0.0
6093,23,3884,1.427154468063851e-05
6091,22,3887,7.4625751854449934e-06
6090,21,3889,7.819219641879741e-06
6089,17,3894,9.660622337290968e-06
6088,15,3897,0.0
6088,13,3899,0.0
6088,10,3902,1.6425755584756898e-05
6087,10,3903,0.0
6087,9,3904,1.8253837869412045e-05
6086,10,3904,1.643115346697338e-05
6085,8,3907,2.0542317173377156e-05
6084,7,3909,0.0
6084,4,3912,0.0
6084,4,3912,0.0
6084,3,3913,0.0
6084,2,3914,0.0
6084,2,3914,0.0
6084,2,3914,0.0
6084,1,3915,0.0
6084,1,3915,0.0001643655489809336
6083,2,3915,0.0
6083,2,3915,0.0
6083,2,3915,0.0
6083,2,3915,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,1,3916,0.0
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
6083,0,3917,
